address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Krogen 609460 Brovst,ovst,675.000,17-05-2017,Fam. Salg,9.375,3,Sommerhus,72,1977,,Aktuel værdi
Ole Langes Vej 19460 Brovst,ovst,700.000,10-05-2017,Alm. Salg,7.526,4,Rækkehus,93,1978,-12 %,Aktuel værdi
Amagervej 189460 Brovst,ovst,825.000,05-05-2017,Alm. Salg,5.427,5,Villa,152,1986,-8 %,Aktuel værdi
Strandgårdsvej 139460 Brovst,ovst,1.530.000,05-05-2017,Fam. Salg,18.214,5,Sommerhus,84,1966,,Aktuel værdi
Finsensvej 2A9460 Brovst,ovst,790.000,11-04-2017,Alm. Salg,6.220,4,Villa,127,1977,-7 %,Aktuel værdi
Aarupvej 119460 Brovst,ovst,217.000,05-04-2017,Alm. Salg,4.340,3,Villa,50,1898,-26 %,Aktuel værdi
Bryggerivej 109460 Brovst,ovst,550.000,04-04-2017,Alm. Salg,4.365,3,Villa,126,1973,-8 %,Aktuel værdi
Vestre Alle 239460 Brovst,ovst,260.000,31-03-2017,Alm. Salg,3.333,3,Villa,78,1968,,Aktuel værdi
"Stationsvej 2, 19460 Brovst",ovst,1.575.000,31-03-2017,Alm. Salg,12.304,5,Lejlighed,128,1977,,Aktuel værdi
Redningsvejen 259460 Brovst,ovst,1.500.000,29-03-2017,Alm. Salg,25.000,3,Sommerhus,60,1917,,Aktuel værdi
Tranhøj 99460 Brovst,ovst,357.000,20-03-2017,Fam. Salg,2.125,7,Villa,168,1885,,Aktuel værdi
Poststrædet 149460 Brovst,ovst,560.000,18-03-2017,Alm. Salg,4.242,4,Villa,132,1907,-19 %,Aktuel værdi
Kronvildtvej 809460 Brovst,ovst,1.175.000,16-03-2017,Alm. Salg,11.190,4,Sommerhus,105,2011,-6 %,Aktuel værdi
Jarmsted Byvej 89460 Brovst,ovst,750.000,15-03-2017,Alm. Salg,10.416,3,Stuehus,72,1924,-37 %,
Kirkegade 889460 Brovst,ovst,695.000,03-03-2017,Alm. Salg,4.483,6,Villa,155,1870,-7 %,Aktuel værdi
Ørnevej 39460 Brovst,ovst,1.000.000,01-03-2017,Alm. Salg,8.771,3,Villa,114,1999,1 %,Aktuel værdi
Hjortevænget 129460 Brovst,ovst,670.000,26-02-2017,Alm. Salg,11.964,3,Sommerhus,56,1980,-4 %,Aktuel værdi
Ole Langes Vej 419460 Brovst,ovst,1.515.000,16-02-2017,Alm. Salg,11.653,4,Villa,130,1987,-2 %,Aktuel værdi
Aggersundvej 19460 Brovst,ovst,35.000,15-02-2017,Alm. Salg,625,2,Villa,56,1880,,Aktuel værdi
Sandgade 89460 Brovst,ovst,380.000,10-02-2017,Alm. Salg,2.923,3,Villa,130,1918,-4 %,Aktuel værdi
Skovbakken 109460 Brovst,ovst,440.000,08-02-2017,Fam. Salg,3.055,4,Villa,144,1951,,Aktuel værdi
Hollensvej 189460 Brovst,ovst,625.000,07-02-2017,Alm. Salg,5.580,4,Villa,112,1965,-7 %,Aktuel værdi
Kaj Munks Vej 39460 Brovst,ovst,500.000,06-02-2017,Fam. Salg,2.173,8,Villa,230,1972,,Aktuel værdi
Hjortdalvej 3289460 Brovst,ovst,3.100.000,04-02-2017,Alm. Salg,20.945,6,Stuehus,148,2008,,
Urbakken 109460 Brovst,ovst,667.500,04-02-2017,Fam. Salg,3.687,6,Villa,181,1962,,Aktuel værdi
Kronvildtvej 309460 Brovst,ovst,705.000,31-01-2017,Alm. Salg,7.268,5,Sommerhus,97,2009,-17 %,Aktuel værdi
Kærvangen 59460 Brovst,ovst,650.000,31-01-2017,Alm. Salg,5.284,4,Villa,123,1982,-6 %,Aktuel værdi
Pile Alle 129460 Brovst,ovst,1.625.000,30-01-2017,Alm. Salg,9.789,6,Villa,166,1967,-2 %,Aktuel værdi
Hammershøj 389460 Brovst,ovst,575.000,26-01-2017,Alm. Salg,2.039,8,Villa,282,1898,,Aktuel værdi
Thyvej 329460 Brovst,ovst,112.000,26-01-2017,Alm. Salg,640,7,Stuehus,175,1927,,
Klithusevej 19460 Brovst,ovst,325.850,21-01-2017,Alm. Salg,1.184,8,Stuehus,275,1975,,
Schibstedsvej 129460 Brovst,ovst,725.000,21-01-2017,Alm. Salg,6.041,4,Villa,120,1986,-6 %,Aktuel værdi
Thorsvej 8B9460 Brovst,ovst,395.000,20-01-2017,Alm. Salg,4.540,3,Rækkehus,87,1986,0 %,Aktuel værdi
Harestien 49460 Brovst,ovst,750.000,19-01-2017,Alm. Salg,9.868,4,Sommerhus,76,1982,-3 %,Aktuel værdi
Baunehøjvej 169460 Brovst,ovst,545.000,15-01-2017,Alm. Salg,5.677,3,Villa,96,1961,-8 %,Aktuel værdi
Nr Skovsgaard 39460 Brovst,ovst,450.000,13-01-2017,Alm. Salg,2.571,5,Villa,175,1934,,Aktuel værdi
