address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Bellisvej 24420 Regstrup,trup,1.000.000,05-05-2017,Fam. Salg,6.329,6,Villa,158,1998,,Aktuel værdi
Regstrupparken 174420 Regstrup,trup,900.000,01-05-2017,Alm. Salg,6.666,5,Villa,135,1973,,Aktuel værdi
Hovedgaden 424420 Regstrup,trup,1.100.000,05-04-2017,Alm. Salg,8.088,4,Villa,136,1972,-8 %,Aktuel værdi
Ådalen 84420 Regstrup,trup,1.180.000,03-04-2017,Alm. Salg,7.375,4,Villa,160,1972,-9 %,Aktuel værdi
Jukkerupvænge 234420 Regstrup,trup,325.000,29-03-2017,Fam. Salg,6.632,3,Sommerhus,49,1975,,Aktuel værdi
Agervænget 204420 Regstrup,trup,1.395.000,28-03-2017,Alm. Salg,11.434,4,Villa,122,1967,0 %,Aktuel værdi
Sdr Jernløsevej 534420 Regstrup,trup,620.000,28-03-2017,Fam. Salg,5.849,4,Villa,106,1954,,Aktuel værdi
Holbækvej 894420 Regstrup,trup,600.000,07-03-2017,Alm. Salg,8.000,4,Villa,75,1932,-25 %,Aktuel værdi
Trønninge Alle 114420 Regstrup,trup,2.725.000,15-02-2017,Alm. Salg,17.694,4,Stuehus,154,1927,-9 %,
Hovedgaden 984420 Regstrup,trup,1.200.000,08-02-2017,Alm. Salg,11.009,4,Villa,109,1969,-7 %,Aktuel værdi
Skovgårdsvej 24420 Regstrup,trup,525.000,28-01-2017,Fam. Salg,3.595,4,Villa,146,1971,,Aktuel værdi
Holbækvej 1384420 Regstrup,trup,209.658,09-01-2017,Andet,3.083,3,Villa,68,1877,,Aktuel værdi
Gl. Skovvej 1174420 Regstrup,trup,1.425.000,02-01-2017,Alm. Salg,11.875,4,Villa,120,1900,,Aktuel værdi
Tømmerkrogen 44420 Regstrup,trup,605.000,12-12-2016,Alm. Salg,4.321,4,Villa,140,1962,-38 %,Aktuel værdi
Møllebakken 34420 Regstrup,trup,665.000,09-12-2016,Alm. Salg,5.937,4,Villa,112,1965,,Aktuel værdi
Agervænget 764420 Regstrup,trup,1.350.000,08-12-2016,Alm. Salg,10.227,4,Villa,132,1970,-10 %,Aktuel værdi
