address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Nattergalevej 244671 Strøby,røby,1.145.000,15-05-2017,Alm. Salg,15.065,3,Sommerhus,76,1971,-4 %,Aktuel værdi
Skrænten 454671 Strøby,røby,1.200.000,08-05-2017,Alm. Salg,12.500,3,Sommerhus,96,1972,,Aktuel værdi
Nederste Linievej 184671 Strøby,røby,700.000,04-05-2017,Alm. Salg,7.000,4,Villa,100,1900,,Aktuel værdi
Kystvejen 2324671 Strøby,røby,1.675.000,30-04-2017,Alm. Salg,18.820,3,Sommerhus,89,1995,0 %,Aktuel værdi
Strøby Bygade 854671 Strøby,røby,575.000,28-04-2017,Fam. Salg,4.166,5,Rækkehus,138,1913,,Aktuel værdi
Brinken 1914671 Strøby,røby,2.700.000,30-03-2017,Alm. Salg,27.000,4,Sommerhus,100,2004,-7 %,Aktuel værdi
Garderhøjen 37F4671 Strøby,røby,1.050.000,24-03-2017,Alm. Salg,11.290,5,Sommerhus,93,1973,,Aktuel værdi
Skovbrynet 164671 Strøby,røby,1.595.000,09-03-2017,Alm. Salg,16.968,3,Sommerhus,94,1967,0 %,Aktuel værdi
Svalemosevej 374671 Strøby,røby,600.000,07-03-2017,Alm. Salg,13.953,3,Sommerhus,43,1961,-7 %,Aktuel værdi
Strandagervej 54671 Strøby,røby,204.000,23-02-2017,Alm. Salg,2.000,4,Sommerhus,102,1966,,Aktuel værdi
Stølgårdsvej 74671 Strøby,røby,1.775.000,22-02-2017,Alm. Salg,14.430,4,Villa,123,2014,-1 %,Aktuel værdi
Gartnervænget 154671 Strøby,røby,1.645.000,21-02-2017,Alm. Salg,16.785,3,Villa,98,2000,0 %,Aktuel værdi
Ærtevej 14671 Strøby,røby,1.650.000,20-02-2017,Alm. Salg,10.714,6,Villa,154,1947,-3 %,Aktuel værdi
Nattergalevej 124671 Strøby,røby,700.000,16-02-2017,Alm. Salg,17.500,2,Sommerhus,40,1962,1 %,Aktuel værdi
Rolighedsvej 24671 Strøby,røby,1.105.441,07-02-2017,Andet,9.212,4,Villa,120,1905,,Aktuel værdi
Skrænten 614671 Strøby,røby,1.000.000,31-01-2017,Alm. Salg,8.849,5,Sommerhus,113,1967,3 %,Aktuel værdi
Kystvejen 3644671 Strøby,røby,650.000,20-01-2017,Alm. Salg,15.476,3,Sommerhus,42,1950,-6 %,Aktuel værdi
Garderhøjen 594671 Strøby,røby,945.000,20-01-2017,Alm. Salg,15.000,3,Sommerhus,63,1965,0 %,Aktuel værdi
Garderhøjen 684671 Strøby,røby,1.665.000,09-01-2017,Alm. Salg,33.300,2,Sommerhus,50,1970,-5 %,Aktuel værdi
Brinken 117C4671 Strøby,røby,1.563.000,20-12-2016,Alm. Salg,17.175,3,Sommerhus,91,1992,-7 %,Aktuel værdi
Ørnevej 14671 Strøby,røby,750.000,14-12-2016,Alm. Salg,6.696,4,Sommerhus,112,1964,,Aktuel værdi
Lodbjerggårdsvej 84671 Strøby,røby,1.700.000,07-12-2016,Alm. Salg,12.686,5,Villa,134,1959,-5 %,Aktuel værdi
Kystvejen 1414671 Strøby,røby,175.000,02-12-2016,Alm. Salg,1.881,4,Sommerhus,93,1946,,Aktuel værdi
Brinken 1584671 Strøby,røby,745.000,30-11-2016,Alm. Salg,19.605,2,Sommerhus,38,1962,-6 %,Aktuel værdi
Garderhøjen 404671 Strøby,røby,93.500,26-11-2016,Alm. Salg,724,5,Sommerhus,129,1975,,Aktuel værdi
Kystvejen 2064671 Strøby,røby,2.000.000,18-11-2016,Alm. Salg,25.316,4,Sommerhus,79,1988,-5 %,Aktuel værdi
Fasanvej 64671 Strøby,røby,994.500,14-11-2016,Fam. Salg,13.812,3,Sommerhus,72,1991,,Aktuel værdi
Strandly 184671 Strøby,røby,995.000,13-11-2016,Alm. Salg,19.900,2,Sommerhus,50,1966,0 %,Aktuel værdi
Tranevej 64671 Strøby,røby,860.000,11-11-2016,Alm. Salg,17.916,3,Sommerhus,48,1966,-9 %,Aktuel værdi
Spættevej 64671 Strøby,røby,935.000,11-11-2016,Alm. Salg,15.847,3,Sommerhus,59,1965,,Aktuel værdi
Kystvejen 2084671 Strøby,røby,2.050.000,10-11-2016,Alm. Salg,23.295,3,Sommerhus,88,1952,-7 %,Aktuel værdi
Strandly 44671 Strøby,røby,900.000,07-11-2016,Alm. Salg,10.714,3,Sommerhus,84,1964,,Aktuel værdi
Fennevej 24671 Strøby,røby,1.049.000,28-10-2016,Fam. Salg,9.536,4,Villa,110,1966,,Aktuel værdi
Nederste Linievej 134671 Strøby,røby,5.600.000,26-10-2016,Alm. Salg,18.421,6,Stuehus,304,1986,-7 %,
Løvsangervej 384671 Strøby,røby,1.015.000,23-10-2016,Alm. Salg,15.859,4,Sommerhus,64,1987,-11 %,Aktuel værdi
Strandagervej 314671 Strøby,røby,740.000,12-10-2016,Alm. Salg,9.487,1,Sommerhus,78,1968,-5 %,Aktuel værdi
Garderhøjen 44671 Strøby,røby,400.000,11-10-2016,Alm. Salg,6.451,4,Sommerhus,62,1975,,Aktuel værdi
Nattergalevej 324671 Strøby,røby,1.090.000,06-10-2016,Alm. Salg,13.625,5,Sommerhus,80,1960,-9 %,Aktuel værdi
Lendrumvej 134671 Strøby,røby,1.150.000,06-10-2016,Alm. Salg,8.846,3,Sommerhus,130,1972,-4 %,Aktuel værdi
Strøby Bygade 30G4671 Strøby,røby,1.745.000,05-10-2016,Alm. Salg,18.967,4,Rækkehus,92,2007,0 %,Aktuel værdi
Strøby Bygade 524671 Strøby,røby,1.695.000,30-09-2016,Alm. Salg,11.936,7,Villa,142,1912,0 %,Aktuel værdi
Brinken 1574671 Strøby,røby,1.025.000,29-09-2016,Alm. Salg,13.311,4,Sommerhus,77,1964,-11 %,Aktuel værdi
Garderhøjen 514671 Strøby,røby,1.875.000,28-09-2016,Alm. Salg,19.329,6,Sommerhus,97,1963,-1 %,Aktuel værdi
Ørnevej 94671 Strøby,røby,807.500,25-09-2016,Fam. Salg,8.682,3,Sommerhus,93,1969,,Aktuel værdi
Ternevej 44671 Strøby,røby,991.000,16-09-2016,Alm. Salg,15.730,3,Sommerhus,63,1961,0 %,Aktuel værdi
Nøddestien 24671 Strøby,røby,1.145.000,14-09-2016,Alm. Salg,11.450,2,Villa,100,1900,0 %,Aktuel værdi
Svalemosevej 464671 Strøby,røby,1.150.000,23-08-2016,Alm. Salg,14.197,3,Sommerhus,81,1973,-4 %,Aktuel værdi
Maglebyvej 24671 Strøby,røby,1.200.000,19-08-2016,Alm. Salg,5.714,5,Villa,210,1900,,Aktuel værdi
Sneppevej 24671 Strøby,røby,1.200.000,16-08-2016,Alm. Salg,11.009,5,Sommerhus,109,1975,0 %,Aktuel værdi
