address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Egelykkeparken 9, ST. TH2670 Greve",reve,1.440.000,17-05-2017,Fam. Salg,18.000,3,Lejlighed,80,2000,,Aktuel værdi
Lerås 32670 Greve,reve,2.495.000,10-05-2017,Alm. Salg,15.691,6,Villa,159,1971,0 %,Aktuel værdi
Fresiahaven 302670 Greve,reve,2.650.000,07-05-2017,Alm. Salg,26.500,4,Villa,100,2006,,Aktuel værdi
Godsparken 252670 Greve,reve,4.975.000,28-04-2017,Alm. Salg,24.628,7,Villa,202,2003,0 %,Aktuel værdi
Metavang 102670 Greve,reve,3.115.000,28-04-2017,Alm. Salg,21.335,4,Villa,146,1972,-5 %,Aktuel værdi
Jerismosevej 1182670 Greve,reve,5.000.000,28-04-2017,Andet,121.951,2,Lejlighed,41,1973,,Aktuel værdi
Klintemarks Alle 32670 Greve,reve,4.750.000,26-04-2017,Alm. Salg,32.758,7,Villa,145,1967,-2 %,Aktuel værdi
Damhaven 22670 Greve,reve,1.725.000,25-04-2017,Alm. Salg,15.401,4,Rækkehus,112,1975,-4 %,Aktuel værdi
Nørrevang 142670 Greve,reve,2.875.000,25-04-2017,Fam. Salg,19.557,3,Villa,147,1969,,Aktuel værdi
Olsbækhave 52670 Greve,reve,1.321.750,24-04-2017,Fam. Salg,13.913,3,Rækkehus,95,1995,,Aktuel værdi
Højdevej 542670 Greve,reve,4.143.000,24-04-2017,Fam. Salg,27.805,5,Villa,149,1974,,Aktuel værdi
Jens Frobergsvej 22670 Greve,reve,2.065.000,21-04-2017,Alm. Salg,20.245,4,Villa,102,1825,-2 %,Aktuel værdi
Lykkevej 22670 Greve,reve,3.185.000,21-04-2017,Alm. Salg,26.541,4,Villa,120,1961,0 %,Aktuel værdi
Ved Skellet 52670 Greve,reve,2.780.000,21-04-2017,Alm. Salg,21.221,3,Villa,131,1963,0 %,Aktuel værdi
Iriskvej 152670 Greve,reve,6.350.000,19-04-2017,Alm. Salg,42.333,4,Villa,150,1979,,Aktuel værdi
"Søagerparken 3, 4. 72670 Greve",reve,1.350.000,19-04-2017,Alm. Salg,25.961,2,Lejlighed,52,1972,-2 %,Aktuel værdi
Belsager 552670 Greve,reve,3.230.000,18-04-2017,Alm. Salg,19.938,7,Villa,162,1969,-2 %,Aktuel værdi
Simonsvej 62670 Greve,reve,3.695.000,12-04-2017,Alm. Salg,24.150,6,Villa,153,1950,0 %,Aktuel værdi
Bakkeager 92670 Greve,reve,3.015.000,11-04-2017,Alm. Salg,20.650,4,Villa,146,1970,-6 %,Aktuel værdi
Grønnegården 4292670 Greve,reve,1.700.000,11-04-2017,Alm. Salg,24.637,3,Lejlighed,69,1984,,Aktuel værdi
