address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Stoklundvejen 149940 Læsø,Læsø,100.000,16-05-2017,Alm. Salg,1.388,3,Stuehus,72,1880,,
Strandvejen 499940 Læsø,Læsø,765.000,30-04-2017,Alm. Salg,9.444,5,Sommerhus,81,1984,-4 %,Aktuel værdi
Thorvald Hansensvej 29940 Læsø,Læsø,565.000,07-04-2017,Alm. Salg,7.434,3,Villa,76,1930,,Aktuel værdi
Byrum Hovedgade 119940 Læsø,Læsø,750.000,06-04-2017,Alm. Salg,15.000,18,Detailhandel,50,1934,,Aktuel værdi
Diskovej 19940 Læsø,Læsø,825.000,02-04-2017,Alm. Salg,9.593,3,Sommerhus,86,2003,-7 %,Aktuel værdi
Lyngvej 89940 Læsø,Læsø,1.300.000,22-03-2017,Alm. Salg,16.883,4,Sommerhus,77,1974,-20 %,Aktuel værdi
Byrum Hovedgade 669940 Læsø,Læsø,1.035.000,11-03-2017,Alm. Salg,4.140,8,Villa,250,1880,-5 %,Aktuel værdi
På Remmerne 169940 Læsø,Læsø,490.000,08-03-2017,Alm. Salg,7.313,3,Sommerhus,67,1971,-11 %,Aktuel værdi
Mellemvej 29940 Læsø,Læsø,850.000,02-03-2017,Alm. Salg,5.821,5,Villa,146,1975,-3 %,Aktuel værdi
Østerby Havnegade 109940 Læsø,Læsø,425.000,23-02-2017,Alm. Salg,4.619,4,Villa,92,1972,-14 %,Aktuel værdi
Doktorvejen 299940 Læsø,Læsø,240.000,23-02-2017,Andet,4.615,2,Sommerhus,52,1961,,Aktuel værdi
Prof Johansens Vej 359940 Læsø,Læsø,1.875.000,21-02-2017,Alm. Salg,21.802,4,Sommerhus,86,1990,-6 %,Aktuel værdi
Klokkeblomstvej 79940 Læsø,Læsø,575.000,19-02-2017,Alm. Salg,12.777,3,Sommerhus,45,1980,-4 %,Aktuel værdi
Hejrevej 139940 Læsø,Læsø,1.300.000,01-02-2017,Alm. Salg,13.402,5,Villa,97,2007,-3 %,Aktuel værdi
Klokkeblomstvej 59940 Læsø,Læsø,250.000,01-02-2017,Fam. Salg,6.250,2,Sommerhus,40,1983,,Aktuel værdi
Kongevejen 139940 Læsø,Læsø,705.000,27-01-2017,Alm. Salg,6.409,4,Sommerhus,110,1900,-11 %,Aktuel værdi
Løvstien 49940 Læsø,Læsø,282.200,23-01-2017,Fam. Salg,4.341,4,Sommerhus,65,1975,,Aktuel værdi
Hundetudevej 79940 Læsø,Læsø,1.891.227,29-12-2016,Alm. Salg,17.192,2,Stuehus,110,1964,0 %,
Tørkerivej 5A9940 Læsø,Læsø,980.000,21-12-2016,Alm. Salg,8.750,3,Stuehus,112,1966,,
Granstien 39940 Læsø,Læsø,487.500,19-12-2016,Fam. Salg,8.405,4,Sommerhus,58,1970,,Aktuel værdi
Granstien 19940 Læsø,Læsø,487.500,19-12-2016,Fam. Salg,8.863,4,Sommerhus,55,1973,,Aktuel værdi
Tørkerivej 49940 Læsø,Læsø,40.000,15-12-2016,Alm. Salg,168,6,Stuehus,237,1978,,
Doktorvejen 239940 Læsø,Læsø,400.000,12-12-2016,Fam. Salg,5.128,3,Villa,78,1966,,Aktuel værdi
Birkealle 69940 Læsø,Læsø,1.170.000,10-12-2016,Alm. Salg,5.939,7,Villa,197,1948,0 %,Aktuel værdi
Østerby Havnegade 249940 Læsø,Læsø,610.000,07-12-2016,Alm. Salg,4.357,4,Villa,140,1940,0 %,Aktuel værdi
Nattergalevej 29940 Læsø,Læsø,1.576.410,02-12-2016,Fam. Salg,16.420,4,Sommerhus,96,1956,,Aktuel værdi
Østerby Havnegade 149940 Læsø,Læsø,1.040.000,29-11-2016,Fam. Salg,7.428,6,Villa,140,1885,,Aktuel værdi
Høyersvej 59940 Læsø,Læsø,1.772.109,23-11-2016,Alm. Salg,15.276,4,Villa,116,1935,-1 %,Aktuel værdi
Danzigmannvej 1D9940 Læsø,Læsø,425.000,20-11-2016,Alm. Salg,3.541,4,Villa,120,1965,-14 %,Aktuel værdi
Skovensgårdsvej 29940 Læsø,Læsø,400.000,18-11-2016,Alm. Salg,2.941,4,Villa,136,1977,-33 %,Aktuel værdi
Tørkerivej 239940 Læsø,Læsø,1.025.000,17-11-2016,Alm. Salg,8.266,4,Villa,124,1903,-6 %,Aktuel værdi
Hedevej 149940 Læsø,Læsø,1.062.500,17-11-2016,Fam. Salg,7.083,3,Sommerhus,150,2014,,Aktuel værdi
Linievejen 139940 Læsø,Læsø,481.000,10-11-2016,Fam. Salg,4.715,5,Villa,102,1976,,Aktuel værdi
Orøvej 59940 Læsø,Læsø,400.000,07-11-2016,Alm. Salg,7.142,4,Sommerhus,56,1963,-27 %,Aktuel værdi
Strandvejen 349940 Læsø,Læsø,850.000,04-11-2016,Alm. Salg,7.589,3,Villa,112,1950,-15 %,Aktuel værdi
Byrumvej 309940 Læsø,Læsø,2.481.115,03-11-2016,Alm. Salg,11.703,9,Stuehus,212,1700,,
Sithjemsvej 39940 Læsø,Læsø,1.990.000,31-10-2016,Alm. Salg,33.166,3,Stuehus,60,1877,-20 %,
Strandstien 39940 Læsø,Læsø,2.800.000,28-10-2016,Alm. Salg,27.184,5,Sommerhus,103,2007,-5 %,Aktuel værdi
Mellemvej 119940 Læsø,Læsø,1.407.500,22-10-2016,Alm. Salg,9.640,5,Villa,146,2008,-6 %,Aktuel værdi
Byrum Hovedgade 1119940 Læsø,Læsø,600.000,21-10-2016,Alm. Salg,7.500,3,Villa,80,1966,,Aktuel værdi
