address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Hedenstedvej 548781 Stenderup,erup,100.000,13-03-2017,Alm. Salg,584,7,Stuehus,171,1969,,
Dallerupvej 538781 Stenderup,erup,1.990.000,06-01-2017,Alm. Salg,10.473,6,Stuehus,190,1900,81 %,
Lystrupvej 88781 Stenderup,erup,2.657.000,08-12-2016,Alm. Salg,7.814,10,Villa,340,1930,-5 %,Aktuel værdi
Hedenstedvej 68781 Stenderup,erup,1.795.000,22-11-2016,Alm. Salg,11.506,6,Villa,156,1934,0 %,Aktuel værdi
Hedenstedvej 288781 Stenderup,erup,1.276.000,18-11-2016,Alm. Salg,6.934,7,Villa,184,1929,-1 %,Aktuel værdi
Larsens Plads 28781 Stenderup,erup,366.527,13-11-2016,Fam. Salg,3.740,4,Villa,98,1966,,Aktuel værdi
Dalbyvej 88781 Stenderup,erup,365.000,27-10-2016,Alm. Salg,4.101,3,Villa,89,1870,-8 %,Aktuel værdi
Fuglkær 438781 Stenderup,erup,2.300.000,06-10-2016,Alm. Salg,12.365,6,Villa,186,2008,,Aktuel værdi
Ny Skolevej 48781 Stenderup,erup,1.295.000,23-09-2016,Alm. Salg,11.163,3,Villa,116,1969,0 %,Aktuel værdi
Hedenstedvej 428781 Stenderup,erup,1.421.555,25-08-2016,Alm. Salg,6.834,5,Villa,208,1963,4 %,Aktuel værdi
Fuglkær 318781 Stenderup,erup,2.380.000,27-07-2016,Alm. Salg,10.484,6,Villa,227,2005,1 %,Aktuel værdi
Ørnstrup Møllevej 198781 Stenderup,erup,1.395.000,07-07-2016,Alm. Salg,10.182,5,Villa,137,1947,,Aktuel værdi
Dallerupvej 48781 Stenderup,erup,425.000,20-06-2016,Alm. Salg,3.171,6,Villa,134,1966,,Aktuel værdi
Dallerupvej 258781 Stenderup,erup,1.840.000,09-06-2016,Alm. Salg,9.064,4,Villa,203,1850,-3 %,Aktuel værdi
Ørnstrupvej 1708781 Stenderup,erup,800.000,18-04-2016,Alm. Salg,6.779,3,Villa,118,1877,-5 %,Aktuel værdi
Smedevænget 38781 Stenderup,erup,2.700.000,17-02-2016,Andet,18.750,6,Villa,144,1965,,Aktuel værdi
Dalbyvej 48781 Stenderup,erup,1.975.000,16-11-2015,Alm. Salg,16.596,4,Villa,119,1934,-1 %,Aktuel værdi
Hedenstedvej 1A8781 Stenderup,erup,20.000,06-11-2015,Alm. Salg,152,4,Lejlighed,131,1916,,Aktuel værdi
Palleshøj 28781 Stenderup,erup,1.025.000,30-10-2015,Alm. Salg,7.427,4,Villa,138,1975,-2 %,Aktuel værdi
Hedenstedvej 1B8781 Stenderup,erup,56.000,23-10-2015,Auktion,462,4,Lejlighed,121,1916,-85 %,Aktuel værdi
Ørnstrup Møllevej 118781 Stenderup,erup,1.395.000,24-08-2015,Alm. Salg,9.554,3,Villa,146,1920,0 %,Aktuel værdi
Bjerrevej 2308781 Stenderup,erup,3.000.000,01-07-2015,Alm. Salg,16.393,6,Stuehus,183,1904,,
Bjerrevej 2518781 Stenderup,erup,4.500.000,01-07-2015,Alm. Salg,40.178,4,Stuehus,112,1961,,
Hedenstedvej 468781 Stenderup,erup,2.850.000,26-06-2015,Alm. Salg,12.954,7,Stuehus,220,1800,-3 %,
Stationsvej 78781 Stenderup,erup,742.338,31-05-2015,Alm. Salg,5.498,5,Villa,135,1960,,Aktuel værdi
Fuglkær 118781 Stenderup,erup,1.385.000,28-05-2015,Alm. Salg,14.278,3,Villa,97,2000,,Aktuel værdi
Lystrup Skovvej 28781 Stenderup,erup,1.750.000,24-04-2015,Alm. Salg,14.583,4,Villa,120,1925,-3 %,Aktuel værdi
Bråvej 208781 Stenderup,erup,772.268,02-03-2015,Alm. Salg,3.494,7,Stuehus,221,1991,,
Sdr Aldumvej 98781 Stenderup,erup,772.268,02-03-2015,Alm. Salg,3.960,5,Stuehus,195,1874,,
Hedenstedvej 168781 Stenderup,erup,1.110.000,25-02-2015,Alm. Salg,8.809,5,Villa,126,1930,-3 %,Aktuel værdi
Dallerupvej 168781 Stenderup,erup,31.278.000,26-01-2015,Alm. Salg,114.571,10,Stuehus,273,1884,,
Hedenstedvej 398781 Stenderup,erup,631.750,25-01-2015,Andet,3.471,5,Villa,182,1922,,Aktuel værdi
Ørnstrupvej 1768781 Stenderup,erup,650.000,16-12-2014,Alm. Salg,3.735,6,Villa,174,1974,,Aktuel værdi
Stenderupvej 38781 Stenderup,erup,655.000,23-10-2014,Alm. Salg,5.954,4,Villa,110,1968,-6 %,Aktuel værdi
Bråvej 168781 Stenderup,erup,598.000,13-10-2014,Fam. Salg,3.397,7,Villa,176,1874,,Aktuel værdi
Bråvej 10A8781 Stenderup,erup,310.000,19-09-2014,Alm. Salg,2.480,5,Villa,125,1982,-22 %,Aktuel værdi
Sdr Aldumvej 258781 Stenderup,erup,462.750,21-08-2014,Alm. Salg,6.706,2,Villa,69,1950,,Aktuel værdi
Bjerrevej 2828781 Stenderup,erup,535.664,12-08-2014,Alm. Salg,4.285,4,Villa,125,1890,,Aktuel værdi
Dallerupvej 68781 Stenderup,erup,1.200.000,11-08-2014,Alm. Salg,9.448,5,Stuehus,127,1877,,
