address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Tårnbakken 454793 Bogø By,ø By,375.000,19-05-2017,Alm. Salg,7.812,2,Sommerhus,48,1971,,Aktuel værdi
Bogø Hovedgade 564793 Bogø By,ø By,199.000,24-04-2017,Alm. Salg,1.496,3,Villa,133,1925,,Aktuel værdi
Ålborgvej 354793 Bogø By,ø By,4.480.000,20-03-2017,Fam. Salg,17.431,6,Stuehus,257,1900,,
Møllebakken 234793 Bogø By,ø By,400.000,13-03-2017,Alm. Salg,4.819,3,Sommerhus,83,1972,-33 %,Aktuel værdi
Strandbakken 744793 Bogø By,ø By,575.000,08-03-2017,Alm. Salg,8.582,3,Sommerhus,67,1970,,Aktuel værdi
Østkildevej 474793 Bogø By,ø By,665.000,06-03-2017,Alm. Salg,13.300,3,Sommerhus,50,1981,-4 %,Aktuel værdi
Stenkildevej 34793 Bogø By,ø By,1.250.000,23-02-2017,Fam. Salg,6.648,5,Stuehus,188,1896,,
Østerskovvej 494793 Bogø By,ø By,65.000,02-02-2017,Alm. Salg,580,5,Villa,112,1875,,Aktuel værdi
Akslen 14793 Bogø By,ø By,420.000,18-01-2017,Alm. Salg,5.384,5,Sommerhus,78,1980,-12 %,Aktuel værdi
Vesterskovvej 94793 Bogø By,ø By,635.000,17-01-2017,Alm. Salg,6.546,4,Villa,97,1917,-15 %,Aktuel værdi
Valsen 54793 Bogø By,ø By,247.500,29-12-2016,Alm. Salg,5.265,3,Sommerhus,47,1980,,Aktuel værdi
Østkildevej 374793 Bogø By,ø By,635.000,27-12-2016,Alm. Salg,7.383,3,Sommerhus,86,1985,-9 %,Aktuel værdi
Tårnbakken 14793 Bogø By,ø By,385.000,22-12-2016,Alm. Salg,5.923,4,Sommerhus,65,1973,-3 %,Aktuel værdi
Bogø Hovedgade 1194793 Bogø By,ø By,575.000,02-12-2016,Fam. Salg,3.965,5,Villa,145,1912,,Aktuel værdi
Østkildevej 24793 Bogø By,ø By,525.000,26-11-2016,Alm. Salg,9.545,4,Sommerhus,55,1981,-12 %,Aktuel værdi
Nybygade 284793 Bogø By,ø By,365.000,09-11-2016,Auktion,3.802,3,Villa,96,1972,,Aktuel værdi
Bogø Hovedgade 1624793 Bogø By,ø By,400.000,29-10-2016,Alm. Salg,3.007,6,Villa,133,1900,-11 %,Aktuel værdi
Tragten 204793 Bogø By,ø By,259.962,28-10-2016,Alm. Salg,3.058,4,Sommerhus,85,1998,,Aktuel værdi
Møllebakken 284793 Bogø By,ø By,640.000,27-10-2016,Alm. Salg,12.075,3,Sommerhus,53,2008,-8 %,Aktuel værdi
Sejlet 264793 Bogø By,ø By,1.400.000,26-10-2016,Alm. Salg,18.666,3,Sommerhus,75,2002,-10 %,Aktuel værdi
Højdedraget 464793 Bogø By,ø By,645.000,24-10-2016,Alm. Salg,10.078,3,Sommerhus,64,1977,-4 %,Aktuel værdi
Møllebakken 354793 Bogø By,ø By,725.000,21-10-2016,Alm. Salg,9.539,3,Sommerhus,76,1972,-9 %,Aktuel værdi
Mosedalen 664793 Bogø By,ø By,495.000,14-10-2016,Alm. Salg,4.950,5,Sommerhus,100,1976,-10 %,Aktuel værdi
Valsen 84793 Bogø By,ø By,700.000,21-09-2016,Alm. Salg,11.666,4,Sommerhus,60,1981,-6 %,Aktuel værdi
