address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Lange Müllers Vej 89900 Frederikshavn,havn,1.073.500,16-05-2017,Fam. Salg,4.901,7,Villa,219,1969,,Aktuel værdi
Peder Skrams Vej 299900 Frederikshavn,havn,540.000,04-05-2017,Alm. Salg,6.206,3,Villa,87,1956,-9 %,Aktuel værdi
Absalonsvej 169900 Frederikshavn,havn,995.000,02-05-2017,Alm. Salg,7.896,4,Villa,126,1964,,Aktuel værdi
Fynsvej 119900 Frederikshavn,havn,450.000,01-05-2017,Fam. Salg,5.357,3,Villa,84,1957,,Aktuel værdi
"Søndergade 131, 19900 Frederikshavn",havn,695.000,28-04-2017,Fam. Salg,5.472,4,Lejlighed,127,1877,,Aktuel værdi
Lisborgvej 179900 Frederikshavn,havn,1.885.000,28-04-2017,Alm. Salg,11.855,6,Villa,159,1973,-3 %,Aktuel værdi
Orionvej 19900 Frederikshavn,havn,2.695.000,28-04-2017,Alm. Salg,15.225,5,Villa,177,1982,0 %,Aktuel værdi
Kratvej 519900 Frederikshavn,havn,565.000,25-04-2017,Alm. Salg,9.576,3,Sommerhus,59,1960,-6 %,Aktuel værdi
Skagensvej 2309900 Frederikshavn,havn,250.000,25-04-2017,Alm. Salg,2.450,3,Villa,102,1960,-23 %,Aktuel værdi
Møllehus Alle 259900 Frederikshavn,havn,950.000,25-04-2017,Alm. Salg,10.326,3,Villa,92,1943,-5 %,Aktuel værdi
"Kragholmen 210, ST. TH9900 Frederikshavn",havn,820.000,24-04-2017,Alm. Salg,11.884,2,Lejlighed,69,1979,-8 %,Aktuel værdi
Atletikvej 59900 Frederikshavn,havn,1.510.000,20-04-2017,Alm. Salg,11.526,4,Villa,131,1983,,Aktuel værdi
Rolighedsvej 89900 Frederikshavn,havn,210.000,20-04-2017,Alm. Salg,1.265,6,Villa,166,1900,-29 %,Aktuel værdi
Brorsonsvej 369900 Frederikshavn,havn,770.000,19-04-2017,Alm. Salg,6.936,4,Villa,111,1965,-9 %,Aktuel værdi
Morbrovej 59900 Frederikshavn,havn,810.000,12-04-2017,Alm. Salg,5.586,4,Villa,145,1986,-4 %,Aktuel værdi
Brønderslevvej 1789900 Frederikshavn,havn,54.000,11-04-2017,Alm. Salg,495,4,Villa,109,1877,,Aktuel værdi
Ærøvej 339900 Frederikshavn,havn,920.000,11-04-2017,Alm. Salg,6.917,5,Villa,133,1958,,Aktuel værdi
Herluf Trolles Vej 109900 Frederikshavn,havn,1.145.000,10-04-2017,Alm. Salg,7.896,5,Villa,145,1960,-3 %,Aktuel værdi
Flagetsvej 19900 Frederikshavn,havn,250.000,10-04-2017,Alm. Salg,1.572,5,Villa,159,1974,-49 %,Aktuel værdi
Marinus Bødkers Vej 11A9900 Frederikshavn,havn,4.000.000,06-04-2017,Fam. Salg,15.625,8,Villa,256,1966,,Aktuel værdi
Bangsmindevej 149900 Frederikshavn,havn,280.000,04-04-2017,Alm. Salg,1.320,8,Villa,212,1940,,Aktuel værdi
Præstegårdsvej 379900 Frederikshavn,havn,397.500,03-04-2017,Fam. Salg,2.352,5,Villa,169,1977,,Aktuel værdi
Enighedsvej 769900 Frederikshavn,havn,935.000,02-04-2017,Alm. Salg,8.657,4,Villa,108,1964,-11 %,Aktuel værdi
Lundevej 69900 Frederikshavn,havn,625.000,02-04-2017,Alm. Salg,6.868,5,Villa,91,1927,-3 %,Aktuel værdi
Søborgvej 109900 Frederikshavn,havn,1.500.000,31-03-2017,Alm. Salg,9.677,4,Villa,155,1974,,Aktuel værdi
