address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Blommehaven 234800 Nykøbing F,ng F,945.000,25-05-2017,Alm. Salg,10.161,3,Rækkehus,93,1981,-14 %,Aktuel værdi
Vestervang 1A4800 Nykøbing F,ng F,460.000,11-05-2017,Andet,5.348,3,Villa,86,1953,,Aktuel værdi
Lundevej 274800 Nykøbing F,ng F,3.250.000,09-05-2017,Alm. Salg,18.571,5,Villa,175,1947,-10 %,Aktuel værdi
Valnæsvej 144800 Nykøbing F,ng F,1.500.000,08-05-2017,Alm. Salg,11.450,5,Villa,131,1959,-6 %,Aktuel værdi
Linde Alle 114800 Nykøbing F,ng F,1.050.000,07-05-2017,Fam. Salg,10.606,3,Villa,99,1923,-12 %,Aktuel værdi
Lisevej 64800 Nykøbing F,ng F,800.000,05-05-2017,Fam. Salg,4.000,5,Villa,200,1850,,Aktuel værdi
Bakkevej 34800 Nykøbing F,ng F,900.000,04-05-2017,Alm. Salg,6.293,4,Villa,143,1958,-10 %,Aktuel værdi
Nykøbingvej 1424800 Nykøbing F,ng F,200.000,02-05-2017,Andet,1.169,7,Stuehus,171,1917,,
Stubberupvej 24800 Nykøbing F,ng F,1.000.000,02-05-2017,Alm. Salg,4.273,9,Villa,234,1955,,Aktuel værdi
Kystparken 194800 Nykøbing F,ng F,1.265.000,24-04-2017,Alm. Salg,12.047,4,Villa,105,1979,-2 %,Aktuel værdi
"Slotsbryggen 2, 1. 24800 Nykøbing F",ng F,750.000,21-04-2017,Alm. Salg,9.146,2,Lejlighed,82,2006,,Aktuel værdi
Systoftevej 104800 Nykøbing F,ng F,425.000,20-04-2017,Fam. Salg,3.794,5,Villa,112,1910,,Aktuel værdi
Kirkevej 24800 Nykøbing F,ng F,770.000,18-04-2017,Alm. Salg,6.525,4,Villa,118,1967,-4 %,Aktuel værdi
Ingemannsgade 54800 Nykøbing F,ng F,1.650.000,10-04-2017,Alm. Salg,12.500,4,Villa,132,1936,0 %,Aktuel værdi
Pandebjergvej 1164800 Nykøbing F,ng F,2.217.000,07-04-2017,Alm. Salg,15.395,5,Villa,144,1999,,Aktuel værdi
Musvitvej 224800 Nykøbing F,ng F,1.328.000,06-04-2017,Alm. Salg,9.222,5,Villa,144,1968,-2 %,Aktuel værdi
Fromsgade 214800 Nykøbing F,ng F,785.000,05-04-2017,Fam. Salg,6.382,5,Rækkehus,123,1906,,Aktuel værdi
Grønnegade 114800 Nykøbing F,ng F,560.000,05-04-2017,Alm. Salg,6.436,2,Rækkehus,87,1880,-6 %,Aktuel værdi
"Finsensgade 3, 14800 Nykøbing F",ng F,630.000,03-04-2017,Alm. Salg,7.875,2,Lejlighed,80,1942,,Aktuel værdi
Nykøbingvej 2684800 Nykøbing F,ng F,16.000,31-03-2017,Alm. Salg,42,10,Stuehus,374,1920,,
Strandmarken 254800 Nykøbing F,ng F,1.715.000,31-03-2017,Alm. Salg,13.398,4,Villa,128,1923,-4 %,Aktuel værdi
Hullebækvej 404800 Nykøbing F,ng F,67.475,31-03-2017,Alm. Salg,357,5,Stuehus,189,1982,,
Kastanievej 34800 Nykøbing F,ng F,1.710.000,31-03-2017,Alm. Salg,13.153,5,Villa,130,1953,-2 %,Aktuel værdi
"Østre Alle 40, 2. TH4800 Nykøbing F",ng F,320.000,28-03-2017,Alm. Salg,5.161,2,Lejlighed,62,1934,,Aktuel værdi
Enighedsvej 414800 Nykøbing F,ng F,600.000,28-03-2017,Alm. Salg,8.108,3,Rækkehus,74,1944,-14 %,Aktuel værdi
Rømøvej 144800 Nykøbing F,ng F,2.695.000,27-03-2017,Alm. Salg,14.489,5,Villa,186,1985,-4 %,Aktuel værdi
Stubbekøbingvej 2054800 Nykøbing F,ng F,700.000,23-03-2017,Alm. Salg,6.363,5,Villa,110,1906,-6 %,Aktuel værdi
Snebærvej 204800 Nykøbing F,ng F,1.700.000,23-03-2017,Alm. Salg,10.493,6,Villa,162,1986,,Aktuel værdi
Guldnældevænget 54800 Nykøbing F,ng F,2.200.000,22-03-2017,Alm. Salg,15.172,5,Villa,145,2007,-4 %,Aktuel værdi
Gedservej 194800 Nykøbing F,ng F,1.100.000,20-03-2017,Alm. Salg,10.091,3,Villa,109,1928,-4 %,Aktuel værdi
Vennerslundvej 24800 Nykøbing F,ng F,995.000,18-03-2017,Alm. Salg,10.934,4,Villa,91,1958,-5 %,Aktuel værdi
Stubbekøbingvej 134800 Nykøbing F,ng F,671.500,17-03-2017,Fam. Salg,9.326,2,Rækkehus,72,1884,,Aktuel værdi
Bellingevej 114800 Nykøbing F,ng F,1.175.000,17-03-2017,Alm. Salg,7.580,3,Villa,155,1957,,Aktuel værdi
Bellingegårdsvej 14800 Nykøbing F,ng F,250.000,16-03-2017,Alm. Salg,1.953,4,Villa,128,1800,,Aktuel værdi
"Slotsporten 9, 1. TH4800 Nykøbing F",ng F,1.488.000,15-03-2017,Alm. Salg,13.906,4,Lejlighed,107,1937,0 %,Aktuel værdi
Belgiensvej 1C4800 Nykøbing F,ng F,1.300.000,14-03-2017,Fam. Salg,7.027,4,Villa,185,1969,,Aktuel værdi
Engvej 44800 Nykøbing F,ng F,1.100.000,13-03-2017,Alm. Salg,8.461,4,Villa,130,1922,-15 %,Aktuel værdi
Poppelvej 84800 Nykøbing F,ng F,950.000,13-03-2017,Alm. Salg,7.307,4,Villa,130,1975,-5 %,Aktuel værdi
Pandebjergvej 394800 Nykøbing F,ng F,1.025.000,13-03-2017,Andet,5.366,6,Villa,191,1973,,Aktuel værdi
Grønsundsvej 1874800 Nykøbing F,ng F,300.000,10-03-2017,Alm. Salg,2.380,4,Villa,126,1891,-24 %,Aktuel værdi
Bygaden 52B4800 Nykøbing F,ng F,495.000,08-03-2017,Alm. Salg,5.000,4,Rækkehus,99,1983,-17 %,Aktuel værdi
Kystvej 44800 Nykøbing F,ng F,1.989.290,08-03-2017,Alm. Salg,9.896,8,Villa,201,1950,,Aktuel værdi
Kretavej 64800 Nykøbing F,ng F,2.125.000,07-03-2017,Alm. Salg,13.281,6,Villa,160,1969,-6 %,Aktuel værdi
Østre Alle 48A4800 Nykøbing F,ng F,2.300.000,07-03-2017,Alm. Salg,10.599,5,Rækkehus,217,1917,,Aktuel værdi
Blommehaven 214800 Nykøbing F,ng F,1.030.000,04-03-2017,Alm. Salg,11.075,3,Rækkehus,93,1981,4 %,Aktuel værdi
Thusevænget 54800 Nykøbing F,ng F,2.220.000,03-03-2017,Fam. Salg,8.740,8,Villa,254,1930,,Aktuel værdi
Vandværksvej 754800 Nykøbing F,ng F,1.325.000,02-03-2017,Alm. Salg,7.361,6,Villa,180,1973,-5 %,Aktuel værdi
Egevænget 24800 Nykøbing F,ng F,501.093,28-02-2017,Fam. Salg,3.131,4,Villa,160,1968,,Aktuel værdi
Sundby Alle 354800 Nykøbing F,ng F,1.060.000,27-02-2017,Alm. Salg,7.625,5,Villa,139,1948,-18 %,Aktuel værdi
Klodskovvej 424800 Nykøbing F,ng F,1.050.000,27-02-2017,Alm. Salg,3.547,9,Villa,296,1890,,Aktuel værdi
Smalbyvej 154800 Nykøbing F,ng F,1.985.115,27-02-2017,Fam. Salg,10.180,5,Stuehus,195,1780,,
"Engboulevarden 9, 14800 Nykøbing F",ng F,350.000,24-02-2017,Alm. Salg,2.991,4,Lejlighed,117,1907,-12 %,Aktuel værdi
Thorsensvej 384800 Nykøbing F,ng F,1.200.000,23-02-2017,Alm. Salg,8.108,4,Villa,148,1914,-7 %,Aktuel værdi
Stubbekøbingvej 534800 Nykøbing F,ng F,892.500,23-02-2017,Fam. Salg,7.563,6,Villa,118,1901,,Aktuel værdi
Egehegnet 204800 Nykøbing F,ng F,2.100.000,23-02-2017,Alm. Salg,13.907,6,Villa,151,2011,-4 %,Aktuel værdi
Kreibergsgade 64800 Nykøbing F,ng F,800.000,22-02-2017,Alm. Salg,6.250,4,Villa,128,1927,-11 %,Aktuel værdi
Gaabensevej 1054800 Nykøbing F,ng F,1.380.000,22-02-2017,Alm. Salg,7.459,5,Villa,185,1916,-7 %,Aktuel værdi
Rosendahlsgade 44800 Nykøbing F,ng F,1.095.000,21-02-2017,Alm. Salg,5.763,8,Villa,190,1932,0 %,Aktuel værdi
Staldgaarden 224800 Nykøbing F,ng F,995.000,17-02-2017,Alm. Salg,14.014,2,Rækkehus,71,1853,0 %,Aktuel værdi
Strandbyvej 144800 Nykøbing F,ng F,995.000,16-02-2017,Alm. Salg,6.297,3,Villa,158,1963,0 %,Aktuel værdi
Lindevænget 54800 Nykøbing F,ng F,600.000,16-02-2017,Fam. Salg,5.128,4,Villa,117,1967,,Aktuel værdi
