address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Stationsvej 289480 Løkken,kken,380.014,12-05-2017,Fam. Salg,2.289,4,Villa,166,1915,-52 %,Aktuel værdi
Augustvej 89480 Løkken,kken,750.000,12-05-2017,Alm. Salg,6.000,5,Sommerhus,125,1996,,Aktuel værdi
Egernvej 379480 Løkken,kken,790.500,10-05-2017,Alm. Salg,10.682,4,Sommerhus,74,2000,,Aktuel værdi
Mårvej 119480 Løkken,kken,1.150.000,04-05-2017,Alm. Salg,14.197,4,Sommerhus,81,1989,,Aktuel værdi
Ernavej 89480 Løkken,kken,416.667,01-05-2017,Fam. Salg,7.716,3,Sommerhus,54,1984,,Aktuel værdi
Ildervej 49480 Løkken,kken,875.000,29-04-2017,Alm. Salg,9.308,4,Sommerhus,94,1979,-7 %,Aktuel værdi
Ingeborgvej 2. 23039480 Løkken,kken,500.000,28-04-2017,Alm. Salg,5.000,4,Sommerhus,100,1978,-8 %,Aktuel værdi
Lillysvej 79480 Løkken,kken,1.350.000,24-04-2017,Alm. Salg,20.454,4,Sommerhus,66,1984,-3 %,Aktuel værdi
Drosselvej 29480 Løkken,kken,1.248.000,23-04-2017,Alm. Salg,24.960,3,Sommerhus,50,1952,-4 %,Aktuel værdi
Magdalenevej 299480 Løkken,kken,1.295.000,21-04-2017,Alm. Salg,17.266,4,Sommerhus,75,1975,0 %,Aktuel værdi
Ingeborgvej 2. 14079480 Løkken,kken,460.000,19-04-2017,Alm. Salg,4.466,4,Sommerhus,103,1978,-8 %,Aktuel værdi
Ingelisevej 29480 Løkken,kken,1.175.000,12-04-2017,Alm. Salg,16.549,4,Sommerhus,71,1985,-8 %,Aktuel værdi
Harald Jensens Vej 499480 Løkken,kken,875.000,05-04-2017,Alm. Salg,17.500,3,Sommerhus,50,1965,-2 %,Aktuel værdi
Ingeborgvej 2. 9029480 Løkken,kken,535.000,05-04-2017,Alm. Salg,5.350,4,Sommerhus,100,1978,-10 %,Aktuel værdi
Ruthsvej 289480 Løkken,kken,3.000.000,04-04-2017,Alm. Salg,24.000,5,Sommerhus,125,1916,-8 %,Aktuel værdi
Emil Nielsens Vej 109480 Løkken,kken,1.100.000,04-04-2017,Alm. Salg,14.666,3,Sommerhus,75,1957,-4 %,Aktuel værdi
Toftevej 109480 Løkken,kken,450.000,03-04-2017,Alm. Salg,8.490,4,Sommerhus,53,1969,-14 %,Aktuel værdi
Hildavej 219480 Løkken,kken,2.650.000,01-04-2017,Alm. Salg,29.120,4,Sommerhus,91,2003,-7 %,Aktuel værdi
Ingeborgvej 2. 19059480 Løkken,kken,770.000,31-03-2017,Alm. Salg,7.700,4,Sommerhus,100,1978,-3 %,Aktuel værdi
Harald Jensens Vej 309480 Løkken,kken,970.000,30-03-2017,Alm. Salg,8.151,5,Sommerhus,119,1975,-3 %,Aktuel værdi
Stellavej 209480 Løkken,kken,1.225.000,30-03-2017,Alm. Salg,13.031,5,Sommerhus,94,1972,-9 %,Aktuel værdi
Herthasvej 169480 Løkken,kken,2.550.000,26-03-2017,Alm. Salg,26.562,4,Sommerhus,96,1976,-15 %,Aktuel værdi
Hovedgaden 859480 Løkken,kken,510.000,24-03-2017,Alm. Salg,4.146,5,Villa,123,1965,-10 %,Aktuel værdi
