address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Gartnervej 84654 Faxe Ladeplads,lads,825.000,26-04-2017,Alm. Salg,8.250,3,Villa,100,1969,-3 %,Aktuel værdi
Hedvigsvej 5B4654 Faxe Ladeplads,lads,825.000,12-04-2017,Alm. Salg,11.785,4,Sommerhus,70,1985,-5 %,Aktuel værdi
Fredensvej 84654 Faxe Ladeplads,lads,425.000,08-04-2017,Alm. Salg,3.512,4,Villa,121,1923,,Aktuel værdi
Rosenvej 14654 Faxe Ladeplads,lads,1.000.000,31-03-2017,Alm. Salg,7.812,3,Villa,128,1896,-9 %,Aktuel værdi
Alfavej 44654 Faxe Ladeplads,lads,1.500.000,13-03-2017,Alm. Salg,9.375,4,Villa,160,1902,-6 %,Aktuel værdi
Ved Krogen 164654 Faxe Ladeplads,lads,390.000,11-03-2017,Alm. Salg,6.842,5,Sommerhus,57,1966,4 %,Aktuel værdi
Faxevej 12B4654 Faxe Ladeplads,lads,950.000,10-03-2017,Alm. Salg,8.189,4,Villa,116,1987,-3 %,Aktuel værdi
Sommervej 234654 Faxe Ladeplads,lads,1.500.000,19-02-2017,Alm. Salg,9.036,6,Villa,166,1979,-14 %,Aktuel værdi
Vallebovej 74654 Faxe Ladeplads,lads,300.000,17-02-2017,Alm. Salg,1.415,8,Stuehus,212,1882,,
Hovedgaden 174654 Faxe Ladeplads,lads,700.000,14-02-2017,Alm. Salg,2.439,11,Villa,287,1900,,Aktuel værdi
Jyllandsvej 34654 Faxe Ladeplads,lads,71.121,04-02-2017,Alm. Salg,2.540,2,Sommerhus,28,1952,,Aktuel værdi
Flidsagervej 34654 Faxe Ladeplads,lads,695.000,04-02-2017,Alm. Salg,13.627,3,Villa,51,1967,0 %,Aktuel værdi
Hovedgaden 26A4654 Faxe Ladeplads,lads,475.000,31-01-2017,Alm. Salg,9.500,2,Lejlighed,50,1930,6 %,Aktuel værdi
Favrbyvej 74654 Faxe Ladeplads,lads,1.950.000,19-01-2017,Alm. Salg,11.607,4,Villa,168,2006,-2 %,Aktuel værdi
Alfavej 14654 Faxe Ladeplads,lads,1.275.000,03-01-2017,Alm. Salg,10.537,3,Villa,121,1917,-6 %,Aktuel værdi
Hylleholtvej 264654 Faxe Ladeplads,lads,650.000,02-01-2017,Alm. Salg,4.642,6,Villa,140,1953,-18 %,Aktuel værdi
Rosenvej 2B4654 Faxe Ladeplads,lads,1.150.000,09-12-2016,Alm. Salg,10.454,5,Villa,110,1900,-8 %,Aktuel værdi
Rollovej 94654 Faxe Ladeplads,lads,390.000,01-12-2016,Alm. Salg,7.647,3,Sommerhus,51,1969,-7 %,Aktuel værdi
Gefionsvej 114654 Faxe Ladeplads,lads,1.050.000,18-11-2016,Alm. Salg,8.015,4,Villa,131,1979,-22 %,Aktuel værdi
Favrbyvej 414654 Faxe Ladeplads,lads,1.200.000,14-11-2016,Alm. Salg,8.888,4,Villa,135,1968,,Aktuel værdi
Kissendrupvej 164654 Faxe Ladeplads,lads,1.142.500,01-11-2016,Andet,11.200,3,Villa,102,1917,,Aktuel værdi
Favrbyvej 164654 Faxe Ladeplads,lads,1.350.000,28-10-2016,Alm. Salg,7.105,4,Villa,190,1965,,Aktuel værdi
Slåenvej 14654 Faxe Ladeplads,lads,1.495.000,28-10-2016,Alm. Salg,10.833,4,Villa,138,2002,,Aktuel værdi
Hedvigsvej 8A4654 Faxe Ladeplads,lads,835.000,24-10-2016,Alm. Salg,10.705,3,Sommerhus,78,1980,-2 %,Aktuel værdi
Ingridsvej 204654 Faxe Ladeplads,lads,845.000,17-10-2016,Alm. Salg,15.363,2,Sommerhus,55,1972,0 %,Aktuel værdi
Hedvigsvej 144654 Faxe Ladeplads,lads,475.000,07-10-2016,Alm. Salg,9.134,3,Sommerhus,52,1983,-13 %,Aktuel værdi
Hovedgaden 354654 Faxe Ladeplads,lads,3.300.000,06-10-2016,Alm. Salg,45.205,9,Servicevirksomhed,73,1920,,Aktuel værdi
Elmueparken 144654 Faxe Ladeplads,lads,785.000,06-10-2016,Alm. Salg,15.096,3,Sommerhus,52,2005,-10 %,Aktuel værdi
Gartnervej 314654 Faxe Ladeplads,lads,1.350.000,27-09-2016,Alm. Salg,11.842,4,Villa,114,1976,-7 %,Aktuel værdi
