address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Tranevej 94230 Skælskør,skør,400.000,10-05-2017,Fam. Salg,10.000,3,Sommerhus,40,1937,,Aktuel værdi
"Vestergade 16G, ST4230 Skælskør",skør,245.000,05-05-2017,Alm. Salg,7.000,1,Lejlighed,35,1849,,Aktuel værdi
Højen 294230 Skælskør,skør,931.929,03-05-2017,Fam. Salg,6.171,5,Villa,151,1978,,Aktuel værdi
Skytteengen 134230 Skælskør,skør,2.175.000,02-05-2017,Alm. Salg,15.535,4,Villa,140,1998,,Aktuel værdi
Skytteengen 594230 Skælskør,skør,2.000.000,02-05-2017,Alm. Salg,14.388,4,Villa,139,2000,,Aktuel værdi
Vestergade 16C4230 Skælskør,skør,510.000,26-04-2017,Alm. Salg,8.947,2,Lejlighed,57,1849,,Aktuel værdi
Nyvej 74230 Skælskør,skør,890.000,09-04-2017,Alm. Salg,8.090,4,Villa,110,1960,-9 %,Aktuel værdi
"Præstestræde 21, 1. TV4230 Skælskør",skør,875.000,07-04-2017,Alm. Salg,10.294,3,Lejlighed,85,1930,,Aktuel værdi
Ribsvej 204230 Skælskør,skør,875.000,07-04-2017,Alm. Salg,10.057,4,Rækkehus,87,1984,-2 %,Aktuel værdi
Æblevej 224230 Skælskør,skør,1.250.000,05-04-2017,Alm. Salg,10.683,5,Villa,117,1966,6 %,Aktuel værdi
Maglevænge 34230 Skælskør,skør,493.160,31-03-2017,Andet,3.599,5,Villa,137,1940,,Aktuel værdi
Magleby Ravnemark 374230 Skælskør,skør,1.145.000,29-03-2017,Alm. Salg,7.633,5,Villa,150,1975,,Aktuel værdi
Østre Strand 1594230 Skælskør,skør,505.000,23-03-2017,Alm. Salg,12.317,2,Sommerhus,41,1987,-8 %,Aktuel værdi
Mågevej 74230 Skælskør,skør,2.495.000,23-03-2017,Alm. Salg,27.119,6,Sommerhus,92,1950,0 %,Aktuel værdi
Konge-Åsen 1354230 Skælskør,skør,1.100.000,23-03-2017,Alm. Salg,8.730,5,Villa,126,1977,-4 %,Aktuel værdi
Lovsøvej 194230 Skælskør,skør,800.000,23-03-2017,Alm. Salg,4.324,5,Villa,185,1933,,Aktuel værdi
Østre Strand 1934230 Skælskør,skør,1.100.000,22-03-2017,Alm. Salg,15.714,3,Sommerhus,70,1999,,Aktuel værdi
Teglværksvej 354230 Skælskør,skør,540.000,17-03-2017,Alm. Salg,4.500,4,Villa,120,1975,-9 %,Aktuel værdi
Gartnervænget 74230 Skælskør,skør,1.130.000,15-03-2017,Alm. Salg,8.308,6,Villa,136,1967,-5 %,Aktuel værdi
Konge-Åsen 1054230 Skælskør,skør,1.050.000,15-03-2017,Alm. Salg,6.645,4,Villa,158,1978,-16 %,Aktuel værdi
Østre Strand 2294230 Skælskør,skør,870.000,12-03-2017,Alm. Salg,13.809,4,Sommerhus,63,1983,-3 %,Aktuel værdi
