address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Klovbyvej 184490 Jerslev Sjælland,land,827.156,01-05-2017,Fam. Salg,3.335,4,Stuehus,248,1917,,
Fugledevej 54490 Jerslev Sjælland,land,503.500,08-04-2017,Alm. Salg,5.035,4,Villa,100,1900,-8 %,Aktuel værdi
Klovbyvej 84490 Jerslev Sjælland,land,4.785.000,16-03-2017,Alm. Salg,25.864,8,Stuehus,185,1912,,
Bøgevej 14490 Jerslev Sjælland,land,1.595.000,27-02-2017,Alm. Salg,9.011,5,Villa,177,1972,0 %,Aktuel værdi
Enggårdsvej 584490 Jerslev Sjælland,land,1.100.000,12-02-2017,Alm. Salg,6.875,5,Villa,160,1973,-4 %,Aktuel værdi
Søndergade 794490 Jerslev Sjælland,land,1.095.000,05-02-2017,Alm. Salg,8.902,3,Villa,123,1974,0 %,Aktuel værdi
Wiekærvej 64490 Jerslev Sjælland,land,1.400.000,23-01-2017,Alm. Salg,10.294,5,Villa,136,1971,-20 %,Aktuel værdi
Klovbygade 364490 Jerslev Sjælland,land,611.000,18-01-2017,Fam. Salg,5.049,5,Villa,121,1900,,Aktuel værdi
Hørkærhaven 22B4490 Jerslev Sjælland,land,635.000,16-01-2017,Alm. Salg,7.650,3,Rækkehus,83,1987,0 %,Aktuel værdi
Skolevang 14490 Jerslev Sjælland,land,550.000,19-12-2016,Alm. Salg,5.500,4,Villa,100,1942,0 %,Aktuel værdi
Parkvej 244490 Jerslev Sjælland,land,1.535.000,06-12-2016,Alm. Salg,11.043,3,Villa,139,2008,-4 %,Aktuel værdi
Hovedgaden 374490 Jerslev Sjælland,land,595.000,23-11-2016,Alm. Salg,5.265,3,Villa,113,1900,-8 %,Aktuel værdi
Hovvej 44490 Jerslev Sjælland,land,400.000,18-11-2016,Alm. Salg,3.200,3,Villa,125,1930,-27 %,Aktuel værdi
Hørkærhaven 184490 Jerslev Sjælland,land,1.983.500,07-11-2016,Alm. Salg,14.067,5,Villa,141,2002,-5 %,Aktuel værdi
Søndergade 274490 Jerslev Sjælland,land,1.395.000,29-10-2016,Alm. Salg,8.506,5,Villa,164,1972,0 %,Aktuel værdi
Yppenbjerg 14490 Jerslev Sjælland,land,2.120.000,20-10-2016,Alm. Salg,7.851,7,Stuehus,270,1934,-3 %,
Søndergade 394490 Jerslev Sjælland,land,940.000,10-10-2016,Alm. Salg,9.494,3,Villa,99,1972,-5 %,Aktuel værdi
Tissøvej 214490 Jerslev Sjælland,land,655.000,01-10-2016,Andet,10.234,3,Stuehus,64,1847,,
Søvang 234490 Jerslev Sjælland,land,1.295.000,30-09-2016,Alm. Salg,7.194,4,Villa,180,1847,0 %,Aktuel værdi
Hovvej 294490 Jerslev Sjælland,land,635.000,28-09-2016,Alm. Salg,5.879,4,Villa,108,1960,0 %,Aktuel værdi
Skolevej 24490 Jerslev Sjælland,land,750.000,30-08-2016,Alm. Salg,6.578,5,Villa,114,1902,-6 %,Aktuel værdi
Kelleklintevej 334490 Jerslev Sjælland,land,495.000,23-08-2016,Alm. Salg,4.950,3,Villa,100,1900,0 %,Aktuel værdi
Bygaden 104490 Jerslev Sjælland,land,750.000,11-07-2016,Alm. Salg,3.886,10,Villa,193,1917,-16 %,Aktuel værdi
Klovbyvej 114490 Jerslev Sjælland,land,1.750.000,05-07-2016,Alm. Salg,9.459,7,Villa,185,1904,-3 %,Aktuel værdi
Tissøvej 314490 Jerslev Sjælland,land,1.100.000,03-07-2016,Alm. Salg,15.068,3,Villa,73,1931,,Aktuel værdi
Katholm 24490 Jerslev Sjælland,land,400.000,22-06-2016,Alm. Salg,6.666,2,Villa,60,1877,-8 %,Aktuel værdi
Acacievej 144490 Jerslev Sjælland,land,895.000,02-06-2016,Alm. Salg,7.217,4,Villa,124,1969,-5 %,Aktuel værdi
Klovbygade 24490 Jerslev Sjælland,land,2.170.000,06-05-2016,Alm. Salg,14.662,3,Villa,148,2006,-5 %,Aktuel værdi
Søvang 294490 Jerslev Sjælland,land,663.816,30-04-2016,Alm. Salg,5.625,4,Villa,118,1885,,Aktuel værdi
Skolevej 124490 Jerslev Sjælland,land,1.300.000,27-04-2016,Alm. Salg,5.000,9,Stuehus,260,1880,-18 %,
Nordkrogvej 1D4490 Jerslev Sjælland,land,575.000,18-04-2016,Alm. Salg,4.956,4,Villa,116,1940,-17 %,Aktuel værdi
Hovedgaden 654490 Jerslev Sjælland,land,600.000,15-04-2016,Alm. Salg,4.687,4,Villa,128,1902,,Aktuel værdi
Kelleklintevej 94490 Jerslev Sjælland,land,625.000,06-04-2016,Alm. Salg,2.332,7,Villa,268,1877,-16 %,Aktuel værdi
Birkevej 144490 Jerslev Sjælland,land,715.000,05-04-2016,Alm. Salg,6.327,5,Villa,113,1967,-10 %,Aktuel værdi
