address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Hejrevej 38250 Egå, Egå,1.400.000,15-05-2017,Alm. Salg,24.137,2,Sommerhus,58,1952,-12 %,Aktuel værdi
Bredkær Grønnevej 48250 Egå, Egå,3.025.000,08-05-2017,Alm. Salg,27.252,4,Villa,111,1968,-10 %,Aktuel værdi
Skærgårdsparken 118250 Egå, Egå,1.900.000,01-05-2017,Andet,20.879,3,Rækkehus,91,2004,,Aktuel værdi
Tålforvænget 18250 Egå, Egå,4.150.000,01-05-2017,Alm. Salg,42.783,3,Rækkehus,97,2014,0 %,Aktuel værdi
Ved Stranden 1138250 Egå, Egå,5.000.000,25-04-2017,Alm. Salg,29.940,5,Villa,167,1975,,Aktuel værdi
Åtoften 228250 Egå, Egå,2.550.000,21-04-2017,Alm. Salg,25.247,4,Rækkehus,101,2000,-4 %,Aktuel værdi
"Brobjerg Parkvej 89, 2. 18250 Egå", Egå,1.255.000,21-04-2017,Alm. Salg,23.240,2,Lejlighed,54,1976,-2 %,Aktuel værdi
Skæringvangen 528250 Egå, Egå,2.375.000,20-04-2017,Alm. Salg,25.265,4,Rækkehus,94,2000,-1 %,Aktuel værdi
Eghøjvej 27B8250 Egå, Egå,1.700.000,20-04-2017,Alm. Salg,10.240,6,Rækkehus,166,1974,,Aktuel værdi
Under Rønnene 468250 Egå, Egå,1.250.000,16-04-2017,Alm. Salg,40.322,2,Sommerhus,31,1950,-7 %,Aktuel værdi
Altanstien 58250 Egå, Egå,9.000.000,06-04-2017,Alm. Salg,52.941,6,Villa,170,2004,0 %,Aktuel værdi
Blomstervangen 208250 Egå, Egå,5.375.000,03-04-2017,Alm. Salg,28.141,6,Villa,191,1981,-2 %,Aktuel værdi
"Brobjerg Parkvej 9, 1. 18250 Egå", Egå,1.925.000,03-04-2017,Alm. Salg,17.660,3,Lejlighed,109,1987,-4 %,Aktuel værdi
"Brobjerg Parkvej 81, 2. 48250 Egå", Egå,1.225.000,03-04-2017,Alm. Salg,25.520,2,Lejlighed,48,1976,-4 %,Aktuel værdi
"Brobjerg Parkvej 79, 2. 48250 Egå", Egå,1.150.000,28-03-2017,Alm. Salg,21.296,2,Lejlighed,54,1976,0 %,Aktuel værdi
"Brobjerg Parkvej 13, 1. 48250 Egå", Egå,1.465.000,24-03-2017,Alm. Salg,20.928,2,Lejlighed,70,1980,-2 %,Aktuel værdi
Enghaven 38250 Egå, Egå,2.600.000,24-03-2017,Alm. Salg,16.883,5,Villa,154,1970,-4 %,Aktuel værdi
Hans Olsens Vej 188250 Egå, Egå,2.700.000,22-03-2017,Alm. Salg,38.571,3,Sommerhus,70,1985,1 %,Aktuel værdi
Rævlingevej 28250 Egå, Egå,2.200.000,21-03-2017,Alm. Salg,50.000,2,Sommerhus,44,1975,,Aktuel værdi
Strandbakkevej 2A8250 Egå, Egå,2.875.000,21-03-2017,Alm. Salg,17.530,5,Villa,164,1961,-3 %,Aktuel værdi
