address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Erantisvej 175750 Ringe,inge,1.125.000,05-05-2017,Alm. Salg,8.093,4,Villa,139,1975,-10 %,Aktuel værdi
Langekrog 25750 Ringe,inge,1.860.000,25-04-2017,Alm. Salg,10.568,7,Villa,176,1968,-7 %,Aktuel værdi
Assensvej 755750 Ringe,inge,1.250.000,24-04-2017,Alm. Salg,5.364,8,Villa,233,1865,-3 %,Aktuel værdi
Lillekrog 55750 Ringe,inge,2.100.000,24-04-2017,Alm. Salg,10.000,7,Villa,210,1972,-4 %,Aktuel værdi
Nørrevangsvej 55750 Ringe,inge,4.840.000,21-04-2017,Fam. Salg,16.462,10,Stuehus,294,1913,,
Lydinge Mølle Vej 225750 Ringe,inge,850.000,19-04-2017,Alm. Salg,4.885,5,Villa,174,1900,-5 %,Aktuel værdi
Rudmevej 875750 Ringe,inge,950.000,18-04-2017,Fam. Salg,7.196,7,Villa,132,1959,,Aktuel værdi
Løkkevej 35750 Ringe,inge,995.000,12-04-2017,Alm. Salg,9.476,4,Villa,105,1966,0 %,Aktuel værdi
Assensvej 1105750 Ringe,inge,60.000,11-04-2017,Alm. Salg,659,4,Villa,91,1890,,Aktuel værdi
Højrupvej 135750 Ringe,inge,429.240,11-04-2017,Alm. Salg,1.968,5,Villa,218,1906,,Aktuel værdi
Sdr. Højrupvejen 425750 Ringe,inge,1.600.000,11-04-2017,Alm. Salg,4.558,12,Stuehus,351,1855,,
Søllingevej 335750 Ringe,inge,585.000,07-04-2017,Alm. Salg,7.312,3,Villa,80,1959,-13 %,Aktuel værdi
Erantisvej 205750 Ringe,inge,1.000.000,05-04-2017,Alm. Salg,7.936,4,Villa,126,1972,,Aktuel værdi
Fåborgvej 12A5750 Ringe,inge,9.845.000,31-03-2017,Alm. Salg,34.665,12,Stuehus,284,1866,11 %,
Boltingevej 35750 Ringe,inge,1.425.000,30-03-2017,Alm. Salg,7.089,8,Stuehus,201,1936,,
Krokusvej 225750 Ringe,inge,995.000,27-03-2017,Alm. Salg,7.896,4,Villa,126,1972,,Aktuel værdi
Odensevej 415750 Ringe,inge,873.194,23-03-2017,Alm. Salg,5.324,6,Villa,164,1940,,Aktuel værdi
Assensvej 59A5750 Ringe,inge,1.450.000,21-03-2017,Alm. Salg,9.177,3,Villa,158,1929,,Aktuel værdi
