address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Vagtelvej 278560 Kolind,lind,1.710.000,30-04-2017,Alm. Salg,13.571,4,Villa,126,1973,-2 %,Aktuel værdi
Koustrup 18560 Kolind,lind,751.932,26-04-2017,Alm. Salg,3.759,6,Villa,200,1929,-53 %,Aktuel værdi
Bygmarken 588560 Kolind,lind,1.000.000,29-03-2017,Alm. Salg,9.433,4,Villa,106,1980,-9 %,Aktuel værdi
Kraghøjvej 88560 Kolind,lind,1.150.000,24-03-2017,Alm. Salg,4.637,10,Villa,248,1870,-8 %,Aktuel værdi
Mejerivej 308560 Kolind,lind,1.150.000,17-03-2017,Alm. Salg,8.214,6,Villa,140,1926,-11 %,Aktuel værdi
Vedøvej 168560 Kolind,lind,1.600.000,28-02-2017,Alm. Salg,12.598,5,Stuehus,127,1946,-16 %,
Kraghøjvej 1958560 Kolind,lind,160.000,28-02-2017,Alm. Salg,3.265,3,Sommerhus,49,1976,-46 %,Aktuel værdi
Lille Engvej 78560 Kolind,lind,600.000,21-02-2017,Alm. Salg,3.947,4,Villa,152,1969,,Aktuel værdi
Enggårdsbakken 178560 Kolind,lind,2.575.000,06-02-2017,Alm. Salg,15.419,5,Villa,167,2007,-4 %,Aktuel værdi
Engvej 58560 Kolind,lind,1.035.000,19-01-2017,Alm. Salg,8.483,4,Villa,122,1965,-5 %,Aktuel værdi
Vagtelvej 518560 Kolind,lind,1.825.000,06-01-2017,Alm. Salg,7.541,7,Villa,242,1976,-9 %,Aktuel værdi
Bygmarken 548560 Kolind,lind,1.245.000,28-12-2016,Alm. Salg,10.289,4,Villa,121,1979,-2 %,Aktuel værdi
Dæmningen 328560 Kolind,lind,165.000,27-12-2016,Alm. Salg,1.178,6,Villa,140,1938,0 %,Aktuel værdi
Skalhøjvej 68560 Kolind,lind,500.000,26-12-2016,Fam. Salg,4.629,3,Villa,108,1971,,Aktuel værdi
Engvej 48560 Kolind,lind,687.558,19-12-2016,Alm. Salg,3.928,8,Stuehus,175,1867,,
Havrebakken 38560 Kolind,lind,1.125.000,16-12-2016,Alm. Salg,5.653,6,Villa,199,1970,-19 %,Aktuel værdi
Tornhøjvej 18560 Kolind,lind,72.366,14-12-2016,Alm. Salg,528,8,Stuehus,137,1929,,
Kraghøjvej 1758560 Kolind,lind,575.000,07-12-2016,Alm. Salg,9.426,2,Sommerhus,61,1986,-2 %,Aktuel værdi
Bredgade 308560 Kolind,lind,340.000,06-12-2016,Alm. Salg,2.956,5,Villa,115,1942,,Aktuel værdi
Vandmøllevej 38560 Kolind,lind,220.000,29-11-2016,Alm. Salg,1.279,5,Villa,172,1920,,Aktuel værdi
Stabrandvej 158560 Kolind,lind,2.600.000,29-11-2016,Alm. Salg,23.636,4,Stuehus,110,1900,,
Søndermarken 768560 Kolind,lind,2.300.000,18-11-2016,Alm. Salg,14.110,4,Villa,163,2007,-2 %,Aktuel værdi
Bugtrupvej 458560 Kolind,lind,1.509.000,02-11-2016,Alm. Salg,7.778,7,Stuehus,194,1870,-5 %,
Kærbyvej 308560 Kolind,lind,1.297.500,30-10-2016,Alm. Salg,6.329,5,Stuehus,205,1918,-13 %,
Lille Engvej 98560 Kolind,lind,850.000,10-10-2016,Fam. Salg,6.296,4,Villa,135,1968,,Aktuel værdi
Nødagervej 768560 Kolind,lind,525.000,03-10-2016,Alm. Salg,2.500,7,Villa,210,1933,-19 %,Aktuel værdi
Kanalvej 818560 Kolind,lind,900.000,26-09-2016,Alm. Salg,7.200,5,Villa,125,1935,,Aktuel værdi
Frellingvej 278560 Kolind,lind,2.650.000,20-09-2016,Alm. Salg,12.740,6,Stuehus,208,1914,0 %,
Nødagervej 678560 Kolind,lind,1.050.000,16-09-2016,Alm. Salg,7.720,4,Villa,136,1967,,Aktuel værdi
Højsletvej 58560 Kolind,lind,1.198.000,15-09-2016,Alm. Salg,10.239,4,Villa,117,1978,0 %,Aktuel værdi
Kraghøjvej 1738560 Kolind,lind,615.000,11-09-2016,Alm. Salg,12.300,2,Sommerhus,50,1999,-5 %,Aktuel værdi
Sognevejen 148560 Kolind,lind,75.000,09-09-2016,Alm. Salg,340,7,Stuehus,220,1977,,
Havrebakken 28560 Kolind,lind,710.000,28-08-2016,Alm. Salg,7.100,3,Villa,100,1959,-11 %,Aktuel værdi
Enggårdsbakken 38560 Kolind,lind,2.550.000,23-08-2016,Alm. Salg,14.655,6,Villa,174,2010,-2 %,Aktuel værdi
Søndermarken 1138560 Kolind,lind,1.398.000,18-08-2016,Alm. Salg,10.279,4,Villa,136,1997,0 %,Aktuel værdi
Frellingvej 258560 Kolind,lind,1.150.000,17-08-2016,Alm. Salg,5.348,7,Villa,215,1935,-4 %,Aktuel værdi
Enggårdsbakken 498560 Kolind,lind,1.053.203,27-07-2016,Fam. Salg,5.266,5,Villa,200,2008,,Aktuel værdi
Høgevej 1308560 Kolind,lind,400.000,13-07-2016,Alm. Salg,8.000,3,Sommerhus,50,1977,-6 %,Aktuel værdi
Kærbyvej 38560 Kolind,lind,1.070.000,06-07-2016,Alm. Salg,6.294,5,Villa,170,1852,-3 %,Aktuel værdi
Kelstrupvej 48560 Kolind,lind,11.422.000,29-06-2016,Alm. Salg,52.879,7,Stuehus,216,1880,,
Bugtrupvej 218560 Kolind,lind,1.710.000,27-06-2016,Alm. Salg,8.906,11,Villa,192,1963,-14 %,Aktuel værdi
Høgevej 1608560 Kolind,lind,625.000,24-06-2016,Alm. Salg,10.416,4,Sommerhus,60,1981,-4 %,Aktuel værdi
Sølillevej 28560 Kolind,lind,3.705.000,14-06-2016,Alm. Salg,28.945,5,Stuehus,128,1870,-16 %,
Skalhøjvej 188560 Kolind,lind,1.750.000,13-06-2016,Alm. Salg,7.415,8,Stuehus,236,1915,-3 %,
Søholmhuse 48560 Kolind,lind,3.200.000,03-06-2016,Alm. Salg,15.238,4,Villa,210,2007,-3 %,Aktuel værdi
Stabrandvej 478560 Kolind,lind,879.907,30-05-2016,Alm. Salg,4.399,8,Stuehus,200,1945,,
Kukkebækvej 108560 Kolind,lind,248.613,27-05-2016,Alm. Salg,2.071,5,Villa,120,1964,,Aktuel værdi
Bygmarken 28560 Kolind,lind,1.250.000,18-05-2016,Alm. Salg,8.802,4,Villa,142,1977,-4 %,Aktuel værdi
Fasanvej 18560 Kolind,lind,800.000,12-05-2016,Alm. Salg,4.790,5,Villa,167,1971,,Aktuel værdi
Sivestedvej 318560 Kolind,lind,550.000,02-05-2016,Alm. Salg,4.867,4,Villa,113,1952,-12 %,Aktuel værdi
Krogen 28560 Kolind,lind,795.000,19-04-2016,Alm. Salg,5.162,4,Villa,154,1877,-11 %,Aktuel værdi
Tinghøjvej 188560 Kolind,lind,5.972.000,08-03-2016,Alm. Salg,44.237,4,Stuehus,135,1900,,
Bygmarken 318560 Kolind,lind,1.300.000,03-03-2016,Alm. Salg,8.441,5,Villa,154,1978,-7 %,Aktuel værdi
Kærbyvej 88560 Kolind,lind,650.000,24-02-2016,Andet,5.462,3,Villa,119,1917,,Aktuel værdi
Kraghøjvej 1118560 Kolind,lind,765.000,23-02-2016,Fam. Salg,8.225,4,Sommerhus,93,2006,,Aktuel værdi
Astrupvej 278560 Kolind,lind,2.900.000,16-02-2016,Alm. Salg,11.600,3,Villa,250,1950,-3 %,Aktuel værdi
Falkevej 2208560 Kolind,lind,303.000,16-02-2016,Alm. Salg,7.575,2,Sommerhus,40,1979,-10 %,Aktuel værdi
Nødagervej 608560 Kolind,lind,5.728.000,11-02-2016,Alm. Salg,28.640,6,Stuehus,200,1900,,
Høgevej 808560 Kolind,lind,395.000,04-02-2016,Alm. Salg,8.777,3,Sommerhus,45,1979,0 %,Aktuel værdi
Kraghøjvej 1878560 Kolind,lind,675.000,02-02-2016,Alm. Salg,9.246,4,Sommerhus,73,1975,,Aktuel værdi
