address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Harestien 39382 Tylstrup,trup,690.000,31-03-2017,Alm. Salg,5.267,4,Villa,131,1938,-16 %,Aktuel værdi
Luneborgvej 3139382 Tylstrup,trup,328.000,30-03-2017,Alm. Salg,1.205,10,Villa,272,1940,-14 %,Aktuel værdi
Taffelgårdsvej 1159382 Tylstrup,trup,855.000,03-03-2017,Alm. Salg,5.516,6,Villa,155,1942,-9 %,Aktuel værdi
Ultvedparken 289382 Tylstrup,trup,900.000,23-02-2017,Alm. Salg,6.870,3,Villa,131,1979,,Aktuel værdi
Gammel Skolevej 29382 Tylstrup,trup,382.500,24-01-2017,Fam. Salg,2.550,4,Villa,150,1963,,Aktuel værdi
Skovengvej 89382 Tylstrup,trup,532.800,09-01-2017,Alm. Salg,3.946,3,Stuehus,135,1909,,
Grundtvig Sørensens Vej 119382 Tylstrup,trup,825.000,02-01-2017,Alm. Salg,6.875,4,Villa,120,1940,-8 %,Aktuel værdi
Stenisengevej 359382 Tylstrup,trup,10.000,23-12-2016,Alm. Salg,53,6,Stuehus,186,1933,,
Vrå Mark 179382 Tylstrup,trup,1.900.000,22-12-2016,Alm. Salg,8.520,6,Stuehus,223,1959,-5 %,
Kraghedevej 2109382 Tylstrup,trup,1.690.000,20-12-2016,Alm. Salg,9.234,4,Villa,183,1882,0 %,Aktuel værdi
L. P. Jacobsens Vej 149382 Tylstrup,trup,355.000,19-12-2016,Alm. Salg,5.071,2,Villa,70,1900,-25 %,Aktuel værdi
Forsøgsvej 39382 Tylstrup,trup,1.150.000,09-12-2016,Alm. Salg,7.565,5,Villa,152,1942,-8 %,Aktuel værdi
Harestien 139382 Tylstrup,trup,150.000,06-12-2016,Auktion,1.376,4,Villa,109,1934,,Aktuel værdi
Klitgårdsvej 199382 Tylstrup,trup,1.300.000,01-12-2016,Alm. Salg,6.190,7,Villa,210,1972,-7 %,Aktuel værdi
Jens Thises Vej 39382 Tylstrup,trup,1.195.000,03-10-2016,Alm. Salg,7.331,5,Villa,163,1961,0 %,Aktuel værdi
Luneborgvej 259382 Tylstrup,trup,482.000,21-09-2016,Alm. Salg,4.634,4,Villa,104,1927,-13 %,Aktuel værdi
Hedensvej 29382 Tylstrup,trup,975.000,14-09-2016,Alm. Salg,8.628,3,Villa,113,1948,0 %,Aktuel værdi
Luneborgvej 499382 Tylstrup,trup,970.000,29-08-2016,Alm. Salg,9.897,3,Villa,98,1959,-3 %,Aktuel værdi
Birkholtvej 649382 Tylstrup,trup,2.350.000,12-08-2016,Alm. Salg,6.752,10,Villa,348,1890,-6 %,Aktuel værdi
Tylstrupvej 469382 Tylstrup,trup,450.000,27-07-2016,Alm. Salg,4.591,3,Villa,98,1906,,Aktuel værdi
Barbaraskvej 349382 Tylstrup,trup,1.280.000,26-07-2016,Alm. Salg,8.050,5,Stuehus,159,1903,-5 %,
Vittenbergvej 169382 Tylstrup,trup,445.000,25-07-2016,Alm. Salg,2.317,5,Villa,192,1902,,Aktuel værdi
Vittenbergvej 199382 Tylstrup,trup,916.728,25-07-2016,Alm. Salg,4.583,6,Stuehus,200,1935,,
Tylstrup Hedevej 259382 Tylstrup,trup,2.400.000,22-07-2016,Alm. Salg,12.121,4,Stuehus,198,1977,-14 %,
Bilgårdsvej 389382 Tylstrup,trup,1.065.000,17-07-2016,Alm. Salg,8.875,4,Villa,120,1977,-7 %,Aktuel værdi
