address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Ahornvej 106862 Tistrup,trup,875.000,07-04-2017,Alm. Salg,6.889,4,Villa,127,1974,,Aktuel værdi
Diget 66862 Tistrup,trup,1.320.000,05-04-2017,Alm. Salg,9.041,5,Villa,146,1984,,Aktuel værdi
Skolevej 46862 Tistrup,trup,525.965,19-03-2017,Andet,3.328,4,Villa,158,1930,,Aktuel værdi
Vejlevej 206862 Tistrup,trup,188.320,09-03-2017,Alm. Salg,1.076,5,Stuehus,175,1883,,
Møllegårdsvej 636862 Tistrup,trup,950.000,22-02-2017,Alm. Salg,6.597,5,Villa,144,1980,,Aktuel værdi
Agervej 96862 Tistrup,trup,949.178,01-02-2017,Andet,5.787,5,Villa,164,2007,-44 %,Aktuel værdi
Nordenskovvej 166862 Tistrup,trup,1.698.550,28-12-2016,Alm. Salg,13.809,5,Stuehus,123,1919,,
Krarupvej 196862 Tistrup,trup,9.300.000,22-12-2016,Alm. Salg,32.746,9,Stuehus,284,1956,,
Krarupvej 176862 Tistrup,trup,2.400.000,22-12-2016,Alm. Salg,12.631,6,Stuehus,190,1858,,
Storegade 336862 Tistrup,trup,1.165.000,24-11-2016,Alm. Salg,7.281,5,Rækkehus,160,1927,-3 %,Aktuel værdi
Yderikvej 316862 Tistrup,trup,1.970.000,21-10-2016,Alm. Salg,9.850,3,Stuehus,200,1910,,
Vardevej 286862 Tistrup,trup,1.540.000,20-10-2016,Alm. Salg,7.000,6,Stuehus,220,1929,-7 %,
Søparken 16862 Tistrup,trup,870.000,08-10-2016,Alm. Salg,8.207,4,Villa,106,1981,-2 %,Aktuel værdi
Snorupvej 106862 Tistrup,trup,300.000,30-09-2016,Alm. Salg,2.307,3,Stuehus,130,1907,-8 %,
Søndervang 316862 Tistrup,trup,504.000,28-09-2016,Alm. Salg,2.260,8,Villa,223,1984,,Aktuel værdi
Bredhovej 56862 Tistrup,trup,1.300.000,02-09-2016,Alm. Salg,9.027,3,Villa,144,1940,-4 %,Aktuel værdi
Elmelyvej 56862 Tistrup,trup,1.375.000,30-08-2016,Alm. Salg,6.944,6,Stuehus,198,1980,-8 %,
Askevej 186862 Tistrup,trup,775.000,30-08-2016,Alm. Salg,5.871,5,Villa,132,1976,,Aktuel værdi
Agerkrogvej 66862 Tistrup,trup,1.900.000,22-08-2016,Alm. Salg,11.111,6,Villa,171,1892,-5 %,Aktuel værdi
Tistrup Kirkevej 146862 Tistrup,trup,399.000,19-08-2016,Alm. Salg,3.325,4,Villa,120,1901,0 %,Aktuel værdi
Hulvigvej 46862 Tistrup,trup,50.000,18-08-2016,Alm. Salg,526,4,Villa,95,1961,0 %,Aktuel værdi
Krarupvej 96862 Tistrup,trup,4.490.000,12-08-2016,Fam. Salg,19.270,7,Stuehus,233,1991,,
Toften 76862 Tistrup,trup,900.000,28-07-2016,Alm. Salg,4.591,6,Villa,196,1968,-18 %,Aktuel værdi
Vardevej 306862 Tistrup,trup,4.045.000,15-07-2016,Alm. Salg,20.225,7,Stuehus,200,1939,-12 %,
Engvej 86862 Tistrup,trup,1.280.000,09-07-2016,Alm. Salg,9.411,5,Villa,136,1996,-1 %,Aktuel værdi
Hesseldalvej 16862 Tistrup,trup,1.750.000,27-06-2016,Alm. Salg,12.867,5,Stuehus,136,1883,46 %,
Storegade 526862 Tistrup,trup,1.950.000,24-06-2016,Alm. Salg,6.964,13,Villa,280,1902,-2 %,Aktuel værdi
Grødevej 556862 Tistrup,trup,475.000,14-06-2016,Alm. Salg,2.513,5,Villa,189,1957,-20 %,Aktuel værdi
Hasselvej 26862 Tistrup,trup,1.195.000,29-04-2016,Alm. Salg,6.223,6,Villa,192,1976,0 %,Aktuel værdi
Søndervang 76862 Tistrup,trup,575.000,28-03-2016,Fam. Salg,6.460,3,Rækkehus,89,1980,,Aktuel værdi
Degnevænget 156862 Tistrup,trup,261.577,14-03-2016,Alm. Salg,1.445,6,Villa,181,2016,,Aktuel værdi
Birkevej 86862 Tistrup,trup,1.050.000,08-03-2016,Alm. Salg,8.467,4,Villa,124,1972,-4 %,Aktuel værdi
Grødevej 26A6862 Tistrup,trup,1.475.000,13-02-2016,Alm. Salg,6.223,8,Villa,237,1925,-1 %,Aktuel værdi
Søparken 136862 Tistrup,trup,1.000.000,28-01-2016,Alm. Salg,6.711,5,Villa,149,1986,,Aktuel værdi
Storegade 376862 Tistrup,trup,410.000,23-12-2015,Alm. Salg,4.456,3,Rækkehus,92,1875,-8 %,Aktuel værdi
Storegade 616862 Tistrup,trup,695.000,21-12-2015,Alm. Salg,5.604,3,Villa,124,1906,-7 %,Aktuel værdi
"Jernbanegade 1, ST. TV6862 Tistrup",trup,375.000,20-12-2015,Alm. Salg,4.166,4,Lejlighed,90,1900,0 %,Aktuel værdi
Diget 96862 Tistrup,trup,347.000,15-10-2015,Auktion,3.691,4,Villa,94,1980,,Aktuel værdi
Vardevej 536862 Tistrup,trup,470.000,14-10-2015,Alm. Salg,5.662,3,Villa,83,1948,0 %,Aktuel værdi
Nørrevang 26862 Tistrup,trup,1.695.000,10-10-2015,Alm. Salg,10.935,5,Villa,155,1999,,Aktuel værdi
Nordenskovvej 146862 Tistrup,trup,1.600.000,02-10-2015,Alm. Salg,9.876,5,Stuehus,162,1926,-6 %,
Elmelyvej 46862 Tistrup,trup,2.005.000,14-09-2015,Alm. Salg,8.495,8,Stuehus,236,1977,,
Engholmvej 26862 Tistrup,trup,6.750.000,01-09-2015,Alm. Salg,60.267,6,Stuehus,112,1926,,
Bøgevej 176862 Tistrup,trup,900.000,01-09-2015,Andet,3.409,8,Villa,264,1973,,Aktuel værdi
Søparken 196862 Tistrup,trup,1.095.000,28-08-2015,Alm. Salg,9.439,4,Villa,116,1980,0 %,Aktuel værdi
Møllegårdsvej 236862 Tistrup,trup,1.020.000,27-08-2015,Alm. Salg,8.095,3,Villa,126,1979,,Aktuel værdi
Grødevej 476862 Tistrup,trup,1.213.865,26-06-2015,Fam. Salg,7.539,7,Stuehus,161,1907,,
Krarupvej 116862 Tistrup,trup,685.000,24-06-2015,Alm. Salg,6.850,3,Villa,100,1910,0 %,Aktuel værdi
Skolevej 56862 Tistrup,trup,425.000,09-06-2015,Alm. Salg,2.335,7,Villa,182,1901,-22 %,Aktuel værdi
Storegade 586862 Tistrup,trup,1.125.000,01-06-2015,Alm. Salg,6.736,7,Villa,167,1947,,Aktuel værdi
Uhrevej 36862 Tistrup,trup,1.150.000,13-05-2015,Alm. Salg,4.693,7,Stuehus,245,1789,-11 %,
Søndergade 206862 Tistrup,trup,1.191.000,12-05-2015,Alm. Salg,9.022,4,Villa,132,1954,1 %,Aktuel værdi
Søndergade 466862 Tistrup,trup,730.000,05-05-2015,Alm. Salg,8.111,3,Villa,90,1967,-9 %,Aktuel værdi
Storegade 716862 Tistrup,trup,420.000,05-05-2015,Alm. Salg,2.745,7,Villa,153,1935,-6 %,Aktuel værdi
Ahornvej 126862 Tistrup,trup,950.000,09-03-2015,Alm. Salg,6.597,6,Villa,144,1973,-5 %,Aktuel værdi
Kasthøjvej 36862 Tistrup,trup,1.368.070,22-02-2015,Alm. Salg,6.514,5,Stuehus,210,1997,,
Lærkevej 26862 Tistrup,trup,780.000,16-02-2015,Alm. Salg,5.165,6,Villa,151,1966,-13 %,Aktuel værdi
Agerkrogvej 76862 Tistrup,trup,1.100.000,03-02-2015,Alm. Salg,6.145,6,Stuehus,179,1935,11 %,
Møllegårdsvej 596862 Tistrup,trup,610.000,23-01-2015,Alm. Salg,5.350,4,Villa,114,1979,-12 %,Aktuel værdi
Vejlevej 256862 Tistrup,trup,675.000,12-01-2015,Alm. Salg,6.958,4,Villa,97,1934,-15 %,Aktuel værdi
Skolevej 96862 Tistrup,trup,620.000,19-12-2014,Alm. Salg,3.875,4,Villa,160,1930,-17 %,Aktuel værdi
Søparken 96862 Tistrup,trup,1.245.000,16-11-2014,Andet,9.291,4,Villa,134,1979,,Aktuel værdi
Birkevej 106862 Tistrup,trup,1.310.000,13-11-2014,Alm. Salg,10.234,4,Villa,128,1973,-6 %,Aktuel værdi
Vardevej 266862 Tistrup,trup,750.000,26-10-2014,Alm. Salg,4.901,8,Villa,153,1937,-16 %,Aktuel værdi
Søndergade 216862 Tistrup,trup,405.000,10-09-2014,Auktion,2.852,5,Villa,142,1966,,Aktuel værdi
Hasselvej 216862 Tistrup,trup,500.000,09-09-2014,Andet,2.336,7,Villa,214,1976,,Aktuel værdi
"Jernbanegade 1, 1. TV6862 Tistrup",trup,285.000,17-08-2014,Alm. Salg,3.166,3,Lejlighed,90,1900,-17 %,Aktuel værdi
Tøndingvej 76862 Tistrup,trup,5.850.000,14-08-2014,Alm. Salg,22.500,5,Stuehus,260,1900,,
Askevej 66862 Tistrup,trup,612.500,12-08-2014,Fam. Salg,3.240,7,Villa,189,1976,,Aktuel værdi
Møllegårdsvej 256862 Tistrup,trup,1.200.000,06-08-2014,Alm. Salg,7.894,4,Villa,152,1980,-7 %,Aktuel værdi
Hasselvej 76862 Tistrup,trup,1.320.000,30-07-2014,Alm. Salg,7.810,6,Villa,169,1976,-2 %,Aktuel værdi
Møllegade 96862 Tistrup,trup,695.000,20-06-2014,Alm. Salg,8.081,6,Rækkehus,86,1905,0 %,Aktuel værdi
Ahornvej 16862 Tistrup,trup,925.000,18-06-2014,Alm. Salg,6.954,4,Villa,133,1974,-5 %,Aktuel værdi
Vardevej 656862 Tistrup,trup,900.000,16-06-2014,Alm. Salg,6.122,5,Stuehus,147,1921,-51 %,
Lervadvej 306862 Tistrup,trup,4.929.204,11-06-2014,Alm. Salg,29.694,6,Stuehus,166,1913,,
Møllegårdsvej 476862 Tistrup,trup,895.000,30-05-2014,Alm. Salg,7.396,4,Villa,121,1978,,Aktuel værdi
Søndergade 546862 Tistrup,trup,351.333,23-05-2014,Fam. Salg,2.621,5,Villa,134,1906,,Aktuel værdi
Søndergade 326862 Tistrup,trup,1.078.000,09-05-2014,Alm. Salg,9.889,5,Villa,109,1945,-2 %,Aktuel værdi
Tøndingvej 86862 Tistrup,trup,10.800.000,12-04-2014,Alm. Salg,43.724,9,Stuehus,247,1908,,
Elmelyvej 126862 Tistrup,trup,500.000,10-04-2014,Auktion,4.032,5,Stuehus,124,1930,,
Krarupvej 316862 Tistrup,trup,277.759,03-04-2014,Auktion,1.402,8,Villa,198,1873,-72 %,Aktuel værdi
Kølhusvej 16862 Tistrup,trup,25.000,01-04-2014,Andet,416,3,Villa,60,1907,,Aktuel værdi
Tøndingvej 106862 Tistrup,trup,1.260.000,14-03-2014,Alm. Salg,6.086,7,Villa,207,1883,,Aktuel værdi
Engvej 116862 Tistrup,trup,750.000,05-03-2014,Fam. Salg,5.208,6,Villa,144,1994,,Aktuel værdi
Storegade 286862 Tistrup,trup,795.000,18-02-2014,Alm. Salg,7.361,2,Villa,108,1897,0 %,Aktuel værdi
Pilevej 86862 Tistrup,trup,850.000,07-02-2014,Alm. Salg,5.821,3,Villa,146,1973,-5 %,Aktuel værdi
Vejlevej 416862 Tistrup,trup,160.424,12-12-2013,Alm. Salg,2.005,6,Ukendt,80,1935,,Aktuel værdi
Vardevej 216862 Tistrup,trup,750.000,27-11-2013,Alm. Salg,4.687,5,Stuehus,160,1934,,
Bøgevej 16862 Tistrup,trup,765.000,27-11-2013,Alm. Salg,8.500,4,Villa,90,1965,-4 %,Aktuel værdi
