address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Mimers Alle 236705 Esbjerg Ø,rg Ø,1.650.000,14-05-2017,Alm. Salg,15.714,4,Villa,105,1963,,Aktuel værdi
Hasselvej 126705 Esbjerg Ø,rg Ø,1.210.000,10-05-2017,Alm. Salg,11.203,5,Villa,108,1966,-3 %,Aktuel værdi
Januarvej 136705 Esbjerg Ø,rg Ø,734.120,29-04-2017,Alm. Salg,5.647,4,Villa,130,1987,,Aktuel værdi
Fenrisvej 46705 Esbjerg Ø,rg Ø,1.100.000,04-04-2017,Alm. Salg,8.270,5,Villa,133,1963,,Aktuel værdi
Fortuna Alle 22A6705 Esbjerg Ø,rg Ø,1.060.000,04-04-2017,Alm. Salg,11.157,4,Rækkehus,95,1959,-3 %,Aktuel værdi
Hvedevangen 106705 Esbjerg Ø,rg Ø,1.498.000,30-03-2017,Alm. Salg,13.495,4,Villa,111,1967,0 %,Aktuel værdi
Granlunden 366705 Esbjerg Ø,rg Ø,1.550.000,29-03-2017,Alm. Salg,9.281,5,Villa,167,1972,-3 %,Aktuel værdi
Skolebakken 1596705 Esbjerg Ø,rg Ø,1.510.000,27-03-2017,Alm. Salg,16.777,3,Villa,90,1960,-2 %,Aktuel værdi
Niels Lambertsens Vej 2B6705 Esbjerg Ø,rg Ø,1.498.000,26-03-2017,Alm. Salg,12.588,3,Lejlighed,119,1966,0 %,Aktuel værdi
Fredensgade 206705 Esbjerg Ø,rg Ø,1.000.000,20-03-2017,Fam. Salg,5.847,5,Villa,171,1910,,Aktuel værdi
Kastanielunden 446705 Esbjerg Ø,rg Ø,1.790.000,20-03-2017,Alm. Salg,10.000,4,Villa,179,1974,-3 %,Aktuel værdi
Løvspringsvej 56705 Esbjerg Ø,rg Ø,1.750.000,16-03-2017,Alm. Salg,12.773,4,Villa,137,1984,-3 %,Aktuel værdi
Fortuna Alle 906705 Esbjerg Ø,rg Ø,2.200.000,14-03-2017,Alm. Salg,17.886,3,Villa,123,1946,0 %,Aktuel værdi
"Skoleparken 13, 4. TV6705 Esbjerg Ø",rg Ø,933.000,13-03-2017,Alm. Salg,10.032,3,Lejlighed,93,1966,-1 %,Aktuel værdi
Fyrrelunden 396705 Esbjerg Ø,rg Ø,1.448.000,06-03-2017,Alm. Salg,10.269,5,Villa,141,1973,-3 %,Aktuel værdi
"Skoleparken 13, ST. TV6705 Esbjerg Ø",rg Ø,825.000,02-03-2017,Alm. Salg,8.870,3,Lejlighed,93,1966,-3 %,Aktuel værdi
Niels Lambertsens Vej 436705 Esbjerg Ø,rg Ø,1.050.000,01-03-2017,Alm. Salg,14.788,2,Rækkehus,71,1974,,Aktuel værdi
Lindelunden 296705 Esbjerg Ø,rg Ø,1.698.000,01-03-2017,Alm. Salg,9.872,6,Villa,172,1974,0 %,Aktuel værdi
Kastanielunden 376705 Esbjerg Ø,rg Ø,1.575.000,01-03-2017,Alm. Salg,9.264,6,Villa,170,1974,-7 %,Aktuel værdi
Kvaglundvej 266705 Esbjerg Ø,rg Ø,480.000,20-02-2017,Alm. Salg,6.575,3,Villa,73,1954,,Aktuel værdi
"Skoleparken 11, 5. TH6705 Esbjerg Ø",rg Ø,660.000,20-02-2017,Fam. Salg,7.333,3,Lejlighed,90,1966,,Aktuel værdi
Majgårdsparken 246705 Esbjerg Ø,rg Ø,1.600.000,17-02-2017,Alm. Salg,12.213,4,Villa,131,1972,0 %,Aktuel værdi
Elmegade 86705 Esbjerg Ø,rg Ø,1.380.000,15-02-2017,Alm. Salg,15.505,3,Villa,89,1961,-8 %,Aktuel værdi
Drosselvej 146705 Esbjerg Ø,rg Ø,1.075.000,10-02-2017,Alm. Salg,8.669,4,Villa,124,1959,-2 %,Aktuel værdi
Poppelvej 16705 Esbjerg Ø,rg Ø,1.200.000,07-02-2017,Alm. Salg,8.955,5,Villa,134,1968,-14 %,Aktuel værdi
Novembervej 26705 Esbjerg Ø,rg Ø,1.948.000,07-02-2017,Alm. Salg,13.342,4,Villa,146,1970,0 %,Aktuel værdi
Kastanielunden 286705 Esbjerg Ø,rg Ø,1.250.000,01-02-2017,Alm. Salg,5.506,7,Villa,227,1974,-4 %,Aktuel værdi
Solsikkevej 56705 Esbjerg Ø,rg Ø,1.600.000,27-01-2017,Alm. Salg,16.666,4,Villa,96,1962,0 %,Aktuel værdi
Kvaglundvej 3A6705 Esbjerg Ø,rg Ø,998.000,17-01-2017,Alm. Salg,9.415,4,Dobbelthus,106,1962,0 %,Aktuel værdi
Niels Lambertsens Vej 2A6705 Esbjerg Ø,rg Ø,1.350.000,17-01-2017,Alm. Salg,13.366,4,Lejlighed,101,1966,,Aktuel værdi
"Skoleparken 1, 2. TV6705 Esbjerg Ø",rg Ø,775.000,13-01-2017,Alm. Salg,11.071,2,Lejlighed,70,1966,1 %,Aktuel værdi
Grimstrupvej 1436705 Esbjerg Ø,rg Ø,863.601,06-01-2017,Alm. Salg,6.542,3,Villa,132,1930,,Aktuel værdi
Møllesvinget 66705 Esbjerg Ø,rg Ø,836.000,03-01-2017,Fam. Salg,6.796,4,Villa,123,1953,,Aktuel værdi
Kastanielunden 546705 Esbjerg Ø,rg Ø,1.525.000,29-12-2016,Alm. Salg,10.739,5,Villa,142,1974,-5 %,Aktuel værdi
Ægirs Alle 166705 Esbjerg Ø,rg Ø,1.450.000,28-12-2016,Alm. Salg,12.608,4,Villa,115,1961,-5 %,Aktuel værdi
Fortuna Alle 466705 Esbjerg Ø,rg Ø,1.250.000,23-12-2016,Alm. Salg,13.586,3,Villa,92,1958,-4 %,Aktuel værdi
Fortuna Alle 966705 Esbjerg Ø,rg Ø,1.125.000,15-12-2016,Alm. Salg,10.714,5,Villa,105,1960,-6 %,Aktuel værdi
Hejmdals Alle 86705 Esbjerg Ø,rg Ø,1.675.000,11-12-2016,Alm. Salg,10.090,7,Villa,166,1928,-3 %,Aktuel værdi
Nellikevej 96705 Esbjerg Ø,rg Ø,1.575.000,09-12-2016,Alm. Salg,11.753,5,Villa,134,1969,-1 %,Aktuel værdi
Nørregårdsparken 73A6705 Esbjerg Ø,rg Ø,2.100.000,02-12-2016,Alm. Salg,14.189,5,Villa,148,2006,-4 %,Aktuel værdi
Majvej 46705 Esbjerg Ø,rg Ø,1.875.000,24-11-2016,Alm. Salg,10.533,5,Villa,178,1966,-3 %,Aktuel værdi
Irisvej 46705 Esbjerg Ø,rg Ø,925.562,22-11-2016,Alm. Salg,5.748,5,Villa,161,1962,,Aktuel værdi
Kastanielunden 666705 Esbjerg Ø,rg Ø,1.698.000,18-11-2016,Alm. Salg,9.031,5,Villa,188,1973,0 %,Aktuel værdi
Majgårds Alle 296705 Esbjerg Ø,rg Ø,1.650.000,17-11-2016,Alm. Salg,11.619,5,Villa,142,1971,-3 %,Aktuel værdi
Lærkevej 16705 Esbjerg Ø,rg Ø,1.075.000,15-11-2016,Alm. Salg,12.951,3,Villa,83,1961,-9 %,Aktuel værdi
Pilevej 76705 Esbjerg Ø,rg Ø,665.000,14-11-2016,Alm. Salg,9.779,3,Villa,68,1960,-14 %,Aktuel værdi
Hasselvej 56705 Esbjerg Ø,rg Ø,649.293,14-11-2016,Fam. Salg,6.243,4,Villa,104,1953,,Aktuel værdi
Aprilvej 76705 Esbjerg Ø,rg Ø,1.800.000,14-11-2016,Alm. Salg,12.765,4,Villa,141,1965,-3 %,Aktuel værdi
Skolebakken 1416705 Esbjerg Ø,rg Ø,2.000.000,14-11-2016,Alm. Salg,17.543,4,Villa,114,1929,,Aktuel værdi
Hassellunden 216705 Esbjerg Ø,rg Ø,1.750.000,11-11-2016,Alm. Salg,11.006,5,Villa,159,1974,-10 %,Aktuel værdi
Hassellunden 76705 Esbjerg Ø,rg Ø,1.498.000,07-11-2016,Alm. Salg,10.934,5,Villa,137,1972,-3 %,Aktuel værdi
"Skoleparken 9, 7. TH6705 Esbjerg Ø",rg Ø,850.000,04-11-2016,Andet,9.444,3,Lejlighed,90,1966,,Aktuel værdi
Kastanielunden 646705 Esbjerg Ø,rg Ø,750.000,04-11-2016,Andet,3.826,6,Villa,196,1977,,Aktuel værdi
Gl Tingvej 96705 Esbjerg Ø,rg Ø,1.850.000,01-11-2016,Alm. Salg,16.818,5,Villa,110,1862,-7 %,Aktuel værdi
Andrupvej 666705 Esbjerg Ø,rg Ø,3.450.000,01-11-2016,Alm. Salg,27.165,7,Stuehus,127,1910,,
Mellemvangs Alle 116705 Esbjerg Ø,rg Ø,1.375.000,27-10-2016,Alm. Salg,17.857,3,Villa,77,1954,-2 %,Aktuel værdi
Nørregårdsparken 936705 Esbjerg Ø,rg Ø,628.162,24-10-2016,Alm. Salg,4.052,5,Villa,155,2017,,Aktuel værdi
