address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Surmosevej 97150 Barrit,rrit,300.000,28-04-2017,Alm. Salg,4.166,4,Villa,72,1932,,Aktuel værdi
Barrit Langgade 1537150 Barrit,rrit,455.000,01-04-2017,Alm. Salg,2.757,5,Villa,165,1943,,Aktuel værdi
Bagervænget 167150 Barrit,rrit,698.000,20-03-2017,Alm. Salg,3.388,6,Villa,206,1964,0 %,Aktuel værdi
Barrit Langgade 747150 Barrit,rrit,545.000,17-02-2017,Alm. Salg,4.780,4,Villa,114,1900,-8 %,Aktuel værdi
Barrit Langgade 317150 Barrit,rrit,382.000,26-01-2017,Fam. Salg,3.979,3,Villa,96,1961,,Aktuel værdi
Vævergade 257150 Barrit,rrit,870.000,21-01-2017,Alm. Salg,6.692,3,Villa,130,1877,-3 %,Aktuel værdi
Vangevej 257150 Barrit,rrit,689.000,16-01-2017,Alm. Salg,4.150,6,Villa,166,1971,,Aktuel værdi
Serupsvej 17150 Barrit,rrit,825.200,04-01-2017,Alm. Salg,5.358,5,Stuehus,154,1750,-13 %,
Fennen 197150 Barrit,rrit,895.000,10-12-2016,Andet,7.160,5,Rækkehus,125,1985,,Aktuel værdi
Vævergade 287150 Barrit,rrit,1.000.000,18-11-2016,Alm. Salg,6.250,6,Villa,160,1972,-9 %,Aktuel værdi
Barrit Langgade 337150 Barrit,rrit,155.000,16-11-2016,Alm. Salg,2.066,3,Villa,75,1956,0 %,Aktuel værdi
Bakkesvinget 67150 Barrit,rrit,935.000,23-10-2016,Alm. Salg,5.993,5,Villa,156,1971,-6 %,Aktuel værdi
Mikkelbro 87150 Barrit,rrit,644.000,04-10-2016,Andet,4.700,6,Villa,137,1998,,Aktuel værdi
Randvej 107150 Barrit,rrit,1.318.400,26-07-2016,Alm. Salg,7.577,6,Stuehus,174,1877,-17 %,
Bakkesvinget 57150 Barrit,rrit,600.000,15-06-2016,Alm. Salg,4.687,4,Villa,128,1975,-14 %,Aktuel værdi
Barrit Langgade 1897150 Barrit,rrit,1.150.000,27-05-2016,Alm. Salg,11.734,4,Stuehus,98,1937,-11 %,
Bagervænget 37150 Barrit,rrit,760.000,20-05-2016,Alm. Salg,8.941,3,Villa,85,1967,-4 %,Aktuel værdi
Barrit Langgade 1557150 Barrit,rrit,600.000,13-05-2016,Alm. Salg,3.141,7,Villa,191,1969,-8 %,Aktuel værdi
Sigurd Stenhøj Vej 47150 Barrit,rrit,800.000,14-04-2016,Andet,3.478,6,Villa,230,1965,-46 %,Aktuel værdi
Nørløkkevej 17150 Barrit,rrit,1.350.000,30-03-2016,Alm. Salg,7.941,6,Villa,170,1912,-10 %,Aktuel værdi
Vangevej 247150 Barrit,rrit,1.400.000,01-03-2016,Alm. Salg,6.763,7,Villa,207,1971,-6 %,Aktuel værdi
Randvej 127150 Barrit,rrit,9.250.000,01-03-2016,Andet,54.411,7,Stuehus,170,1815,,
Høkervej 107150 Barrit,rrit,865.000,16-12-2015,Alm. Salg,7.032,4,Villa,123,1925,-3 %,Aktuel værdi
Serupsvej 67150 Barrit,rrit,300.000,01-12-2015,Andet,2.000,6,Villa,150,1850,,Aktuel værdi
Barrit Stationsvej 17150 Barrit,rrit,484.200,20-11-2015,Auktion,2.457,5,Villa,197,1909,-19 %,Aktuel værdi
Barrit Langgade 1407150 Barrit,rrit,1.025.000,29-10-2015,Alm. Salg,6.029,6,Villa,170,1972,-2 %,Aktuel værdi
Randvej 77150 Barrit,rrit,1.150.000,22-09-2015,Alm. Salg,11.057,3,Villa,104,1835,-4 %,Aktuel værdi
Serupsvej 157150 Barrit,rrit,1.509.000,13-09-2015,Fam. Salg,7.545,5,Stuehus,200,1975,,
Barrit Langgade 1227150 Barrit,rrit,350.000,03-09-2015,Alm. Salg,3.240,4,Villa,108,1962,-36 %,Aktuel værdi
Barrit Langgade 727150 Barrit,rrit,750.000,30-08-2015,Alm. Salg,7.142,5,Villa,105,1965,,Aktuel værdi
Brethvej 97150 Barrit,rrit,412.000,07-08-2015,Auktion,2.881,4,Villa,143,1920,-51 %,Aktuel værdi
Barrit Langgade 1997150 Barrit,rrit,467.500,03-08-2015,Fam. Salg,3.740,4,Villa,125,1984,,Aktuel værdi
Randvej 237150 Barrit,rrit,1.500.000,26-06-2015,Alm. Salg,5.905,7,Villa,254,1914,-6 %,Aktuel værdi
Serupsvej 167150 Barrit,rrit,1.600.000,11-06-2015,Alm. Salg,9.411,5,Villa,170,1850,-11 %,Aktuel værdi
Vævergade 347150 Barrit,rrit,415.000,04-06-2015,Andet,3.952,4,Villa,105,1950,-60 %,Aktuel værdi
Vangevej 227150 Barrit,rrit,1.200.000,28-05-2015,Alm. Salg,6.818,5,Villa,176,1975,,Aktuel værdi
Serupsvej 27150 Barrit,rrit,820.000,24-04-2015,Alm. Salg,7.130,4,Villa,115,1960,-3 %,Aktuel værdi
Serupsvej 257150 Barrit,rrit,875.000,09-04-2015,Alm. Salg,5.271,4,Stuehus,166,1972,,
Barrit Langgade 1447150 Barrit,rrit,480.000,14-03-2015,Alm. Salg,5.161,4,Villa,93,1949,-19 %,Aktuel værdi
Staksrodevej 27150 Barrit,rrit,19.450.000,12-03-2015,Alm. Salg,180.092,6,Villa,108,1926,,Aktuel værdi
Skulsballevej 27150 Barrit,rrit,1.700.000,26-02-2015,Alm. Salg,12.318,4,Villa,138,1870,-10 %,Aktuel værdi
Barrit Langgade 417150 Barrit,rrit,620.000,13-02-2015,Andet,5.166,5,Villa,120,1930,,Aktuel værdi
Barrit Langgade 1147150 Barrit,rrit,1.400.000,02-02-2015,Alm. Salg,11.666,5,Villa,120,1974,-3 %,Aktuel værdi
Barrit Langgade 59B7150 Barrit,rrit,575.000,30-01-2015,Alm. Salg,5.000,4,Rækkehus,115,1982,-3 %,Aktuel værdi
Barrit Langgade 997150 Barrit,rrit,770.000,19-12-2014,Alm. Salg,7.938,4,Villa,97,1952,-3 %,Aktuel værdi
Barrit Stationsvej 87150 Barrit,rrit,500.000,16-12-2014,Alm. Salg,4.201,3,Villa,119,1938,,Aktuel værdi
Staksrodevej 13B7150 Barrit,rrit,535.000,12-12-2014,Auktion,2.939,4,Villa,182,1863,-53 %,Aktuel værdi
Barrit Langgade 647150 Barrit,rrit,585.000,09-12-2014,Alm. Salg,4.431,4,Villa,132,1960,-6 %,Aktuel værdi
Skerrildgårdvej 97150 Barrit,rrit,1.400.000,01-12-2014,Alm. Salg,5.932,8,Villa,236,1990,-12 %,Aktuel værdi
Dynnesvej 217150 Barrit,rrit,620.000,19-11-2014,Alm. Salg,5.166,4,Villa,120,1976,-4 %,Aktuel værdi
Brethvej 87150 Barrit,rrit,1.237.500,03-10-2014,Alm. Salg,11.899,4,Villa,104,1897,-4 %,Aktuel værdi
Kirkebro 57150 Barrit,rrit,685.000,15-08-2014,Alm. Salg,6.116,5,Villa,112,1959,-14 %,Aktuel værdi
Bagervænget 117150 Barrit,rrit,760.000,26-05-2014,Alm. Salg,6.608,4,Villa,115,1965,-5 %,Aktuel værdi
