address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Tinghøjvej 48830 Tjele,jele,222.500,25-04-2017,Alm. Salg,1.002,4,Villa,222,1959,-55 %,Aktuel værdi
Frederiksberg 188830 Tjele,jele,720.000,25-04-2017,Alm. Salg,6.050,5,Villa,119,1943,-9 %,Aktuel værdi
Røddingvej 238830 Tjele,jele,365.000,10-04-2017,Fam. Salg,2.433,4,Villa,150,1966,,Aktuel værdi
Kirkelund 98830 Tjele,jele,1.300.000,05-04-2017,Alm. Salg,10.833,4,Villa,120,2001,-13 %,Aktuel værdi
Østergade 798830 Tjele,jele,775.000,01-04-2017,Alm. Salg,5.065,5,Villa,153,1943,-3 %,Aktuel værdi
Højmarken 18830 Tjele,jele,645.000,31-03-2017,Alm. Salg,5.657,4,Villa,114,1943,0 %,Aktuel værdi
Møllevej 188830 Tjele,jele,607.035,31-03-2017,Alm. Salg,3.793,4,Villa,160,1953,,Aktuel værdi
Ingstrupholmvej 18830 Tjele,jele,170.000,30-03-2017,Alm. Salg,1.024,5,Stuehus,166,1932,,
Bytoften 38830 Tjele,jele,1.700.000,30-03-2017,Alm. Salg,9.941,6,Villa,171,1995,0 %,Aktuel værdi
Frederiksberg 288830 Tjele,jele,875.000,30-03-2017,Alm. Salg,7.291,4,Villa,120,1943,-2 %,Aktuel værdi
Hobrovej 508830 Tjele,jele,520.000,27-03-2017,Alm. Salg,5.416,3,Villa,96,1906,0 %,Aktuel værdi
Frederiksberg 28830 Tjele,jele,653.312,21-03-2017,Fam. Salg,3.266,5,Villa,200,1974,,Aktuel værdi
Hovedgaden 408830 Tjele,jele,150.000,21-03-2017,Fam. Salg,1.630,2,Villa,92,1858,,Aktuel værdi
Fælledvej 68830 Tjele,jele,965.000,13-03-2017,Alm. Salg,4.849,7,Villa,199,1797,0 %,Aktuel værdi
Havrebakken 28830 Tjele,jele,1.590.000,10-03-2017,Alm. Salg,9.814,6,Villa,162,1954,-6 %,Aktuel værdi
Hobro Landevej 988830 Tjele,jele,125.000,08-03-2017,Alm. Salg,1.644,4,Villa,76,1954,,Aktuel værdi
Kirkegade 168830 Tjele,jele,680.000,08-03-2017,Alm. Salg,4.146,5,Villa,164,1914,-14 %,Aktuel værdi
Overlundvej 138830 Tjele,jele,890.000,04-03-2017,Alm. Salg,6.312,3,Stuehus,141,1930,-15 %,
Hobro Landevej 1508830 Tjele,jele,80.000,02-03-2017,Alm. Salg,898,5,Villa,89,1912,,Aktuel værdi
Degnevænget 338830 Tjele,jele,995.000,01-03-2017,Alm. Salg,8.361,4,Villa,119,1980,,Aktuel værdi
