address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Besservej 1, 18305 Samsø",amsø,975.000,18-05-2017,Alm. Salg,15.000,1,Lejlighed,65,1925,,Aktuel værdi
Besser Smedegade 238305 Samsø,amsø,550.000,16-05-2017,Fam. Salg,3.216,5,Villa,171,1920,,Aktuel værdi
Plantagevej 148305 Samsø,amsø,561.000,10-05-2017,Alm. Salg,12.195,2,Sommerhus,46,1976,,Aktuel værdi
Høneballevej 20A8305 Samsø,amsø,650.000,30-04-2017,Alm. Salg,12.037,3,Villa,54,1952,0 %,Aktuel værdi
Storegade 288305 Samsø,amsø,125.000,24-04-2017,Alm. Salg,1.096,4,Villa,114,1897,,Aktuel værdi
Kolby Hovedgade 668305 Samsø,amsø,795.000,11-04-2017,Alm. Salg,5.598,6,Rækkehus,142,1877,,Aktuel værdi
Ramsherred 18305 Samsø,amsø,160.000,09-04-2017,Alm. Salg,2.077,3,Villa,77,1877,7 %,Aktuel værdi
Marsk Stigs Vej 20A8305 Samsø,amsø,3.800.000,08-04-2017,Alm. Salg,32.478,4,Villa,117,1964,,Aktuel værdi
Storegade 418305 Samsø,amsø,800.000,30-03-2017,Alm. Salg,8.163,3,Villa,98,1924,-14 %,Aktuel værdi
Byvejen 28305 Samsø,amsø,2.640.000,21-03-2017,Alm. Salg,20.307,5,Stuehus,130,1963,,
Brundby Hovedgade 718305 Samsø,amsø,795.000,08-03-2017,Alm. Salg,3.382,7,Villa,235,1935,-6 %,Aktuel værdi
Østermarken 248305 Samsø,amsø,600.000,05-03-2017,Fam. Salg,4.545,5,Villa,132,1869,,Aktuel værdi
Tværvej 238305 Samsø,amsø,700.000,25-02-2017,Alm. Salg,3.286,9,Villa,213,1917,,Aktuel værdi
Kaasen 28305 Samsø,amsø,500.000,24-02-2017,Alm. Salg,4.385,4,Villa,114,1954,,Aktuel værdi
Solsortevej 128305 Samsø,amsø,1.475.000,23-02-2017,Alm. Salg,15.860,4,Sommerhus,93,2011,-8 %,Aktuel værdi
Mejerivej 178305 Samsø,amsø,350.000,20-02-2017,Alm. Salg,1.750,7,Villa,200,1948,-18 %,Aktuel værdi
Brundby Hovedgade 388305 Samsø,amsø,300.000,16-02-2017,Fam. Salg,4.285,3,Villa,70,1890,,Aktuel værdi
Sælvig 18A8305 Samsø,amsø,475.000,13-02-2017,Alm. Salg,14.843,2,Sommerhus,32,1928,0 %,Aktuel værdi
Nylandsvej 88305 Samsø,amsø,637.500,13-02-2017,Alm. Salg,5.141,5,Villa,124,1932,,Aktuel værdi
Østervangen 388305 Samsø,amsø,200.000,13-02-2017,Alm. Salg,2.409,4,Rækkehus,83,1862,,Aktuel værdi
Ørby Hovedgade 98305 Samsø,amsø,150.000,10-02-2017,Alm. Salg,1.006,5,Villa,149,1877,-57 %,Aktuel værdi
Skægsholm 158305 Samsø,amsø,80.000,06-02-2017,Alm. Salg,430,7,Stuehus,186,1904,,
Bisgård Mark 148305 Samsø,amsø,1.800.000,01-02-2017,Alm. Salg,16.666,3,Stuehus,108,1922,,
Landevejen 388305 Samsø,amsø,650.000,31-01-2017,Alm. Salg,7.303,4,Villa,89,1929,-10 %,Aktuel værdi
Lapmejsevej 108305 Samsø,amsø,1.227.890,26-01-2017,Alm. Salg,15.946,4,Sommerhus,77,1998,-9 %,Aktuel værdi
Langgade 168305 Samsø,amsø,2.000.000,21-01-2017,Alm. Salg,8.333,14,Lejlighed,240,1900,,Aktuel værdi
Sælvig 28305 Samsø,amsø,405.000,12-01-2017,Alm. Salg,3.681,4,Villa,110,1938,,Aktuel værdi
Molboens Bakke 128305 Samsø,amsø,1.021.000,05-01-2017,Fam. Salg,8.438,4,Stuehus,121,1797,,
Pillemarksvej 58305 Samsø,amsø,550.000,04-01-2017,Fam. Salg,2.217,7,Villa,248,1847,,Aktuel værdi
Issehoved 23B8305 Samsø,amsø,1.050.000,25-12-2016,Fam. Salg,9.130,4,Sommerhus,115,1986,,Aktuel værdi
Sildeballe 88305 Samsø,amsø,15.450.000,22-12-2016,Alm. Salg,73.571,7,Stuehus,210,1827,,
Sildeballe 228305 Samsø,amsø,15.450.000,22-12-2016,Alm. Salg,63.842,8,Stuehus,242,1946,,
Strandvejen 778305 Samsø,amsø,700.000,22-12-2016,Fam. Salg,12.962,4,Sommerhus,54,1925,,Aktuel værdi
Lerbakkevej 118305 Samsø,amsø,530.000,12-12-2016,Alm. Salg,4.568,4,Villa,116,1961,-27 %,Aktuel værdi
Søndre Møllevej 68305 Samsø,amsø,160.000,12-12-2016,Alm. Salg,1.702,5,Villa,94,1877,,Aktuel værdi
Brundbyvej 118305 Samsø,amsø,274.000,10-12-2016,Alm. Salg,1.419,10,Stuehus,193,1897,,
Issehoved 418305 Samsø,amsø,2.850.000,09-12-2016,Alm. Salg,15.921,7,Sommerhus,179,1972,,Aktuel værdi
Østerløkkevej 18305 Samsø,amsø,850.000,06-12-2016,Alm. Salg,4.521,6,Villa,188,1947,-13 %,Aktuel værdi
Strandvejen 74A8305 Samsø,amsø,2.000.000,05-12-2016,Alm. Salg,20.618,5,Villa,97,1980,,Aktuel værdi
Violvej 18305 Samsø,amsø,695.000,28-11-2016,Alm. Salg,16.547,3,Sommerhus,42,1970,-4 %,Aktuel værdi
Kolby Hovedgade 598305 Samsø,amsø,493.000,25-11-2016,Fam. Salg,4.930,5,Villa,100,1950,,Aktuel værdi
Besser Hovedgade 468305 Samsø,amsø,325.000,22-11-2016,Alm. Salg,1.457,7,Villa,223,1945,0 %,Aktuel værdi
Kalkhavesvej 208305 Samsø,amsø,235.166,16-11-2016,Andet,2.375,3,Villa,99,1973,,Aktuel værdi
