address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Pårup Møllevej 2224951 Nørreballe,alle,25.500.000,03-04-2017,Fam. Salg,79.687,12,Stuehus,320,1885,,
Skovengen 14951 Nørreballe,alle,200.000,26-01-2017,Alm. Salg,3.333,3,Villa,60,1938,,Aktuel værdi
Birkevej 14951 Nørreballe,alle,350.000,11-11-2016,Alm. Salg,2.430,5,Villa,144,1965,-11 %,Aktuel værdi
Birkevej 104951 Nørreballe,alle,400.000,24-09-2016,Alm. Salg,3.278,5,Villa,122,1965,,Aktuel værdi
Skovengen 134951 Nørreballe,alle,295.000,02-09-2016,Alm. Salg,2.169,4,Villa,136,1960,,Aktuel værdi
Præstevænget 44951 Nørreballe,alle,240.000,17-08-2016,Alm. Salg,2.285,4,Villa,105,1969,-26 %,Aktuel værdi
Birkevej 24951 Nørreballe,alle,250.000,03-08-2016,Alm. Salg,2.083,4,Villa,120,1964,-16 %,Aktuel værdi
Reersnæs Kirkevej 3504951 Nørreballe,alle,195.000,28-07-2016,Alm. Salg,1.950,5,Villa,100,1850,0 %,Aktuel værdi
Præstevænget 54951 Nørreballe,alle,487.807,18-07-2016,Andet,3.841,4,Villa,127,1974,,Aktuel værdi
Østofte Gade 124951 Nørreballe,alle,220.000,11-07-2016,Alm. Salg,2.268,3,Villa,97,1827,-10 %,Aktuel værdi
Sørup Hovvej 454951 Nørreballe,alle,825.000,06-04-2016,Alm. Salg,3.451,11,Villa,239,1912,-17 %,Aktuel værdi
Møllevænget 74951 Nørreballe,alle,425.000,15-03-2016,Alm. Salg,3.863,4,Villa,110,1979,-14 %,Aktuel værdi
Birkevej 114951 Nørreballe,alle,250.000,28-02-2016,Alm. Salg,1.923,4,Villa,130,1966,-37 %,Aktuel værdi
Stationsvænget 14951 Nørreballe,alle,480.000,19-02-2016,Alm. Salg,3.966,4,Villa,121,1939,-3 %,Aktuel værdi
Havløkkevej 654951 Nørreballe,alle,2.700.000,22-01-2016,Alm. Salg,22.689,3,Stuehus,119,1770,,
Koholtvej 454951 Nørreballe,alle,75.000,26-12-2015,Alm. Salg,721,4,Villa,104,1890,,Aktuel værdi
Vestre Landevej 1214951 Nørreballe,alle,298.000,28-10-2015,Auktion,3.820,3,Villa,78,1895,50 %,Aktuel værdi
Havløkkevej 604951 Nørreballe,alle,125.000,22-10-2015,Alm. Salg,1.488,3,Villa,84,1960,-36 %,Aktuel værdi
Koholtvej 544951 Nørreballe,alle,275.000,23-03-2015,Alm. Salg,2.131,5,Villa,129,1872,-7 %,Aktuel værdi
Vestre Landevej 294951 Nørreballe,alle,315.000,28-01-2015,Alm. Salg,2.100,5,Villa,150,1926,-6 %,Aktuel værdi
Vestre Landevej 334951 Nørreballe,alle,430.000,28-08-2014,Alm. Salg,3.675,3,Villa,117,1927,-14 %,Aktuel værdi
Koholtvej 274951 Nørreballe,alle,800.000,16-06-2014,Alm. Salg,3.053,7,Villa,262,1780,-7 %,Aktuel værdi
Havløkke Gade 74951 Nørreballe,alle,489.000,04-06-2014,Fam. Salg,3.943,4,Villa,124,1875,,Aktuel værdi
Vestre Landevej 694951 Nørreballe,alle,50.001,23-04-2014,Auktion,526,5,Villa,95,1900,,Aktuel værdi
Havløkke Gade 204951 Nørreballe,alle,35.000,12-03-2014,Alm. Salg,514,5,Sommerhus,68,1850,,Aktuel værdi
Præstevænget 254951 Nørreballe,alle,400.000,15-11-2013,Alm. Salg,2.500,4,Villa,160,1971,-19 %,Aktuel værdi
Vestre Landevej 664951 Nørreballe,alle,75.000,17-09-2013,Alm. Salg,842,3,Villa,89,1827,,Aktuel værdi
Vestre Landevej 764951 Nørreballe,alle,250.000,12-09-2013,Alm. Salg,2.000,4,Villa,125,1959,-9 %,Aktuel værdi
Østofte Gade 154951 Nørreballe,alle,519.055,01-08-2013,Alm. Salg,3.707,6,Villa,140,1890,,Aktuel værdi
Koholtvej 404951 Nørreballe,alle,1.000.000,15-06-2013,Alm. Salg,4.405,9,Villa,227,1913,,Aktuel værdi
Pårup Møllevej 2134951 Nørreballe,alle,200.000,12-06-2013,Alm. Salg,1.923,4,Villa,104,1924,-33 %,Aktuel værdi
Møllevænget 34951 Nørreballe,alle,525.000,22-05-2013,Alm. Salg,3.947,6,Villa,133,1985,-12 %,Aktuel værdi
Pårup Møllevej 2334951 Nørreballe,alle,265.000,25-04-2013,Alm. Salg,2.944,3,Villa,90,1962,-24 %,Aktuel værdi
Præstevænget 64951 Nørreballe,alle,400.000,21-03-2013,Alm. Salg,1.731,7,Villa,231,1971,-33 %,Aktuel værdi
Møllevænget 174951 Nørreballe,alle,475.000,11-02-2013,Alm. Salg,3.625,5,Villa,131,1980,-17 %,Aktuel værdi
Kirkevejen 2704951 Nørreballe,alle,150.000,05-12-2012,Auktion,1.456,4,Villa,103,1926,,Aktuel værdi
Koholtvej 234951 Nørreballe,alle,280.000,24-07-2012,Fam. Salg,1.866,4,Villa,150,1911,,Aktuel værdi
Østofte Gade 364951 Nørreballe,alle,78.804,14-06-2012,Alm. Salg,199,12,Stuehus,396,1797,,
Præstevænget 244951 Nørreballe,alle,875.000,13-06-2012,Alm. Salg,6.076,4,Villa,144,1977,-12 %,Aktuel værdi
Østofte Gade 544951 Nørreballe,alle,165.000,15-05-2012,Alm. Salg,2.115,2,Villa,78,1850,-17 %,Aktuel værdi
Sørup Mosevej 304951 Nørreballe,alle,150.000,07-03-2012,Auktion,700,5,Villa,214,1870,,Aktuel værdi
Østofte Gade 744951 Nørreballe,alle,500.000,07-12-2011,Auktion,5.617,4,Villa,89,1827,-16 %,Aktuel værdi
Præstevænget 134951 Nørreballe,alle,497.143,24-11-2011,Andet,3.682,5,Villa,135,1969,,Aktuel værdi
Koholtvej 504951 Nørreballe,alle,200.000,16-11-2011,Auktion,2.380,4,Villa,84,1900,-20 %,Aktuel værdi
Skovengen 44951 Nørreballe,alle,400.000,31-08-2011,Alm. Salg,4.395,3,Villa,91,1941,-19 %,Aktuel værdi
Præstevænget 184951 Nørreballe,alle,500.000,17-05-2011,Alm. Salg,4.807,3,Villa,104,1987,-9 %,Aktuel værdi
Vestre Landevej 1164951 Nørreballe,alle,100.000,11-05-2011,Auktion,657,5,Villa,152,1939,-83 %,Aktuel værdi
Stationsvænget 174951 Nørreballe,alle,825.000,15-04-2011,Alm. Salg,6.156,4,Villa,134,1970,-2 %,Aktuel værdi
Østofte Møllevej 2594951 Nørreballe,alle,1.375.000,25-02-2011,Alm. Salg,8.040,6,Villa,171,1926,-13 %,Aktuel værdi
Østofte Gade 114951 Nørreballe,alle,975.000,05-01-2011,Alm. Salg,10.833,4,Villa,90,1937,,Aktuel værdi
Præstevænget 224951 Nørreballe,alle,597.500,15-11-2010,Alm. Salg,3.734,5,Villa,160,1974,,Aktuel værdi
Østofte Gade 234951 Nørreballe,alle,453.812,08-11-2010,Fam. Salg,3.490,4,Villa,130,1925,,Aktuel værdi
Reersnæs Kirkevej 3294951 Nørreballe,alle,1.935.000,29-10-2010,Alm. Salg,9.258,3,Villa,209,1926,-3 %,Aktuel værdi
Østofte Gade 184951 Nørreballe,alle,475.000,14-10-2010,Alm. Salg,4.947,3,Villa,96,1959,-4 %,Aktuel værdi
Sørup Hovvej 494951 Nørreballe,alle,805.591,13-10-2010,Alm. Salg,3.028,9,Villa,266,1800,,Aktuel værdi
Vestre Landevej 814951 Nørreballe,alle,130.000,03-08-2010,Alm. Salg,1.733,3,Villa,75,1905,-13 %,Aktuel værdi
Vestre Landevej 564951 Nørreballe,alle,210.000,19-06-2010,Alm. Salg,2.164,3,Villa,97,1927,-24 %,Aktuel værdi
Østofte Gade 344951 Nørreballe,alle,400.000,22-04-2010,Alm. Salg,2.127,4,Villa,188,1958,,Aktuel værdi
Præstevænget 74951 Nørreballe,alle,725.000,11-03-2010,Alm. Salg,5.105,4,Villa,142,1969,-10 %,Aktuel værdi
Østofte Gade 414951 Nørreballe,alle,600.000,16-12-2009,Alm. Salg,6.896,4,Villa,87,1963,,Aktuel værdi
