address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Visdal 197870 Roslev,slev,1.025.000,22-05-2017,Alm. Salg,5.601,6,Villa,183,2008,,Aktuel værdi
Christiansgade 217870 Roslev,slev,350.000,04-05-2017,Alm. Salg,3.125,4,Villa,112,1959,-11 %,Aktuel værdi
Stranddalen 387870 Roslev,slev,272.500,01-05-2017,Alm. Salg,3.323,4,Sommerhus,82,1983,,Aktuel værdi
Grønning Øre 537870 Roslev,slev,300.000,01-05-2017,Fam. Salg,7.142,3,Sommerhus,42,1966,,Aktuel værdi
Stranddalen 307870 Roslev,slev,550.000,01-05-2017,Alm. Salg,7.432,3,Sommerhus,74,1975,-8 %,Aktuel værdi
Eskovvej 687870 Roslev,slev,380.000,19-04-2017,Alm. Salg,5.588,4,Sommerhus,68,1980,-5 %,Aktuel værdi
Vinkelvej 107870 Roslev,slev,245.000,12-04-2017,Alm. Salg,2.187,4,Villa,112,1959,0 %,Aktuel værdi
Eskovvej 737870 Roslev,slev,395.000,10-04-2017,Alm. Salg,4.593,4,Sommerhus,86,1981,-11 %,Aktuel værdi
Sundsørevej 767870 Roslev,slev,378.000,30-03-2017,Alm. Salg,3.780,4,Villa,100,1900,,Aktuel værdi
Rosenhaven 127870 Roslev,slev,1.127.100,30-03-2017,Fam. Salg,8.227,4,Villa,137,2005,,Aktuel værdi
Lodalvej 117870 Roslev,slev,393.095,29-03-2017,Fam. Salg,2.220,6,Villa,177,1938,,Aktuel værdi
Astrup Vig 1087870 Roslev,slev,450.000,28-03-2017,Alm. Salg,6.164,3,Sommerhus,73,1972,-9 %,Aktuel værdi
Nygade 147870 Roslev,slev,360.000,24-03-2017,Alm. Salg,3.025,5,Villa,119,1958,-9 %,Aktuel værdi
Rosenhaven 147870 Roslev,slev,678.210,24-03-2017,Alm. Salg,4.292,6,Villa,158,2003,,Aktuel værdi
Batumvej 127870 Roslev,slev,3.783.000,23-03-2017,Alm. Salg,12.694,10,Stuehus,298,1830,,
