address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Birketvej 2164941 Bandholm,holm,1.198.000,19-04-2017,Alm. Salg,10.890,2,Stuehus,110,1974,,
Lindstrømsvej 374941 Bandholm,holm,370.000,08-03-2017,Alm. Salg,3.936,3,Villa,94,1968,-6 %,Aktuel værdi
Smedegade 44941 Bandholm,holm,130.000,07-03-2017,Alm. Salg,1.056,3,Villa,123,1934,,Aktuel værdi
Strandparken 154941 Bandholm,holm,1.730.000,27-01-2017,Alm. Salg,9.453,6,Villa,183,1928,-4 %,Aktuel værdi
Blansvej 274941 Bandholm,holm,500.000,16-01-2017,Alm. Salg,2.958,6,Stuehus,169,1903,-28 %,
Grydehøjsvej 154941 Bandholm,holm,12.900.000,10-01-2017,Alm. Salg,51.807,6,Stuehus,249,1996,,
"Havnepladsen 2C, ST. TH4941 Bandholm",holm,30.000,06-01-2017,Alm. Salg,340,3,Sommerhus,88,1800,,Aktuel værdi
Blanshovedvej 104941 Bandholm,holm,5.660.000,16-12-2016,Alm. Salg,29.479,6,Stuehus,192,1920,,
Koholtvej 594941 Bandholm,holm,935.000,13-12-2016,Alm. Salg,4.675,9,Stuehus,200,1880,-15 %,
Åsmarkegade 304941 Bandholm,holm,574.961,15-11-2016,Alm. Salg,3.141,5,Villa,183,1946,,Aktuel værdi
Birketvej 244941 Bandholm,holm,325.000,26-08-2016,Alm. Salg,3.823,2,Villa,85,1870,-7 %,Aktuel værdi
Skovstræde 44941 Bandholm,holm,150.000,22-08-2016,Alm. Salg,1.415,5,Rækkehus,106,1912,-14 %,Aktuel værdi
Blansvej 84941 Bandholm,holm,85.000,08-07-2016,Alm. Salg,1.011,4,Rækkehus,84,1890,-14 %,Aktuel værdi
Strandparken 14941 Bandholm,holm,995.000,24-06-2016,Alm. Salg,10.815,2,Rækkehus,92,1887,,Aktuel værdi
Skovstræde 104941 Bandholm,holm,235.000,15-06-2016,Alm. Salg,3.263,2,Rækkehus,72,1912,,Aktuel værdi
Havnegade 14941 Bandholm,holm,1.600.000,11-05-2016,Alm. Salg,17.204,4,Villa,93,1850,,Aktuel værdi
Blansvej 444941 Bandholm,holm,448.430,20-04-2016,Alm. Salg,2.066,8,Villa,217,1750,,Aktuel værdi
Blanshovedvej 64941 Bandholm,holm,645.000,19-04-2016,Alm. Salg,2.632,5,Villa,245,1677,-7 %,Aktuel værdi
Stationsvej 34941 Bandholm,holm,150.000,11-04-2016,Alm. Salg,1.442,4,Villa,104,1956,-40 %,Aktuel værdi
Reersnæs Strandvej 994941 Bandholm,holm,459.500,06-04-2016,Alm. Salg,2.854,7,Villa,161,1880,-7 %,Aktuel værdi
Reersnæs Strandvej 934941 Bandholm,holm,9.974.000,04-04-2016,Alm. Salg,56.670,10,Stuehus,176,1851,,
Lindstrømsvej 274941 Bandholm,holm,640.000,21-03-2016,Alm. Salg,3.720,4,Villa,172,1972,-1 %,Aktuel værdi
Birketvej 184941 Bandholm,holm,130.000,01-03-2016,Alm. Salg,1.884,3,Villa,69,1902,-35 %,Aktuel værdi
Havnegade 64941 Bandholm,holm,450.000,26-02-2016,Alm. Salg,2.406,6,Villa,187,1870,-35 %,Aktuel værdi
Birketvej 234941 Bandholm,holm,130.000,19-02-2016,Alm. Salg,1.250,4,Villa,104,1912,-13 %,Aktuel værdi
Reersnæs Strandvej 874941 Bandholm,holm,275.000,01-02-2016,Alm. Salg,2.412,3,Villa,114,1959,-15 %,Aktuel værdi
Koholtvej 914941 Bandholm,holm,370.000,26-01-2016,Alm. Salg,3.894,3,Villa,95,1952,-6 %,Aktuel værdi
Birketvej 1124941 Bandholm,holm,215.000,07-01-2016,Alm. Salg,1.360,4,Villa,158,1917,-26 %,Aktuel værdi
Panumsgade 224941 Bandholm,holm,150.000,03-01-2016,Alm. Salg,1.546,4,Rækkehus,97,1917,-23 %,Aktuel værdi
