address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Olymposvej 352300 København S,vn S,4.550.000,23-05-2017,Alm. Salg,40.990,5,Villa,111,1922,-5 %,Aktuel værdi
"Sorrentovej 10, ST. MF2300 København S",vn S,1.070.000,22-05-2017,Alm. Salg,41.153,1,Lejlighed,26,1935,7 %,Aktuel værdi
"Reberbanegade 53, 4. TV2300 København S",vn S,1.100.000,22-05-2017,Fam. Salg,21.153,2,Lejlighed,52,1940,,Aktuel værdi
"Telemarksgade 5, 12300 København S",vn S,200.000,17-05-2017,Alm. Salg,2.352,3,Lejlighed,85,1915,,Aktuel værdi
Engvej 682300 København S,vn S,3.750.000,17-05-2017,Alm. Salg,51.369,3,Villa,73,1929,-6 %,Aktuel værdi
"Ved Amagerport 8, ST. TV2300 København S",vn S,1.265.000,16-05-2017,Fam. Salg,18.333,2,Lejlighed,69,1915,,Aktuel værdi
Bregnegangen 92300 København S,vn S,352.750,16-05-2017,Alm. Salg,4.409,4,Villa,80,2008,-89 %,Aktuel værdi
"Ålandsgade 17, 1. TH2300 København S",vn S,1.425.589,16-05-2017,Alm. Salg,27.952,2,Lejlighed,51,1901,,Aktuel værdi
"Thorshavnsgade 16, 3. TH2300 København S",vn S,1.952.447,16-05-2017,Fam. Salg,23.243,3,Lejlighed,84,1907,,Aktuel værdi
"Weidekampsgade 53, 4. TV2300 København S",vn S,3.000.000,16-05-2017,Fam. Salg,28.301,3,Lejlighed,106,2006,,Aktuel værdi
Tom Kristensens Vej 472300 København S,vn S,4.625.000,11-05-2017,Alm. Salg,40.217,5,Rækkehus,115,2014,-2 %,Aktuel værdi
"Norgesgade 19, ST2300 København S",vn S,5.551.000,11-05-2017,Alm. Salg,41.425,4,Lejlighed,134,1917,1 %,Aktuel værdi
"C.F. Møllers Allé 60, 6. TH2300 København S",vn S,3.100.000,10-05-2017,Alm. Salg,32.978,3,Lejlighed,94,2007,-5 %,Aktuel værdi
"Englandsvej 12B, 4. TV2300 København S",vn S,2.175.000,10-05-2017,Alm. Salg,31.521,2,Lejlighed,69,1935,-3 %,Aktuel værdi
"Tjørnerækken 7, 2. TV2300 København S",vn S,1.350.000,09-05-2017,Alm. Salg,32.926,1,Lejlighed,41,1938,0 %,Aktuel værdi
"Jens Otto Krags Gade 13, 7. 22300 København S",vn S,1.425.000,09-05-2017,Andet,10.401,4,Lejlighed,137,2006,,Aktuel værdi
"Islands Brygge 31, ST. TH2300 København S",vn S,3.695.000,09-05-2017,Alm. Salg,43.470,3,Lejlighed,85,1913,-3 %,Aktuel værdi
"Digevej 52, 3. TH2300 København S",vn S,3.400.000,08-05-2017,Alm. Salg,34.000,3,Lejlighed,100,2005,-3 %,Aktuel værdi
"Dalføret 5, 3. TV2300 København S",vn S,1.750.000,08-05-2017,Alm. Salg,28.688,2,Lejlighed,61,1936,,Aktuel værdi
"Ørestads Boulevard 59A, 7. 7032300 København S",vn S,3.495.000,05-05-2017,Fam. Salg,31.486,1,Lejlighed,111,2005,,Aktuel værdi
"H.C. Hansens Gade 5, 5. MF2300 København S",vn S,3.100.000,04-05-2017,Fam. Salg,23.308,4,Lejlighed,133,2007,,Aktuel værdi
"Amagerbrogade 251C, 1. TH2300 København S",vn S,3.250.000,04-05-2017,Alm. Salg,36.931,3,Lejlighed,88,2003,-3 %,Aktuel værdi
"Frankrigsgade 25, 1. TV2300 København S",vn S,970.000,04-05-2017,Fam. Salg,17.962,2,Lejlighed,54,1936,,Aktuel værdi
"C.F. Møllers Allé 66, 3. TH2300 København S",vn S,3.995.000,03-05-2017,Alm. Salg,37.336,4,Lejlighed,107,2007,0 %,Aktuel værdi
"Ungarnsgade 76, 4. TV2300 København S",vn S,1.032.000,03-05-2017,Fam. Salg,17.793,2,Lejlighed,58,1929,,Aktuel værdi
"Ungarnsgade 5, 4. TH2300 København S",vn S,1.020.000,03-05-2017,Fam. Salg,15.692,3,Lejlighed,65,1904,,Aktuel værdi
Knud Kristensens Gade 552300 København S,vn S,14.300.000,03-05-2017,Alm. Salg,53.358,5,Rækkehus,268,2016,,Aktuel værdi
"Polensgade 20, 4. TH2300 København S",vn S,1.845.000,02-05-2017,Alm. Salg,38.437,2,Lejlighed,48,1916,3 %,Aktuel værdi
"Frankrigshusene 18, 4. TV2300 København S",vn S,1.150.000,02-05-2017,Fam. Salg,20.535,2,Lejlighed,56,1936,,Aktuel værdi
"Tjørnerækken 7, 2. TH2300 København S",vn S,1.465.000,02-05-2017,Alm. Salg,36.625,1,Lejlighed,40,1938,-2 %,Aktuel værdi
"Caprivej 5, 1. TH2300 København S",vn S,1.092.500,02-05-2017,Fam. Salg,19.863,2,Lejlighed,55,1932,,Aktuel værdi
"Artillerivej 114, 1. TV2300 København S",vn S,3.800.000,02-05-2017,Alm. Salg,39.175,3,Lejlighed,97,2008,-2 %,Aktuel værdi
"Gerbrandsvej 22, 1. 22300 København S",vn S,1.550.000,01-05-2017,Alm. Salg,31.000,2,Lejlighed,50,1938,0 %,Aktuel værdi
Rundholtsvej 1172300 København S,vn S,11.500.000,29-04-2017,Alm. Salg,65.714,5,Rækkehus,175,2015,-4 %,Aktuel værdi
"Sorrentovej 4, ST. MF2300 København S",vn S,500.000,28-04-2017,Fam. Salg,19.230,1,Lejlighed,26,1935,,Aktuel værdi
"Hollænderdybet 14, ST. TV2300 København S",vn S,2.395.000,28-04-2017,Alm. Salg,40.593,2,Lejlighed,59,1917,0 %,Aktuel værdi
"Amagerbrogade 255, 32300 København S",vn S,2.203.000,28-04-2017,Alm. Salg,28.610,3,Lejlighed,77,1938,0 %,Aktuel værdi
"Ålandsgade 3, ST. TV2300 København S",vn S,1.745.000,27-04-2017,Alm. Salg,36.354,2,Lejlighed,48,1901,0 %,Aktuel værdi
