address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Splitad 458970 Havndal,ndal,175.000,10-05-2017,Alm. Salg,1.944,3,Villa,90,1888,,Aktuel værdi
Troldhusvej 68970 Havndal,ndal,999.000,03-04-2017,Alm. Salg,8.612,3,Villa,116,1890,0 %,Aktuel værdi
Galgevangsvej 38970 Havndal,ndal,225.000,15-03-2017,Alm. Salg,1.730,4,Villa,130,1927,-35 %,Aktuel værdi
Kalvevasen 148970 Havndal,ndal,500.000,20-02-2017,Alm. Salg,1.960,8,Villa,255,1940,,Aktuel værdi
Udbyhøjvej 6138970 Havndal,ndal,640.000,16-02-2017,Alm. Salg,4.539,5,Villa,141,1927,-8 %,Aktuel værdi
Vesterbro 128970 Havndal,ndal,345.000,13-02-2017,Alm. Salg,2.695,4,Villa,128,1967,-13 %,Aktuel værdi
Lyshøj Møllevej 78970 Havndal,ndal,300.000,12-02-2017,Alm. Salg,3.333,4,Villa,90,1900,,Aktuel værdi
Klattrupgade 208970 Havndal,ndal,200.000,09-02-2017,Alm. Salg,1.626,3,Villa,123,1954,,Aktuel værdi
Stadionvej 358970 Havndal,ndal,945.000,28-01-2017,Alm. Salg,7.875,4,Villa,120,1897,0 %,Aktuel værdi
Under Bakken 498970 Havndal,ndal,550.000,14-01-2017,Alm. Salg,4.583,6,Villa,120,1880,-8 %,Aktuel værdi
Stenhøjvej 68970 Havndal,ndal,300.000,13-01-2017,Alm. Salg,2.272,4,Stuehus,132,1928,,
Jydestien 78970 Havndal,ndal,510.000,06-01-2017,Alm. Salg,3.400,5,Villa,150,1974,-6 %,Aktuel værdi
Borgergade 118970 Havndal,ndal,75.000,02-01-2017,Alm. Salg,852,5,Villa,88,1830,,Aktuel værdi
Hvilhusevej 758970 Havndal,ndal,1.230.000,23-12-2016,Alm. Salg,6.507,5,Villa,189,1830,-18 %,Aktuel værdi
Bygaden 198970 Havndal,ndal,300.000,22-12-2016,Alm. Salg,3.947,2,Villa,76,1867,,Aktuel værdi
Nordbakken 78970 Havndal,ndal,295.000,15-12-2016,Alm. Salg,11.800,3,Sommerhus,25,2004,-9 %,Aktuel værdi
Kondrupvej 338970 Havndal,ndal,1.545.000,13-12-2016,Alm. Salg,7.087,5,Villa,218,2010,-6 %,Aktuel værdi
Blindgyden 18970 Havndal,ndal,395.000,08-12-2016,Alm. Salg,6.370,2,Villa,62,1877,0 %,Aktuel værdi
Kronborgvej 298970 Havndal,ndal,450.000,02-12-2016,Alm. Salg,3.082,4,Villa,146,1965,,Aktuel værdi
Fl. Junckers Vej 148970 Havndal,ndal,750.000,29-11-2016,Alm. Salg,5.905,7,Stuehus,127,1922,8 %,
Færgevej 348970 Havndal,ndal,142.373,29-11-2016,Alm. Salg,924,5,Villa,154,1932,,Aktuel værdi
Rolighedsvej 18970 Havndal,ndal,2.350.000,05-11-2016,Alm. Salg,12.239,5,Stuehus,192,1987,,
Hvilhusevej 878970 Havndal,ndal,644.000,01-11-2016,Fam. Salg,5.457,5,Villa,118,1931,,Aktuel værdi
Bygaden 128970 Havndal,ndal,775.000,21-10-2016,Alm. Salg,5.236,4,Villa,148,1906,-3 %,Aktuel værdi
Fl. Junckers Vej 88970 Havndal,ndal,743.000,19-10-2016,Fam. Salg,2.825,4,Villa,263,2011,,Aktuel værdi
Østerbro 378970 Havndal,ndal,308.000,14-10-2016,Fam. Salg,-,5,Villa,145,1924,,Aktuel værdi
Klattrupgade 348970 Havndal,ndal,2.200.000,13-10-2016,Alm. Salg,9.691,7,Villa,227,1934,,Aktuel værdi
Udbynedervej 308970 Havndal,ndal,10.000,07-10-2016,Alm. Salg,103,3,Villa,97,1860,,Aktuel værdi
Lyshøj Møllevej 108970 Havndal,ndal,195.000,02-10-2016,Alm. Salg,1.875,3,Villa,104,1897,0 %,Aktuel værdi
Gl. Stationsvej 48970 Havndal,ndal,280.000,01-10-2016,Alm. Salg,1.958,8,Villa,143,1917,-5 %,Aktuel værdi
Borgergade 258970 Havndal,ndal,700.000,22-09-2016,Alm. Salg,5.147,5,Villa,136,1890,,Aktuel værdi
Klattrupgade 368970 Havndal,ndal,2.700.000,31-08-2016,Alm. Salg,14.917,7,Stuehus,181,1875,,
Kronborgvej 58970 Havndal,ndal,370.000,26-08-2016,Fam. Salg,2.228,8,Villa,166,1913,,Aktuel værdi
Hedevej 228970 Havndal,ndal,240.000,24-08-2016,Alm. Salg,1.875,4,Villa,128,1968,-19 %,Aktuel værdi
Tværvej 48970 Havndal,ndal,120.000,19-08-2016,Alm. Salg,1.237,5,Villa,97,1915,,Aktuel værdi
Trehøje 128970 Havndal,ndal,225.000,10-08-2016,Alm. Salg,1.397,8,Villa,161,1830,-19 %,Aktuel værdi
Udbyhøjvej 6378970 Havndal,ndal,325.000,09-08-2016,Alm. Salg,2.031,5,Villa,160,1902,-7 %,Aktuel værdi
Semvej 358970 Havndal,ndal,1.060.000,15-07-2016,Alm. Salg,5.520,6,Stuehus,192,1900,-3 %,
Klosterstræde 48970 Havndal,ndal,390.000,01-07-2016,Alm. Salg,3.861,4,Villa,101,1957,-13 %,Aktuel værdi
Nebstrupvej 68970 Havndal,ndal,875.000,14-06-2016,Alm. Salg,3.959,4,Stuehus,221,1912,-20 %,
Vellinggårdsvej 138970 Havndal,ndal,5.870.000,14-06-2016,Fam. Salg,39.931,5,Stuehus,147,1920,,
Strandvej 368970 Havndal,ndal,520.000,08-06-2016,Alm. Salg,7.761,4,Sommerhus,67,1973,-8 %,Aktuel værdi
Grejsvang 718970 Havndal,ndal,250.000,08-06-2016,Auktion,1.388,6,Villa,180,1930,,Aktuel værdi
Bavnehøjvej 58970 Havndal,ndal,274.508,23-05-2016,Fam. Salg,2.450,5,Villa,112,1930,,Aktuel værdi
Færgevej 458970 Havndal,ndal,730.000,23-05-2016,Alm. Salg,5.407,4,Villa,135,1968,-14 %,Aktuel værdi
Sletten 128970 Havndal,ndal,175.000,20-05-2016,Alm. Salg,1.590,3,Stuehus,110,1902,,
Blindgyden 28970 Havndal,ndal,412.701,11-05-2016,Auktion,2.063,5,Villa,200,1944,,Aktuel værdi
Østervangsvej 218970 Havndal,ndal,525.000,29-04-2016,Alm. Salg,4.687,5,Stuehus,112,1960,,
Udbyhøjvej 5998970 Havndal,ndal,398.000,26-04-2016,Alm. Salg,3.618,4,Villa,110,1954,-20 %,Aktuel værdi
Klattrupgade 378970 Havndal,ndal,150.000,30-03-2016,Auktion,2.142,3,Villa,70,1958,,Aktuel værdi
Kronborgvej 98970 Havndal,ndal,1.100.000,16-03-2016,Fam. Salg,4.661,8,Villa,236,1929,,Aktuel værdi
Brændstensvej 158970 Havndal,ndal,900.000,16-03-2016,Fam. Salg,7.563,4,Villa,119,1980,,Aktuel værdi
Borgergade 178970 Havndal,ndal,55.922,16-03-2016,Auktion,621,4,Villa,90,1780,,Aktuel værdi
Åmøllevej 298970 Havndal,ndal,887.302,01-03-2016,Fam. Salg,5.545,4,Villa,160,2008,,Aktuel værdi
Kronborgvej 348970 Havndal,ndal,190.000,26-02-2016,Alm. Salg,1.696,4,Villa,112,1902,-17 %,Aktuel værdi
Møgelvangsvej 108970 Havndal,ndal,325.000,26-02-2016,Alm. Salg,2.539,5,Villa,128,1967,,Aktuel værdi
Ved Dammen 228970 Havndal,ndal,217.502,24-02-2016,Auktion,1.450,5,Villa,150,1925,,Aktuel værdi
Grovevej 98970 Havndal,ndal,1.850.000,19-02-2016,Alm. Salg,5.891,4,Villa,314,1910,-8 %,Aktuel værdi
Klattrupgade 88970 Havndal,ndal,295.000,28-01-2016,Alm. Salg,3.687,4,Villa,80,1900,,Aktuel værdi
Udbynedervej 408970 Havndal,ndal,315.000,23-01-2016,Alm. Salg,3.937,3,Villa,80,1957,-10 %,Aktuel værdi
Hummelbækvej 88970 Havndal,ndal,520.000,04-01-2016,Alm. Salg,2.175,6,Villa,239,1913,,Aktuel værdi
Vandværksvej 38970 Havndal,ndal,105.000,21-12-2015,Alm. Salg,2.100,2,Villa,50,1948,-22 %,Aktuel værdi
Råby Møllevej 128970 Havndal,ndal,610.000,16-12-2015,Alm. Salg,4.206,4,Villa,145,1900,,Aktuel værdi
Udbynedervej 428970 Havndal,ndal,160.000,12-12-2015,Alm. Salg,1.632,4,Villa,98,1955,,Aktuel værdi
Hvilhusevej 308970 Havndal,ndal,470.000,10-12-2015,Alm. Salg,3.983,4,Villa,118,1902,-5 %,Aktuel værdi
Havndalvej 648970 Havndal,ndal,275.000,25-11-2015,Fam. Salg,1.527,7,Villa,180,1852,,Aktuel værdi
Stenkildevej 258970 Havndal,ndal,20.000,24-11-2015,Alm. Salg,148,4,Villa,135,1877,,Aktuel værdi
Udbyhøjvej 6828970 Havndal,ndal,140.000,20-11-2015,Alm. Salg,1.272,2,Villa,110,1937,,Aktuel værdi
Kronborgvej 248970 Havndal,ndal,625.000,20-11-2015,Alm. Salg,3.881,8,Villa,161,1913,,Aktuel værdi
Vesterbro 558970 Havndal,ndal,220.000,18-11-2015,Alm. Salg,1.157,7,Villa,190,1902,,Aktuel værdi
Demstrupvej 568970 Havndal,ndal,275.000,12-11-2015,Alm. Salg,4.365,2,Villa,63,1959,0 %,Aktuel værdi
Færgevej 148970 Havndal,ndal,301.050,12-11-2015,Alm. Salg,2.150,5,Villa,140,1957,,Aktuel værdi
Søkærvej 138970 Havndal,ndal,700.000,06-11-2015,Alm. Salg,3.398,7,Stuehus,206,1875,,
Kronborgvej 228970 Havndal,ndal,180.337,04-11-2015,Auktion,1.345,5,Villa,134,1917,-54 %,Aktuel værdi
