address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Matthæusgade 16, 1. TV1666 København V",vn V,1.800.000,23-05-2017,Fam. Salg,23.684,4,Lejlighed,76,1882,,Aktuel værdi
"H.C. Andersens Boulevard 40A, 5. TH1553 København V",vn V,3.000.000,21-05-2017,Fam. Salg,26.548,4,Lejlighed,113,1903,,Aktuel værdi
"Vesterbrogade 36, 31620 København V",vn V,7.825.000,18-05-2017,Alm. Salg,36.059,8,Lejlighed,217,1867,,Aktuel værdi
"Flensborggade 7, 4. TH1669 København V",vn V,1.322.500,18-05-2017,Fam. Salg,24.952,2,Lejlighed,53,1897,,Aktuel værdi
"Eskildsgade 2, 2. TV1657 København V",vn V,2.400.000,18-05-2017,Fam. Salg,15.789,5,Lejlighed,152,1880,,Aktuel værdi
"Dybbølsgade 13, 4. TH1721 København V",vn V,1.100.000,11-05-2017,Fam. Salg,18.333,2,Lejlighed,60,1908,,Aktuel værdi
"Sommerstedgade 19, 4. TH1718 København V",vn V,1.495.000,08-05-2017,Fam. Salg,26.228,2,Lejlighed,57,1904,,Aktuel værdi
"Viktoriagade 8D, 2. TH1655 København V",vn V,4.125.000,08-05-2017,Alm. Salg,52.215,3,Lejlighed,79,1860,3 %,Aktuel værdi
"Puggaardsgade 14, 2. TH1573 København V",vn V,1.907.500,08-05-2017,Fam. Salg,18.166,3,Lejlighed,105,1917,,Aktuel værdi
"Valdemarsgade 66, 3. TV1665 København V",vn V,2.625.000,04-05-2017,Alm. Salg,50.480,2,Lejlighed,52,1900,1 %,Aktuel værdi
"Vesterbrogade 106B, ST. TH1620 København V",vn V,3.195.000,03-05-2017,Alm. Salg,39.444,3,Lejlighed,81,1884,0 %,Aktuel værdi
"Esbern Snares Gade 4, 1. TV1725 København V",vn V,1.755.000,28-04-2017,Fam. Salg,30.258,2,Lejlighed,58,1904,,Aktuel værdi
"Halmtorvet 29B, 5. TH1700 København V",vn V,2.550.000,27-04-2017,Fam. Salg,20.400,4,Lejlighed,125,1908,-51 %,Aktuel værdi
"Puggaardsgade 8, 5. TV1573 København V",vn V,4.220.000,26-04-2017,Alm. Salg,41.782,3,Lejlighed,101,1908,-5 %,Aktuel værdi
"Esbern Snares Gade 4, 4. TH1725 København V",vn V,4.150.000,25-04-2017,Alm. Salg,48.823,3,Lejlighed,85,1904,-3 %,Aktuel værdi
"Matthæusgade 50, 3. 181666 København V",vn V,800.000,24-04-2017,Fam. Salg,20.512,1,Lejlighed,39,1971,,Aktuel værdi
"Oehlenschlægersgade 23, ST. TH1663 København V",vn V,2.750.000,24-04-2017,Alm. Salg,38.194,3,Lejlighed,72,1883,0 %,Aktuel værdi
"Enghavevej 21, 2. TV1674 København V",vn V,2.185.000,23-04-2017,Alm. Salg,45.520,2,Lejlighed,48,1895,-3 %,Aktuel værdi
"Istedgade 1, 51650 København V",vn V,1.995.000,21-04-2017,Fam. Salg,18.136,4,Lejlighed,110,1886,,Aktuel værdi
"Sankelmarksgade 17, 3. TH1676 København V",vn V,1.487.500,20-04-2017,Fam. Salg,17.708,3,Lejlighed,84,1901,,Aktuel værdi
"Arkonagade 16, 1. TH1726 København V",vn V,4.100.000,19-04-2017,Alm. Salg,54.666,2,Lejlighed,75,1905,3 %,Aktuel værdi
"Matthæusgade 54, 1. 21666 København V",vn V,1.850.000,19-04-2017,Alm. Salg,35.576,2,Lejlighed,52,1971,-2 %,Aktuel værdi
"Godsbanegade 18, ST. TH1722 København V",vn V,2.100.000,12-04-2017,Alm. Salg,38.181,2,Lejlighed,55,1902,-4 %,Aktuel værdi
"Trommesalen 3B, 21614 København V",vn V,3.150.000,12-04-2017,Alm. Salg,45.652,2,Lejlighed,69,1883,5 %,Aktuel værdi
"Esbern Snares Gade 5, ST. TH1725 København V",vn V,3.335.000,09-04-2017,Alm. Salg,43.881,4,Lejlighed,76,1904,-2 %,Aktuel værdi
"Esbern Snares Gade 6, 1. TV1725 København V",vn V,2.650.000,09-04-2017,Alm. Salg,45.689,2,Lejlighed,58,1904,-2 %,Aktuel værdi
"Asger Rygs Gade 4, 2. TH1727 København V",vn V,1.342.511,07-04-2017,Alm. Salg,21.309,2,Lejlighed,63,1907,,Aktuel værdi
"Enghavevej 31, 5. 471674 København V",vn V,1.350.000,07-04-2017,Alm. Salg,35.526,1,Lejlighed,38,1971,0 %,Aktuel værdi
"Asger Rygs Gade 6, 4. TV1727 København V",vn V,2.795.000,07-04-2017,Alm. Salg,45.819,2,Lejlighed,61,1907,0 %,Aktuel værdi
"Krusågade 35, 2. TV1719 København V",vn V,646.000,03-04-2017,Alm. Salg,7.258,3,Lejlighed,89,1908,,Aktuel værdi
"Matthæusgade 50, 4. 291666 København V",vn V,1.750.000,02-04-2017,Alm. Salg,28.688,2,Lejlighed,61,1971,,Aktuel værdi
"Vesterbrogade 2D, 31620 København V",vn V,6.000.000,31-03-2017,Alm. Salg,27.397,1,Lejlighed,219,1942,-14 %,Aktuel værdi
"Flensborggade 25, ST. TV1669 København V",vn V,1.600.000,30-03-2017,Fam. Salg,30.769,2,Lejlighed,52,1897,,Aktuel værdi
"Havneholmen 38, 3. TV1561 København V",vn V,3.610.000,29-03-2017,Alm. Salg,51.571,2,Lejlighed,70,2008,3 %,Aktuel værdi
"Halmtorvet 29B, 3. MF1700 København V",vn V,3.800.000,28-03-2017,Alm. Salg,44.186,2,Lejlighed,86,1908,,Aktuel værdi
"Dannebrogsgade 31, ST. TV1660 København V",vn V,1.275.000,28-03-2017,Fam. Salg,20.564,2,Lejlighed,62,2003,,Aktuel værdi
"Vesterbrogade 119A, 51620 København V",vn V,2.700.000,27-03-2017,Fam. Salg,28.125,3,Lejlighed,96,1899,,Aktuel værdi
"Enghavevej 25, ST. TH1674 København V",vn V,2.595.000,27-03-2017,Alm. Salg,29.827,3,Lejlighed,87,1895,0 %,Aktuel værdi
"Enghavevej 25, 2. TV1674 København V",vn V,3.150.000,23-03-2017,Alm. Salg,37.951,3,Lejlighed,83,1895,0 %,Aktuel værdi
"Ny Carlsberg Vej 6, 3. TV1760 København V",vn V,3.375.000,22-03-2017,Fam. Salg,39.244,3,Lejlighed,86,1905,,Aktuel værdi
"Oehlenschlægersgade 23, 5. TV1663 København V",vn V,3.320.000,22-03-2017,Alm. Salg,47.428,3,Lejlighed,70,1883,-2 %,Aktuel værdi
"Vesterbrogade 104, ST. TH1620 København V",vn V,2.500.000,22-03-2017,Alm. Salg,34.246,3,Lejlighed,73,1885,0 %,Aktuel værdi
"Eskildsgade 2, 4. TH1657 København V",vn V,5.700.000,20-03-2017,Alm. Salg,54.285,3,Lejlighed,105,1880,-9 %,Aktuel værdi
"Enghavevej 25, 4. TV1674 København V",vn V,3.225.000,19-03-2017,Alm. Salg,38.855,3,Lejlighed,83,1895,0 %,Aktuel værdi
"Ny Carlsberg Vej 2, ST. TV1760 København V",vn V,2.800.000,18-03-2017,Alm. Salg,38.888,3,Lejlighed,72,1905,-3 %,Aktuel værdi
"Åboulevard 11, 4. TH1635 København V",vn V,4.650.000,14-03-2017,Alm. Salg,34.191,4,Lejlighed,136,1932,-7 %,Aktuel værdi
"Ny Carlsberg Vej 2, 2. TH1760 København V",vn V,1.600.000,13-03-2017,Fam. Salg,17.021,4,Lejlighed,94,1905,,Aktuel værdi
"H.C. Andersens Boulevard 40, 2. TH1553 København V",vn V,5.450.000,12-03-2017,Alm. Salg,37.074,4,Lejlighed,147,1903,-4 %,Aktuel værdi
Vesterbrogade 116B1620 København V,vn V,3.995.000,08-03-2017,Alm. Salg,52.565,4,Lejlighed,76,1930,0 %,Aktuel værdi
"Matthæusgade 48A, 4. 4031666 København V",vn V,2.195.000,06-03-2017,Alm. Salg,30.068,2,Lejlighed,73,1970,0 %,Aktuel værdi
"Enghavevej 29, 1. TH1674 København V",vn V,1.495.000,06-03-2017,Alm. Salg,24.112,2,Lejlighed,62,1895,,Aktuel værdi
