address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Hejrskovvej 406690 Gørding,ding,639.060,31-03-2017,Alm. Salg,3.896,7,Villa,164,1900,,Aktuel værdi
Sejersgården 36690 Gørding,ding,975.000,23-03-2017,Alm. Salg,6.678,5,Villa,146,1973,-7 %,Aktuel værdi
Østergade 286690 Gørding,ding,1.450.000,18-03-2017,Alm. Salg,11.417,5,Villa,127,1954,,Aktuel værdi
Godthåbsvej 136690 Gørding,ding,850.000,16-03-2017,Alm. Salg,6.800,5,Villa,125,1976,,Aktuel værdi
Fyrrevænget 106690 Gørding,ding,770.000,12-03-2017,Alm. Salg,5.500,5,Villa,140,1970,-9 %,Aktuel værdi
Toften 26690 Gørding,ding,439.883,28-02-2017,Alm. Salg,4.355,4,Villa,101,1965,-37 %,Aktuel værdi
Nørregade 446690 Gørding,ding,835.000,09-02-2017,Alm. Salg,5.060,6,Villa,165,1910,-7 %,Aktuel værdi
Toften 46690 Gørding,ding,710.000,03-02-2017,Alm. Salg,6.173,4,Villa,115,1968,-5 %,Aktuel værdi
Østergade 236690 Gørding,ding,580.000,01-02-2017,Alm. Salg,6.373,6,Villa,91,1949,-3 %,Aktuel værdi
Nørregade 1096690 Gørding,ding,615.000,05-01-2017,Fam. Salg,3.044,7,Villa,202,1934,-9 %,Aktuel værdi
Puggårdsvej 346690 Gørding,ding,570.000,04-01-2017,Fam. Salg,4.488,2,Villa,127,1927,,Aktuel værdi
Østerhedevej 166690 Gørding,ding,800.000,09-12-2016,Alm. Salg,3.448,11,Villa,232,1990,-20 %,Aktuel værdi
Østerhedevej 236690 Gørding,ding,900.000,30-11-2016,Alm. Salg,5.590,5,Villa,161,1908,-14 %,Aktuel værdi
Nygade 296690 Gørding,ding,620.000,14-11-2016,Alm. Salg,5.123,6,Villa,121,1881,,Aktuel værdi
Østergade 116690 Gørding,ding,325.000,04-11-2016,Fam. Salg,2.226,4,Villa,146,1928,-46 %,Aktuel værdi
Nørregade 1066690 Gørding,ding,968.000,20-10-2016,Alm. Salg,8.344,4,Villa,116,1972,-3 %,Aktuel værdi
Vestergade 316690 Gørding,ding,2.500.000,15-10-2016,Alm. Salg,8.710,7,Villa,287,1915,-4 %,Aktuel værdi
Bøgevænget 116690 Gørding,ding,1.500.000,15-10-2016,Alm. Salg,8.982,5,Villa,167,1985,,Aktuel værdi
Nørregade 256690 Gørding,ding,600.000,21-09-2016,Alm. Salg,4.444,4,Villa,135,1890,-8 %,Aktuel værdi
"Nørregade 2, 16690 Gørding",ding,1.250.000,14-09-2016,Alm. Salg,25.000,2,Lejlighed,50,1877,,Aktuel værdi
Toften 56690 Gørding,ding,660.000,09-09-2016,Alm. Salg,6.534,4,Villa,101,1967,-5 %,Aktuel værdi
Risagervej 16690 Gørding,ding,650.000,10-08-2016,Alm. Salg,8.024,3,Villa,81,1846,-13 %,Aktuel værdi
Møllegade 86690 Gørding,ding,1.685.000,05-08-2016,Alm. Salg,6.849,11,Villa,246,1908,-6 %,Aktuel værdi
Aikevej 76690 Gørding,ding,784.600,20-06-2016,Alm. Salg,8.172,5,Villa,96,1950,,Aktuel værdi
Gørdingvej 1166690 Gørding,ding,1.800.000,14-06-2016,Alm. Salg,7.317,7,Villa,246,1907,-10 %,Aktuel værdi
Søndergade 13D6690 Gørding,ding,600.000,10-06-2016,Alm. Salg,5.769,4,Villa,104,1986,,Aktuel værdi
Nørregade 18A6690 Gørding,ding,375.000,06-06-2016,Alm. Salg,2.130,6,Villa,176,1900,-25 %,Aktuel værdi
Sdr Lourupvej 66690 Gørding,ding,575.000,18-05-2016,Alm. Salg,5.750,4,Villa,100,1966,-8 %,Aktuel værdi
Åvænget 406690 Gørding,ding,475.000,03-05-2016,Alm. Salg,6.985,3,Rækkehus,68,1977,-5 %,Aktuel værdi
