address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Bopladsen 13B9230 Svenstrup J,up J,1.925.000,03-05-2017,Alm. Salg,14.694,4,Rækkehus,131,1976,-1 %,Aktuel værdi
Nattergalevej 49230 Svenstrup J,up J,1.540.000,29-04-2017,Alm. Salg,11.937,5,Villa,129,1965,-3 %,Aktuel værdi
Bakkedraget 49230 Svenstrup J,up J,650.000,18-04-2017,Alm. Salg,7.738,3,Villa,84,1958,,Aktuel værdi
Midgården 259230 Svenstrup J,up J,2.250.000,14-04-2017,Alm. Salg,16.423,5,Villa,137,1996,-2 %,Aktuel værdi
Rosenlundsvej 409230 Svenstrup J,up J,1.575.000,14-04-2017,Alm. Salg,13.016,4,Villa,121,1961,,Aktuel værdi
Blåmejsevej 29230 Svenstrup J,up J,2.475.000,11-04-2017,Alm. Salg,15.566,6,Villa,159,1968,-1 %,Aktuel værdi
Plantagevej 279230 Svenstrup J,up J,2.645.000,04-04-2017,Alm. Salg,16.030,5,Villa,165,1971,0 %,Aktuel værdi
Pumpestræde 19230 Svenstrup J,up J,1.375.000,31-03-2017,Alm. Salg,12.276,4,Villa,112,1969,-8 %,Aktuel værdi
Bopladsen 13D9230 Svenstrup J,up J,2.550.000,29-03-2017,Alm. Salg,12.878,7,Rækkehus,198,1977,-5 %,Aktuel værdi
"Solbakkevej 17A, ST. TV9230 Svenstrup J",up J,1.240.000,24-03-2017,Alm. Salg,10.163,4,Lejlighed,122,1947,-4 %,Aktuel værdi
Hobrovej 8449230 Svenstrup J,up J,1.300.000,16-03-2017,Alm. Salg,7.222,6,Stuehus,180,1917,,
Vestermøllevej 69230 Svenstrup J,up J,3.150.000,14-03-2017,Alm. Salg,17.696,4,Rækkehus,178,1910,-1 %,Aktuel værdi
Halvej 199230 Svenstrup J,up J,2.445.000,13-03-2017,Alm. Salg,16.192,3,Villa,151,1987,-2 %,Aktuel værdi
Hybenvej 259230 Svenstrup J,up J,1.659.000,12-03-2017,Alm. Salg,10.634,4,Villa,156,1972,4 %,Aktuel værdi
Stubmøllevej 89230 Svenstrup J,up J,2.050.000,12-03-2017,Alm. Salg,12.202,6,Villa,168,1967,-2 %,Aktuel værdi
Galopbakken 369230 Svenstrup J,up J,2.050.000,11-03-2017,Alm. Salg,12.500,5,Villa,164,1981,-2 %,Aktuel værdi
Svanevej 49230 Svenstrup J,up J,797.000,10-03-2017,Fam. Salg,8.050,4,Villa,99,1972,,Aktuel værdi
Drejerensvej 309230 Svenstrup J,up J,1.650.000,09-03-2017,Andet,9.116,4,Stuehus,181,1902,,
Midgården 599230 Svenstrup J,up J,2.560.000,09-03-2017,Alm. Salg,19.541,5,Villa,131,1996,-1 %,Aktuel værdi
Springbakken 279230 Svenstrup J,up J,1.880.000,09-03-2017,Alm. Salg,13.055,5,Villa,144,1979,,Aktuel værdi
Blishønevej 39230 Svenstrup J,up J,2.200.000,08-03-2017,Alm. Salg,15.277,4,Villa,144,1957,-2 %,Aktuel værdi
Asgården 29230 Svenstrup J,up J,1.720.543,01-03-2017,Alm. Salg,9.453,5,Villa,182,2008,,Aktuel værdi
Midgården 999230 Svenstrup J,up J,2.845.000,01-03-2017,Alm. Salg,20.035,5,Villa,142,2013,0 %,Aktuel værdi
Jættestuen 119230 Svenstrup J,up J,1.585.000,27-02-2017,Alm. Salg,15.850,4,Rækkehus,100,1986,,Aktuel værdi
Guldbækvej 839230 Svenstrup J,up J,1.550.000,23-02-2017,Alm. Salg,15.656,4,Villa,99,1954,0 %,Aktuel værdi
Jættestuen 449230 Svenstrup J,up J,1.365.000,21-02-2017,Alm. Salg,13.787,4,Rækkehus,99,1987,,Aktuel værdi
Blåmejsevej 79230 Svenstrup J,up J,1.900.000,20-02-2017,Alm. Salg,12.500,5,Villa,152,1971,-9 %,Aktuel værdi
Duathlonvej 179230 Svenstrup J,up J,3.150.000,17-02-2017,Alm. Salg,20.723,5,Villa,152,2014,0 %,Aktuel værdi
Rosenlundsvej 209230 Svenstrup J,up J,1.695.000,16-02-2017,Alm. Salg,13.038,4,Villa,130,1964,0 %,Aktuel værdi
Tommelisevej 299230 Svenstrup J,up J,975.000,15-02-2017,Alm. Salg,11.890,4,Villa,82,1965,-11 %,Aktuel værdi
Bakkedraget 99230 Svenstrup J,up J,1.475.000,08-02-2017,Alm. Salg,17.559,3,Villa,84,1957,-1 %,Aktuel værdi
Solbakkevej 259230 Svenstrup J,up J,2.550.000,03-02-2017,Alm. Salg,16.558,4,Villa,154,1979,-4 %,Aktuel værdi
Godthåbsvej 759230 Svenstrup J,up J,1.995.000,01-02-2017,Alm. Salg,13.300,4,Villa,150,1960,0 %,Aktuel værdi
Ridemandsmøllevej 359230 Svenstrup J,up J,1.580.000,31-01-2017,Alm. Salg,15.959,4,Villa,99,1954,,Aktuel værdi
Badmintonvej 419230 Svenstrup J,up J,2.100.000,31-01-2017,Alm. Salg,14.788,6,Villa,142,1970,5 %,Aktuel værdi
Poulstrupvej 1199230 Svenstrup J,up J,2.645.000,30-01-2017,Alm. Salg,12.777,7,Stuehus,207,1920,-12 %,
Tommelisevej 49230 Svenstrup J,up J,1.525.000,30-01-2017,Alm. Salg,7.942,7,Villa,192,1969,-1 %,Aktuel værdi
Ericavej 139230 Svenstrup J,up J,1.700.000,28-01-2017,Alm. Salg,13.709,4,Villa,124,1968,-5 %,Aktuel værdi
Mjels Brovej 279230 Svenstrup J,up J,444.433,27-01-2017,Alm. Salg,3.642,5,Villa,122,1910,,Aktuel værdi
Zincksvej 69230 Svenstrup J,up J,1.575.000,26-01-2017,Alm. Salg,13.815,4,Villa,114,1968,-1 %,Aktuel værdi
Doktorparken 529230 Svenstrup J,up J,1.675.000,25-01-2017,Alm. Salg,9.682,6,Villa,173,1975,-4 %,Aktuel værdi
Sjællandsgården 99230 Svenstrup J,up J,1.475.000,21-01-2017,Alm. Salg,16.032,4,Rækkehus,92,1962,,Aktuel værdi
