address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Erholmvænget 395230 Odense M,se M,840.793,10-05-2017,Fam. Salg,8.163,4,Rækkehus,103,1957,,Aktuel værdi
"Munkerisvej 57, 1. TV5230 Odense M",se M,1.285.000,08-05-2017,Alm. Salg,17.364,2,Lejlighed,74,1959,-1 %,Aktuel værdi
"Østerbæksvej 3, ST. TV5230 Odense M",se M,1.200.000,03-05-2017,Alm. Salg,17.910,2,Lejlighed,67,1935,-4 %,Aktuel værdi
Glamsbjergvænget 85230 Odense M,se M,1.600.000,01-05-2017,Alm. Salg,16.842,4,Rækkehus,95,1953,,Aktuel værdi
Zahrtmannsvej 225230 Odense M,se M,1.350.000,28-04-2017,Alm. Salg,15.000,4,Rækkehus,90,1952,,Aktuel værdi
"Hjallesevej 84, 15230 Odense M",se M,1.625.000,28-04-2017,Alm. Salg,13.771,4,Lejlighed,118,1936,-4 %,Aktuel værdi
Munkerisvej 345230 Odense M,se M,1.505.000,20-04-2017,Alm. Salg,13.681,5,Villa,110,1959,,Aktuel værdi
Kaalundsvej 345230 Odense M,se M,3.500.000,19-04-2017,Alm. Salg,29.166,5,Villa,120,1956,,Aktuel værdi
Gelskovvænget 335230 Odense M,se M,1.695.000,07-04-2017,Alm. Salg,16.617,4,Rækkehus,102,1968,0 %,Aktuel værdi
Hunderupvej 123E5230 Odense M,se M,3.700.000,31-03-2017,Alm. Salg,29.365,3,Villa,126,1959,0 %,Aktuel værdi
Poppelvej 755230 Odense M,se M,2.225.000,29-03-2017,Alm. Salg,22.250,3,Rækkehus,100,1974,1 %,Aktuel værdi
Rødkildevænget 215230 Odense M,se M,2.550.000,29-03-2017,Alm. Salg,16.139,6,Villa,158,1966,,Aktuel værdi
Chr. Richardts Vej 285230 Odense M,se M,4.295.000,28-03-2017,Alm. Salg,23.091,7,Villa,186,1944,0 %,Aktuel værdi
Christian IXs Vej 245230 Odense M,se M,3.600.000,21-03-2017,Alm. Salg,15.720,8,Villa,229,1935,-14 %,Aktuel værdi
Zahrtmannsvej 305230 Odense M,se M,2.075.000,20-03-2017,Alm. Salg,22.074,4,Rækkehus,94,1952,-3 %,Aktuel værdi
Chr. Winthers Vej 75230 Odense M,se M,2.699.000,20-03-2017,Andet,16.763,6,Villa,161,1930,,Aktuel værdi
"Hunderupvej 151A, 15230 Odense M",se M,2.495.000,17-03-2017,Alm. Salg,23.761,3,Lejlighed,105,1900,0 %,Aktuel værdi
Øksnebjergvej 175230 Odense M,se M,2.530.000,17-03-2017,Alm. Salg,16.428,4,Villa,154,1962,-3 %,Aktuel værdi
Kallerupvej 1635230 Odense M,se M,1.400.000,16-03-2017,Alm. Salg,12.962,4,Rækkehus,108,1959,-2 %,Aktuel værdi
Munkebjergvej 1175230 Odense M,se M,1.100.000,16-03-2017,Fam. Salg,7.142,5,Villa,154,1943,,Aktuel værdi
Langelinie 1115230 Odense M,se M,14.050.000,15-03-2017,Alm. Salg,35.125,8,Villa,400,1923,-12 %,Aktuel værdi
Grønningen 75230 Odense M,se M,4.100.000,15-03-2017,Alm. Salg,26.451,5,Villa,155,1984,-5 %,Aktuel værdi
Kallerupvej 295230 Odense M,se M,2.750.000,10-03-2017,Alm. Salg,26.960,5,Rækkehus,102,1954,-2 %,Aktuel værdi
Gelskovvænget 295230 Odense M,se M,1.595.000,10-03-2017,Alm. Salg,20.986,3,Rækkehus,76,1968,0 %,Aktuel værdi
Hverringevej 145230 Odense M,se M,3.200.000,10-03-2017,Alm. Salg,18.497,6,Villa,173,1948,-8 %,Aktuel værdi
Bøggildsvej 95230 Odense M,se M,3.350.000,09-03-2017,Alm. Salg,15.952,8,Villa,210,1938,-4 %,Aktuel værdi
Langelinie 365230 Odense M,se M,4.638.063,08-03-2017,Fam. Salg,25.483,7,Villa,182,1915,,Aktuel værdi
Engvej 285230 Odense M,se M,4.150.000,06-03-2017,Alm. Salg,26.774,6,Villa,155,1928,0 %,Aktuel værdi
"Hannerupgårdsvej 51, 2. TH5230 Odense M",se M,747.500,03-03-2017,Fam. Salg,11.865,3,Lejlighed,63,1916,,Aktuel værdi
Glamsbjergvænget 135230 Odense M,se M,1.725.000,03-03-2017,Alm. Salg,18.157,5,Rækkehus,95,1951,-1 %,Aktuel værdi
"Læssøegade 178, KL5230 Odense M",se M,725.000,01-03-2017,Fam. Salg,9.931,2,Lejlighed,73,1930,,Aktuel værdi
Hverringevej 75230 Odense M,se M,1.800.000,01-03-2017,Alm. Salg,15.517,5,Villa,116,1950,,Aktuel værdi
"Rosengårdsvej 23, ST5230 Odense M",se M,1.800.000,28-02-2017,Alm. Salg,17.647,4,Lejlighed,102,1939,,Aktuel værdi
Zahrtmannsvej 365230 Odense M,se M,1.925.000,28-02-2017,Alm. Salg,21.388,4,Rækkehus,90,1954,,Aktuel værdi
Krengerupvænget 265230 Odense M,se M,2.095.000,28-02-2017,Alm. Salg,19.045,4,Rækkehus,110,1958,,Aktuel værdi
Tietgens Allé 35230 Odense M,se M,2.850.000,27-02-2017,Alm. Salg,11.089,8,Villa,257,1947,,Aktuel værdi
Thor Langes Vej 45230 Odense M,se M,8.750.000,24-02-2017,Alm. Salg,42.270,7,Villa,207,1926,0 %,Aktuel værdi
Hunderupvænget 75230 Odense M,se M,2.750.000,22-02-2017,Alm. Salg,15.277,6,Villa,180,1932,-8 %,Aktuel værdi
Rødegårdsvej 1655230 Odense M,se M,1.100.000,21-02-2017,Alm. Salg,11.956,3,Villa,92,1956,-12 %,Aktuel værdi
Tybrindvænget 115230 Odense M,se M,1.425.000,21-02-2017,Alm. Salg,13.970,4,Rækkehus,102,1972,-5 %,Aktuel værdi
"Birkevej 15, ST. TH5230 Odense M",se M,1.550.000,20-02-2017,Alm. Salg,19.135,2,Lejlighed,81,1934,-3 %,Aktuel værdi
Bramstrupvej 225230 Odense M,se M,1.037.500,17-02-2017,Fam. Salg,10.375,5,Villa,100,1960,,Aktuel værdi
Rosenørnsvej 95230 Odense M,se M,2.250.000,13-02-2017,Alm. Salg,19.230,4,Villa,117,1936,-6 %,Aktuel værdi
"Østerbæksvej 25, 1. TV5230 Odense M",se M,1.450.000,10-02-2017,Alm. Salg,17.469,2,Lejlighed,83,1935,-8 %,Aktuel værdi
Carl Blochs Vej 65230 Odense M,se M,1.865.000,07-02-2017,Alm. Salg,12.433,4,Villa,150,1956,-2 %,Aktuel værdi
Hjortebjergvej 135230 Odense M,se M,2.525.000,07-02-2017,Alm. Salg,20.696,5,Villa,122,1948,-5 %,Aktuel værdi
Grønningen 25230 Odense M,se M,1.060.000,06-02-2017,Fam. Salg,5.608,7,Villa,189,1936,,Aktuel værdi
Vilhelm Kyhns Vej 135230 Odense M,se M,1.900.000,03-02-2017,Alm. Salg,17.431,5,Villa,109,1954,-5 %,Aktuel værdi
Grønningen 55230 Odense M,se M,4.800.000,31-01-2017,Alm. Salg,26.966,6,Villa,178,1931,-4 %,Aktuel værdi
Erholmvænget 385230 Odense M,se M,1.700.000,30-01-2017,Alm. Salg,18.478,4,Rækkehus,92,1957,0 %,Aktuel værdi
Langelinie 165230 Odense M,se M,5.700.000,30-01-2017,Alm. Salg,27.804,7,Villa,205,1907,-5 %,Aktuel værdi
Langelinie 305230 Odense M,se M,8.700.000,30-01-2017,Alm. Salg,39.545,7,Villa,220,1907,-2 %,Aktuel værdi
Eckersbergsvej 645230 Odense M,se M,1.870.000,30-01-2017,Alm. Salg,13.453,6,Rækkehus,139,1952,-6 %,Aktuel værdi
"Fengersvej 23, 25230 Odense M",se M,1.825.000,24-01-2017,Alm. Salg,16.590,5,Lejlighed,110,1939,-9 %,Aktuel værdi
Rødegårdsvænget 15230 Odense M,se M,1.795.000,24-01-2017,Alm. Salg,19.301,4,Rækkehus,93,1959,-5 %,Aktuel værdi
Læssøegade 1165230 Odense M,se M,3.550.000,24-01-2017,Alm. Salg,24.315,5,Villa,146,1910,-6 %,Aktuel værdi
Hesbjergvænget 265230 Odense M,se M,1.760.000,19-01-2017,Alm. Salg,19.130,4,Rækkehus,92,1958,-2 %,Aktuel værdi
Ølstedgårdvej 215230 Odense M,se M,1.445.000,18-01-2017,Alm. Salg,19.266,4,Rækkehus,75,1967,-3 %,Aktuel værdi
"Fengersvej 7, 25230 Odense M",se M,1.795.000,17-01-2017,Alm. Salg,22.160,3,Lejlighed,81,1939,0 %,Aktuel værdi
Erholmvænget 485230 Odense M,se M,1.545.000,16-01-2017,Alm. Salg,16.793,4,Rækkehus,92,1957,0 %,Aktuel værdi
Bramstrupvej 205230 Odense M,se M,1.850.000,11-01-2017,Alm. Salg,19.892,4,Villa,93,1960,-2 %,Aktuel værdi
Dankvart Dreyers Vej 245230 Odense M,se M,2.430.000,06-01-2017,Alm. Salg,20.593,5,Villa,118,1938,-3 %,Aktuel værdi
Dyrhøjvej 175230 Odense M,se M,3.900.000,05-01-2017,Alm. Salg,24.375,8,Villa,160,1951,0 %,Aktuel værdi
Læssøegade 525230 Odense M,se M,3.050.000,02-01-2017,Alm. Salg,16.850,7,Villa,181,1906,-5 %,Aktuel værdi
Damsbovænget 425230 Odense M,se M,1.675.000,28-12-2016,Alm. Salg,16.421,3,Rækkehus,102,1959,-7 %,Aktuel værdi
Sadolinsgade 114C5230 Odense M,se M,6.175.000,23-12-2016,Alm. Salg,20.791,8,Villa,297,1965,-6 %,Aktuel værdi
Lisesmindevej 635230 Odense M,se M,2.210.000,22-12-2016,Alm. Salg,25.697,3,Villa,86,1956,-4 %,Aktuel værdi
Birkevej 145230 Odense M,se M,3.663.414,21-12-2016,Fam. Salg,20.814,6,Villa,176,1919,,Aktuel værdi
Hesbjergvænget 305230 Odense M,se M,1.475.000,21-12-2016,Alm. Salg,14.320,4,Rækkehus,103,1958,,Aktuel værdi
Købkesvej 415230 Odense M,se M,850.000,21-12-2016,Fam. Salg,5.821,6,Villa,146,1952,,Aktuel værdi
"Rosenørnsvej 39, 1. TV5230 Odense M",se M,1.165.000,20-12-2016,Alm. Salg,19.098,2,Lejlighed,61,1938,-3 %,Aktuel værdi
"Hjallesevej 117, ST. TH5230 Odense M",se M,1.575.000,19-12-2016,Alm. Salg,15.000,4,Lejlighed,105,1934,-2 %,Aktuel værdi
Arreskovvænget 205230 Odense M,se M,900.000,19-12-2016,Alm. Salg,11.111,3,Rækkehus,81,1964,,Aktuel værdi
Hunderup Ege 15230 Odense M,se M,3.950.000,16-12-2016,Alm. Salg,16.458,7,Villa,240,1983,-8 %,Aktuel værdi
"Oppermannsvej 1, 1. TH5230 Odense M",se M,1.475.000,15-12-2016,Alm. Salg,17.352,3,Lejlighed,85,1939,-6 %,Aktuel værdi
Helgavej 195230 Odense M,se M,4.500.000,15-12-2016,Alm. Salg,29.605,6,Villa,152,1916,-6 %,Aktuel værdi
"Læssøegade 189, 1. TV5230 Odense M",se M,1.200.125,14-12-2016,Alm. Salg,18.751,2,Lejlighed,64,1931,-4 %,Aktuel værdi
Lisesmindevej 575230 Odense M,se M,2.200.000,13-12-2016,Alm. Salg,17.886,4,Villa,123,1955,-2 %,Aktuel værdi
"Østerbæksvej 9, ST. TV5230 Odense M",se M,301.000,12-12-2016,Fam. Salg,4.180,2,Lejlighed,72,1937,,Aktuel værdi
"Østerbæksvej 9, 2. TV5230 Odense M",se M,130.200,12-12-2016,Fam. Salg,1.808,2,Lejlighed,72,1937,,Aktuel værdi
Øksnebjergvej 95230 Odense M,se M,1.850.000,09-12-2016,Alm. Salg,20.108,4,Rækkehus,92,1949,-2 %,Aktuel værdi
Sandholtvænget 75230 Odense M,se M,1.895.000,09-12-2016,Alm. Salg,17.227,3,Rækkehus,110,1965,,Aktuel værdi
Zahrtmannsvej 185230 Odense M,se M,1.045.000,08-12-2016,Alm. Salg,11.611,4,Rækkehus,90,1952,0 %,Aktuel værdi
"Hjallesevej 62, 15230 Odense M",se M,1.725.000,08-12-2016,Alm. Salg,17.424,3,Lejlighed,99,1934,,Aktuel værdi
Kallerupvej 1675230 Odense M,se M,1.325.000,07-12-2016,Alm. Salg,13.118,4,Rækkehus,101,1959,-11 %,Aktuel værdi
Langelinie 255230 Odense M,se M,13.000.000,06-12-2016,Alm. Salg,59.633,9,Villa,218,1924,-4 %,Aktuel værdi
Gerdaslundsvej 175230 Odense M,se M,3.100.000,04-12-2016,Alm. Salg,23.484,3,Villa,132,1961,-6 %,Aktuel værdi
Chr. Winthers Vej 295230 Odense M,se M,4.465.000,02-12-2016,Alm. Salg,22.897,5,Villa,195,1968,-3 %,Aktuel værdi
Skovgaardsvej 365230 Odense M,se M,937.500,29-11-2016,Alm. Salg,6.696,3,Villa,140,1953,,Aktuel værdi
Bødtchersvej 245230 Odense M,se M,3.310.000,25-11-2016,Alm. Salg,21.354,7,Villa,155,1954,0 %,Aktuel værdi
"Læssøegade 189, 1. TH5230 Odense M",se M,1.375.000,25-11-2016,Alm. Salg,21.484,2,Lejlighed,64,1931,0 %,Aktuel værdi
Kastanievej 66A5230 Odense M,se M,5.875.000,22-11-2016,Alm. Salg,23.882,7,Villa,246,1907,,Aktuel værdi
Hvidkildevænget 95230 Odense M,se M,1.995.000,22-11-2016,Alm. Salg,16.088,5,Villa,124,1968,,Aktuel værdi
Sadolinsgade 635230 Odense M,se M,5.295.000,21-11-2016,Alm. Salg,30.784,6,Villa,172,1918,,Aktuel værdi
Rødkildevænget 205230 Odense M,se M,2.175.000,21-11-2016,Alm. Salg,13.593,7,Villa,160,1967,-5 %,Aktuel værdi
Sparretornvej 355230 Odense M,se M,2.200.000,18-11-2016,Alm. Salg,13.836,4,Villa,159,1968,-8 %,Aktuel værdi
"Munkerisvej 8, ST. TV5230 Odense M",se M,1.100.000,17-11-2016,Alm. Salg,15.492,2,Lejlighed,71,1944,-8 %,Aktuel værdi
Blichersvej 1185230 Odense M,se M,2.845.000,17-11-2016,Alm. Salg,28.737,5,Rækkehus,99,1955,0 %,Aktuel værdi
Rødkildevænget 225230 Odense M,se M,2.850.000,15-11-2016,Alm. Salg,17.812,4,Villa,160,1971,-5 %,Aktuel værdi
Hunderupvej 1655230 Odense M,se M,1.550.000,14-11-2016,Fam. Salg,9.064,6,Villa,171,1909,-73 %,Aktuel værdi
Krengerupvænget 105230 Odense M,se M,1.740.000,13-11-2016,Alm. Salg,19.550,4,Rækkehus,89,1958,0 %,Aktuel værdi
Ølstedgårdvænget 255230 Odense M,se M,3.195.000,11-11-2016,Alm. Salg,18.468,5,Villa,173,1974,-3 %,Aktuel værdi
Læssøegade 385230 Odense M,se M,3.700.000,11-11-2016,Alm. Salg,23.125,7,Villa,160,1910,,Aktuel værdi
Langelinie 145230 Odense M,se M,5.445.000,09-11-2016,Alm. Salg,30.250,6,Villa,180,1905,2 %,Aktuel værdi
Rosenørnsvej 265230 Odense M,se M,1.325.000,08-11-2016,Alm. Salg,7.162,6,Villa,185,1936,,Aktuel værdi
Hjortebjergvej 435230 Odense M,se M,2.300.000,02-11-2016,Alm. Salg,20.909,4,Villa,110,1947,,Aktuel værdi
Oehlenschlægersvej 515230 Odense M,se M,4.145.000,02-11-2016,Alm. Salg,30.036,6,Villa,138,1939,0 %,Aktuel værdi
Grønningen 45230 Odense M,se M,3.825.000,02-11-2016,Alm. Salg,13.959,9,Villa,274,1933,-2 %,Aktuel værdi
Hunderupvej 151B5230 Odense M,se M,5.000.000,02-11-2016,Alm. Salg,24.630,8,Villa,203,1911,-9 %,Aktuel værdi
"Østerbæksvej 1, 2. TV5230 Odense M",se M,985.000,01-11-2016,Alm. Salg,16.416,2,Lejlighed,60,1936,,Aktuel værdi
"Østerbæksvej 18, 2. TV5230 Odense M",se M,1.395.000,31-10-2016,Alm. Salg,19.375,2,Lejlighed,72,1937,0 %,Aktuel værdi
Langelinie 205230 Odense M,se M,5.700.000,31-10-2016,Alm. Salg,29.230,8,Villa,195,1917,-5 %,Aktuel værdi
Krengerupvænget 585230 Odense M,se M,1.500.000,28-10-2016,Alm. Salg,16.853,4,Rækkehus,89,1958,-5 %,Aktuel værdi
Oehlenschlægersvej 135230 Odense M,se M,3.500.000,28-10-2016,Alm. Salg,22.292,5,Villa,157,1935,-5 %,Aktuel værdi
Tybrindvænget 285230 Odense M,se M,1.075.000,27-10-2016,Fam. Salg,14.527,4,Rækkehus,74,1970,,Aktuel værdi
Hjortebjergvej 245230 Odense M,se M,2.460.000,24-10-2016,Alm. Salg,22.568,3,Villa,109,1947,-1 %,Aktuel værdi
Brobygårdvej 325230 Odense M,se M,1.900.000,22-10-2016,Alm. Salg,11.875,5,Villa,160,1970,-11 %,Aktuel værdi
Chr. Richardts Vej 235230 Odense M,se M,4.675.000,21-10-2016,Alm. Salg,32.465,5,Villa,144,1929,,Aktuel værdi
Helgavej 185230 Odense M,se M,10.750.000,17-10-2016,Alm. Salg,36.317,9,Villa,296,1914,,Aktuel værdi
