address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
Banevænget 99610 Nørager,ager,2.170.000,10-05-2017,Alm. Salg,11.923,7,Villa,182,2012,-9 %,Aktuel værdi
Gammel Landevej 79610 Nørager,ager,995.000,21-04-2017,Alm. Salg,3.407,10,Stuehus,292,1916,0 %,
Elbjergvej 529610 Nørager,ager,1.650.000,20-03-2017,Fam. Salg,8.048,5,Stuehus,205,1930,,
Jyllandsgade 409610 Nørager,ager,815.000,12-03-2017,Fam. Salg,8.670,5,Villa,94,1948,,Aktuel værdi
Bygaden 299610 Nørager,ager,275.000,26-02-2017,Alm. Salg,2.477,3,Villa,111,1964,-7 %,Aktuel værdi
Mejlbyvej 1449610 Nørager,ager,695.000,07-02-2017,Andet,4.793,4,Villa,145,1984,,Aktuel værdi
Bygaden 19610 Nørager,ager,542.500,07-02-2017,Alm. Salg,4.271,5,Villa,127,1919,-6 %,Aktuel værdi
Torsvang 69610 Nørager,ager,1.130.000,30-01-2017,Alm. Salg,6.384,6,Villa,177,1972,-5 %,Aktuel værdi
Grynderupvejen 349610 Nørager,ager,425.000,23-01-2017,Fam. Salg,2.591,6,Villa,164,1923,,Aktuel værdi
Grynderupvejen 329610 Nørager,ager,204.000,23-01-2017,Fam. Salg,1.685,4,Villa,121,1955,,Aktuel værdi
Fruerlund 29610 Nørager,ager,321.000,19-01-2017,Alm. Salg,3.116,4,Villa,103,1953,,Aktuel værdi
Jyllandsgade 489610 Nørager,ager,800.000,20-12-2016,Alm. Salg,9.195,3,Villa,87,1960,-3 %,Aktuel værdi
Roldvej 949610 Nørager,ager,1.795.000,15-12-2016,Alm. Salg,6.084,7,Villa,295,1916,0 %,Aktuel værdi
Mejlbyvej 629610 Nørager,ager,772.589,09-12-2016,Fam. Salg,4.491,5,Stuehus,172,1927,,
Sankt Annevej 119610 Nørager,ager,664.000,26-11-2016,Alm. Salg,3.628,5,Stuehus,183,1891,,
Mølhøjvangen 379610 Nørager,ager,2.498.000,22-11-2016,Alm. Salg,13.877,6,Villa,180,2006,0 %,Aktuel værdi
Mejlbyvej 1269610 Nørager,ager,735.000,21-11-2016,Alm. Salg,4.803,4,Villa,153,1975,-8 %,Aktuel værdi
Stejlhøjvej 89610 Nørager,ager,200.000,15-11-2016,Fam. Salg,2.040,3,Stuehus,98,1912,,
Hersomsvej 49610 Nørager,ager,475.000,11-11-2016,Alm. Salg,3.492,4,Villa,136,1974,-4 %,Aktuel værdi
Bygaden 259610 Nørager,ager,294.162,08-11-2016,Alm. Salg,1.598,6,Villa,184,1924,,Aktuel værdi
Brændsøvej 89610 Nørager,ager,1.550.000,02-11-2016,Alm. Salg,7.598,9,Stuehus,204,1929,-3 %,
Tranevej 509610 Nørager,ager,1.450.000,24-10-2016,Alm. Salg,9.119,5,Villa,159,1995,-3 %,Aktuel værdi
Tranevej 589610 Nørager,ager,1.200.000,17-10-2016,Alm. Salg,9.302,4,Villa,129,1997,-7 %,Aktuel værdi
Bredgade 409610 Nørager,ager,440.000,13-10-2016,Alm. Salg,3.076,5,Villa,143,1914,-11 %,Aktuel værdi
Østergade 229610 Nørager,ager,467.500,05-10-2016,Fam. Salg,3.541,3,Villa,132,1972,,Aktuel værdi
Stabellsvej 189610 Nørager,ager,650.000,04-10-2016,Alm. Salg,4.887,6,Villa,133,1964,-6 %,Aktuel værdi
Udsigten 29610 Nørager,ager,110.000,30-09-2016,Alm. Salg,662,5,Villa,166,1920,,Aktuel værdi
Banevænget 109610 Nørager,ager,265.456,09-09-2016,Alm. Salg,1.712,5,Villa,155,2017,,Aktuel værdi
Kraghøjvej 79610 Nørager,ager,1.362.500,05-09-2016,Alm. Salg,7.286,6,Stuehus,187,1900,-17 %,
Vestermarksvej 259610 Nørager,ager,637.500,02-09-2016,Alm. Salg,4.903,5,Villa,130,1924,,Aktuel værdi
Vestbygade 449610 Nørager,ager,1.550.000,14-08-2016,Alm. Salg,7.908,6,Villa,196,1981,,Aktuel værdi
Fyrkildevej 339610 Nørager,ager,1.645.000,08-08-2016,Alm. Salg,11.503,6,Villa,143,1980,0 %,Aktuel værdi
Mejlbyvej 1399610 Nørager,ager,574.925,29-06-2016,Alm. Salg,2.903,5,Stuehus,198,1877,,
Hvidkildevej 209610 Nørager,ager,500.000,27-06-2016,Fam. Salg,5.000,3,Villa,100,1917,,Aktuel værdi
Kjemtrupvej 239610 Nørager,ager,2.345.000,23-06-2016,Alm. Salg,11.725,6,Stuehus,200,1920,,
Hybenvej 99610 Nørager,ager,1.825.000,16-06-2016,Alm. Salg,8.410,6,Villa,217,2000,-6 %,Aktuel værdi
