address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Skolebakken 19, 1. TH8464 Galten",lten,990.000,27-04-2017,Alm. Salg,12.073,3,Lejlighed,82,1969,,Aktuel værdi
HC Ørsteds Alle 78464 Galten,lten,2.550.000,31-03-2017,Alm. Salg,19.029,4,Rækkehus,134,2012,,Aktuel værdi
Ringvejen 68464 Galten,lten,1.175.000,30-03-2017,Alm. Salg,8.834,4,Villa,133,1925,-9 %,Aktuel værdi
Provstevænget 108464 Galten,lten,1.799.000,15-03-2017,Alm. Salg,14.508,4,Villa,124,1971,0 %,Aktuel værdi
Bytoftvej 78464 Galten,lten,900.000,06-03-2017,Alm. Salg,14.754,2,Rækkehus,61,1981,,Aktuel værdi
Skovbyparken 38464 Galten,lten,1.500.000,03-03-2017,Alm. Salg,8.333,7,Villa,180,1969,-6 %,Aktuel værdi
Firkløvervej 1028464 Galten,lten,2.695.000,02-03-2017,Alm. Salg,19.528,6,Villa,138,1998,0 %,Aktuel værdi
Lyngfeldvænget 428464 Galten,lten,1.525.000,02-03-2017,Alm. Salg,16.052,4,Rækkehus,95,1981,0 %,Aktuel værdi
Maries Dal 108464 Galten,lten,3.750.000,02-03-2017,Alm. Salg,20.491,5,Villa,183,2016,-4 %,Aktuel værdi
Toftevej 198464 Galten,lten,1.712.000,23-02-2017,Alm. Salg,12.141,5,Villa,141,1967,-5 %,Aktuel værdi
Søndergade 20A8464 Galten,lten,2.970.890,22-02-2017,Alm. Salg,15.235,7,Villa,195,1977,-1 %,Aktuel værdi
Bytoftvej 108464 Galten,lten,740.000,21-02-2017,Alm. Salg,13.703,2,Lejlighed,54,1982,,Aktuel værdi
Æblehaven 158464 Galten,lten,2.125.000,21-02-2017,Alm. Salg,16.601,6,Villa,128,2001,-3 %,Aktuel værdi
Østergade 2C8464 Galten,lten,1.550.000,20-02-2017,Alm. Salg,19.375,3,Rækkehus,80,2007,-6 %,Aktuel værdi
Randersvej 5038464 Galten,lten,2.900.000,15-02-2017,Alm. Salg,20.000,4,Villa,145,1864,-12 %,Aktuel værdi
Porsevænget 58464 Galten,lten,1.600.000,15-02-2017,Alm. Salg,7.441,7,Villa,215,2006,,Aktuel værdi
"Skolebakken 17, 2. TH8464 Galten",lten,825.000,14-02-2017,Alm. Salg,13.750,2,Lejlighed,60,1969,-3 %,Aktuel værdi
Farrevej 158464 Galten,lten,1.950.000,10-02-2017,Fam. Salg,11.470,4,Stuehus,170,1900,,
Vestergade 988464 Galten,lten,1.925.000,07-02-2017,Alm. Salg,15.277,4,Villa,126,1980,-3 %,Aktuel værdi
Østergårdsvej 3D8464 Galten,lten,1.475.000,07-02-2017,Alm. Salg,15.206,4,Rækkehus,97,1968,-1 %,Aktuel værdi
Silkeborgvej 228464 Galten,lten,1.120.000,03-02-2017,Alm. Salg,8.296,4,Villa,135,1958,-2 %,Aktuel værdi
Lyngfeldvænget 638464 Galten,lten,1.745.000,01-02-2017,Alm. Salg,12.202,5,Rækkehus,143,1979,-3 %,Aktuel værdi
Agervej 108464 Galten,lten,1.750.000,31-01-2017,Alm. Salg,16.990,4,Rækkehus,103,1971,-3 %,Aktuel værdi
Låsbyvej 618464 Galten,lten,2.800.000,28-01-2017,Alm. Salg,15.730,4,Villa,178,1911,-7 %,Aktuel værdi
Maries Dal 38464 Galten,lten,3.900.000,25-01-2017,Alm. Salg,21.428,6,Villa,182,2016,0 %,Aktuel værdi
Søndergade 448464 Galten,lten,1.050.000,24-01-2017,Alm. Salg,13.125,3,Villa,80,1938,-16 %,Aktuel værdi
Firkløvervej 818464 Galten,lten,2.325.000,23-01-2017,Alm. Salg,21.136,4,Villa,110,1997,0 %,Aktuel værdi
Toftevej 28464 Galten,lten,2.650.000,22-01-2017,Alm. Salg,15.229,6,Villa,174,1967,-5 %,Aktuel værdi
Vibevænget 218464 Galten,lten,999.000,20-01-2017,Alm. Salg,11.352,3,Villa,88,1970,0 %,Aktuel værdi
Skivholmevej 948464 Galten,lten,1.210.000,19-01-2017,Alm. Salg,14.578,3,Villa,83,1961,-7 %,Aktuel værdi
Agervangen 498464 Galten,lten,1.635.000,16-01-2017,Alm. Salg,13.185,4,Rækkehus,124,1979,-7 %,Aktuel værdi
Bellisvej 118464 Galten,lten,2.625.000,11-01-2017,Alm. Salg,19.021,6,Villa,138,1994,-1 %,Aktuel værdi
Vestre Skolevej 358464 Galten,lten,100.000,09-01-2017,Fam. Salg,340,8,Stuehus,294,1860,,
Skolevej 98464 Galten,lten,1.715.000,05-01-2017,Alm. Salg,15.312,5,Villa,112,1962,-2 %,Aktuel værdi
Birkevænget 68464 Galten,lten,2.500.000,05-01-2017,Alm. Salg,11.061,7,Villa,226,1966,-6 %,Aktuel værdi
